taxid	truth_taxid	count
120499	120499	8765
10335	10335	8473
844	273121	8345
107709	452637	7296
186938	11191	7149
202	202	6620
1717	698965	6507
128	575540	6363
178830	1714621	5984
39152	267377	5841
712	729	5738
214	936155	5707
11157	1483724	5617
2284	1132497	5398
379508	379508	5356
1313	516950	5325
1578	1408443	5087
56812	318167	4975
1578	883092	4908
469	1391912	4808
1	334856	4573
2208	269797	4483
286	399739	4444
1979162	1979162	4406
32	483219	4382
28211	13689	3829
171549	435591	3821
816	435590	3816
237	96345	3758
1483724	1483724	3694
1279	93062	3687
641148	641149	3667
11158	1979162	3572
90964	93062	3529
562	585396	3470
2	1210443	3468
135621	1193499	3468
96345	96345	3467
33958	1408443	3412
724	729	3270
670483	670483	3179
823	435591	3126
1301	516950	3118
209	936155	3114
821	435590	3078
4930	559292	3077
1217908	391626	3067
41297	13689	2942
374	1128253	2853
5579	1043004	2714
47770	883092	2698
573508	331117	2671
43080	1132497	2650
31989	391626	2510
91347	1329854	2483
22	318167	2450
4085	4098	2387
543	585396	2362
62320	543526	2349
286	1193499	2337
482	521006	2274
43219	1442368	2274
121871	543526	2254
1644061	543526	2236
40354	1442368	2234
1716	698965	2199
53945	391626	2198
482	242231	2196
33	483219	2167
4070	4098	2141
1043004	1043004	1991
194	202	1986
2	546266	1980
482	641149	1975
4932	559292	1939
485	521006	1917
469	1148157	1880
1714619	1714621	1830
543	1329854	1778
131567	1329854	1761
2207	269797	1747
300	399739	1744
72274	1210443	1671
39947	39947	1618
286	1210443	1544
11191	11191	1544
127	575540	1518
91347	585396	1496
2184	267377	1483
5042	331117	1392
469	436717	1353
485	242231	1351
4792	403677	1316
39744	1979162	1300
1280	93062	1252
2	883092	1199
316	1210443	1197
354276	1329854	1116
40324	334856	1109
334856	334856	1104
41294	1128253	1095
375	1128253	1075
759272	759272	1063
2206	269797	1017
200643	435591	1016
135621	399739	1011
1714621	1714621	1009
13689	13689	982
1224	1193499	932
481	641149	923
303	1193499	897
815	435590	878
40323	334856	870
33154	559292	827
155619	670483	797
375288	435591	787
117743	96345	778
186458	1714621	774
561	585396	730
403677	403677	729
171549	435590	728
3885	3885	719
49546	96345	714
896	1121405	706
2	1329854	703
2	641149	691
5052	331117	664
39152	402880	638
178440	452637	637
1437201	4098	634
4530	39947	623
4113	4113	597
6500	6500	590
80811	483219	573
4527	39947	560
136845	1193499	557
118883	1132497	545
1224	641149	545
4783	403677	536
1236	318167	518
452340	670483	517
356	1128253	498
1	37554	472
1535325	379508	469
1300	516950	462
163735	3885	443
4892	379508	431
104264	867900	431
11158	11191	424
2182	267377	413
1812934	1329854	412
183963	543526	409
1317065	403677	407
1	585396	407
4070	4113	405
1613	1408443	405
10319	10335	403
3814	3885	397
468	1391912	391
104264	979	385
2183	267377	383
1236	1193499	381
135621	1210443	380
897	1121405	375
72274	399739	368
72293	273121	367
33	1334629	365
4107	4113	360
120107	13689	358
766764	379508	353
28211	391626	344
200643	435590	336
9606	9606	333
4893	559292	327
213849	273121	326
2	521006	325
391626	391626	316
33958	883092	308
72294	202	307
2	585396	306
716546	1043004	304
3821	3885	301
1224	13689	300
10116	10116	297
4096	4098	292
135622	318167	291
641149	641149	290
1442368	1442368	286
1437201	4113	283
547	1329854	281
204457	13689	276
936155	936155	272
482	546266	271
131567	9606	266
49546	979	263
379731	1210443	263
2281	1132497	260
49546	867900	254
451864	759272	245
546266	546266	239
