taxid	truth_taxid	count
0	331117	10000
0	403677	10000
0	1121405	10000
0	13735	10000
0	132113	10000
0	4113	9981
0	3885	9952
0	6500	9928
0	39947	9923
0	4098	9892
0	10116	9887
0	759272	9861
0	13616	9857
0	10160	9844
0	30608	9804
0	670483	9661
0	1043004	9499
0	1442368	9443
0	3055	9376
0	559292	9231
0	379508	9051
0	9606	9028
120499	120499	8860
1979162	1979162	8823
844	273121	8652
10335	10335	8641
214	936155	8337
107709	452637	8148
128	575540	8038
286	1193499	7480
0	546266	7306
1578	883092	7076
1717	698965	6478
96345	96345	6282
39152	267377	6096
1279	93062	6039
32	483219	5847
11157	1483724	5728
1578	1408443	5544
2284	1132497	5526
316	1210443	5504
1714619	1714621	5484
821	435590	5468
11191	11191	5445
62320	543526	5418
1301	516950	5335
56812	318167	4901
334856	334856	4760
120107	13689	4725
2208	269797	4693
0	1128253	4635
469	1391912	4607
194	202	4510
823	435591	4266
1217908	391626	4136
286	399739	3977
186938	11191	3830
1483724	1483724	3735
300	399739	3501
1224	641149	3421
729	729	3345
712	729	3204
375288	435591	3072
374	1128253	3020
186458	1714621	2948
1613	1408443	2896
0	641149	2893
816	435590	2859
1313	516950	2791
22	318167	2754
43080	1132497	2739
2	1329854	2660
543	585396	2652
0	269797	2566
2207	269797	2555
0	543526	2488
53945	391626	2434
0	334856	2359
0	202	2204
0	13689	2190
1224	546266	2072
1716	698965	2036
562	585396	1997
543	1329854	1954
1224	521006	1854
0	1329854	1846
469	1148157	1800
286	1210443	1759
1224	242231	1748
0	575540	1737
0	883092	1691
0	399739	1677
1224	585396	1630
482	641149	1593
2184	267377	1579
485	521006	1554
724	729	1541
1385	93062	1506
0	93062	1496
1644061	543526	1491
31989	391626	1491
171549	435591	1485
0	1210443	1447
0	483219	1416
0	318167	1346
0	452637	1337
0	516950	1296
469	436717	1285
0	96345	1268
41294	1128253	1257
0	391626	1210
0	1193499	1188
237	96345	1188
91347	1329854	1150
485	242231	1136
1	334856	1115
1714621	1714621	1094
482	521006	1092
0	120499	1042
0	585396	1035
0	10335	980
41297	13689	967
49546	96345	966
9606	9606	958
1	585396	955
0	435590	947
0	1408443	939
0	698965	938
0	1132497	928
0	435591	927
33	483219	903
0	936155	852
0	1979162	780
39152	402880	687
482	242231	676
979	867900	674
0	11191	662
0	267377	638
979	979	632
248026	3055	620
0	521006	619
1148157	1391912	615
1224	1329854	609
2	585396	587
0	729	571
165695	13689	546
