taxid	truth_taxid	count
0	132113	9995
0	13735	9916
0	13616	9866
0	6500	9839
0	10160	9796
0	30608	9677
0	3885	9651
0	39947	9606
0	4113	9576
844	273121	9551
0	10116	9462
10335	10335	9314
120499	120499	9147
107709	452637	8784
1717	698965	8737
1483724	1483724	8549
128	575540	8465
39152	267377	8343
96345	96345	8150
0	9606	8141
43080	1132497	8076
202	202	7967
1578	1408443	7689
0	4098	7426
214	936155	7423
2	883092	7375
641148	641149	7271
1217908	391626	7194
2208	269797	7097
0	3055	7091
379508	379508	7054
1313	516950	6948
286	1193499	6726
1979162	1979162	6714
897	1121405	6681
22	318167	6513
62320	543526	6486
482	546266	6390
0	759272	6201
0	403677	6178
724	729	6122
1279	93062	5938
573508	331117	5804
300	399739	5653
178830	1714621	5599
186938	11191	5400
670483	670483	5228
821	435590	4985
32	483219	4954
4930	559292	4710
1043004	1043004	4656
562	585396	4628
2	1210443	4330
120107	13689	4198
11191	11191	4110
823	435591	4095
0	1442368	3939
171549	435591	3878
1714621	1714621	3864
0	670483	3844
0	1043004	3803
816	435590	3585
0	331117	3500
469	1391912	3465
374	1128253	3415
485	521006	3393
316	1210443	3309
334856	334856	3222
485	242231	3072
375	1128253	2964
40354	1442368	2864
1812934	1329854	2863
0	559292	2807
543	585396	2791
0	1128253	2778
33	483219	2768
13689	13689	2744
0	379508	2685
1	334856	2608
729	729	2192
0	269797	2187
56812	318167	2140
543	1329854	2111
1148157	1391912	2007
1121405	1121405	1992
11158	1979162	1991
209	936155	1981
1301	516950	1971
1442368	1442368	1941
286	399739	1938
354276	1329854	1884
41297	13689	1838
40324	334856	1797
4932	559292	1792
0	543526	1743
2	546266	1606
562	4098	1511
1280	93062	1501
1613	1408443	1440
303	1193499	1439
759272	759272	1438
2	1329854	1419
3042	3055	1309
0	1121405	1295
469	1148157	1295
375288	435591	1287
403677	403677	1259
0	575540	1186
11157	1483724	1119
1578	883092	1101
0	399739	1086
237	96345	1076
5579	1043004	1043
2284	1132497	1032
0	641149	1032
1317065	403677	985
0	546266	975
0	318167	949
469	436717	934
0	452637	921
47770	883092	917
39152	402880	909
