taxid	truth_taxid	count
0	331117	10000
0	132113	10000
0	4098	9999
0	13735	9999
0	403677	9996
0	1121405	9994
0	4113	9976
0	3885	9950
0	6500	9917
0	39947	9907
0	10116	9864
0	759272	9857
0	13616	9844
0	10160	9764
0	1043004	9686
0	670483	9656
0	1442368	9623
0	30608	9616
273121	273121	9586
0	379508	9504
0	559292	9503
1979162	1979162	9492
11191	11191	9416
0	3055	9368
936155	936155	9271
10335	10335	9271
120499	120499	9149
1613	1408443	9029
452637	452637	8874
0	9606	8626
575540	575540	8564
1483724	1483724	8557
482	546266	8528
318167	318167	8417
435590	435590	8062
1717	698965	8006
96345	96345	7741
543526	543526	7624
391626	391626	7620
316	1210443	7520
2208	269797	7259
862965	729	7116
43080	1132497	7115
562	585396	7103
1714621	1714621	6994
1280	93062	6610
435591	435591	6522
39152	267377	5810
334856	334856	5405
120107	13689	4957
32	483219	4789
286	1193499	4712
300	399739	4230
1313	516950	4065
485	521006	3993
0	1128253	3881
303	1193499	3849
0	202	3693
0	641149	3511
1	516950	3507
436717	1391912	3215
399739	399739	3157
485	242231	2926
483219	483219	2876
267377	267377	2525
375288	435591	2499
0	13689	2426
0	334856	2323
1578	883092	2270
482	641149	2246
469	1391912	2234
0	269797	2231
0	883092	2224
354276	1329854	2218
0	543526	1948
0	1329854	1902
375	1128253	1766
543	1329854	1738
547	1329854	1630
374	1128253	1630
0	546266	1443
1714622	1714621	1404
0	575540	1396
1714619	1714621	1326
9606	9606	1302
0	399739	1291
360105	202	1232
436717	1148157	1227
1452724	96345	1198
0	1210443	1153
0	93062	1118
11157	1483724	1117
1604	883092	1093
0	483219	1083
0	452637	1051
1	93062	1045
286	399739	1041
0	318167	1016
436717	436717	987
2284	1132497	981
1279	93062	965
0	391626	937
816	435590	926
543	585396	926
979	979	922
0	516950	911
1853278	641149	895
1033837	883092	890
469	1148157	881
1579	883092	874
0	120499	850
0	1193499	842
1965231	202	840
482	521006	808
482	242231	749
0	1132497	746
0	435590	739
1355477	1128253	737
194	202	728
652103	1128253	727
0	10335	709
