taxid	truth_taxid	count
0	331117	10000
1483724	1483724	10000
273121	273121	10000
1979162	1979162	10000
391626	391626	10000
11191	11191	10000
318167	318167	10000
0	13735	10000
0	4098	10000
0	132113	10000
936155	936155	10000
543526	543526	10000
0	403677	10000
10335	10335	10000
575540	575540	10000
452637	452637	10000
120499	120499	10000
897	1121405	9999
0	4113	9992
0	670483	9992
0	1043004	9992
0	3885	9988
0	39947	9974
0	1442368	9971
0	13616	9963
1613	1408443	9959
0	559292	9946
0	30608	9945
0	10116	9904
0	379508	9893
0	10160	9892
0	9606	9860
1280	93062	9853
2208	269797	9851
0	6500	9804
562	585396	9758
0	202	9498
0	3055	9376
0	759272	9207
303	1193499	9178
334856	334856	9137
1313	516950	9103
43080	1132497	8993
435591	435591	8554
435590	435590	8543
1717	698965	8286
399739	399739	8113
316	1210443	8042
1714619	1714621	7915
0	641149	7912
748671	883092	7491
0	13689	7467
96345	96345	6954
267377	267377	6779
482	546266	6642
862965	729	6345
483219	483219	6162
436717	1391912	5974
485	521006	5293
354276	1329854	4032
485	242231	4023
0	546266	3352
32	483219	3033
1452724	96345	3027
0	729	2950
375	1128253	2867
374	1128253	2588
436717	1148157	2253
39152	267377	2199
0	883092	2154
0	1329854	2128
0	1128253	2091
0	1714621	2084
300	399739	1793
120107	13689	1781
436717	436717	1761
698965	698965	1666
821	435590	1457
375288	435591	1446
1812934	1329854	1085
979	979	987
1132497	1132497	980
402880	402880	968
550	1329854	954
37554	37554	850
516950	516950	835
1334629	1334629	770
996285	1210443	734
286	1193499	703
264198	3055	624
867900	867900	570
1355477	1128253	531
644801	1210443	502
979	867900	478
526973	759272	470
482	641149	461
379731	1210443	453
242231	242231	441
1839752	1128253	434
476282	1128253	362
1223566	1128253	284
543	1329854	269
547	1329854	257
487	641149	242
521006	521006	215
2027919	1329854	212
652103	1128253	198
1853278	641149	197
224911	1128253	197
71366	71366	196
488	641149	172
0	1210443	165
249188	729	164
546263	641149	159
1882747	1128253	149
490	641149	147
269797	269797	143
1147150	1147150	139
374840	374840	107
158836	1329854	100
187303	1128253	96
727	729	95
1491	759272	93
299766	1329854	93
199	202	92
655307	641149	89
326523	641149	89
301105	1329854	88
1853276	641149	83
376	1128253	79
1578	883092	77
165695	13689	74
543	585396	69
319017	1128253	67
286	399739	67
1855519	13689	63
76947	13689	61
131567	759272	60
573	1329854	60
585396	585396	59
497725	1329854	55
561	585396	53
1315974	13689	53
1279	93062	51
69220	1329854	49
486	641149	48
13690	13689	47
485	641149	46
724	729	45
360104	202	42
2	759272	41
484429	13689	39
1082931	759272	38
712310	729	38
1244531	202	37
28091	641149	37
69218	1329854	36
1604	883092	36
407020	13689	35
1196835	1210443	35
640513	1329854	35
562	1329854	34
1301	516950	34
550	9606	34
360105	202	32
1193499	1193499	32
1587	883092	31
1965231	202	31
194	202	30
539	641149	30
33959	883092	30
208224	1329854	30
1104326	1329854	30
1280	9606	29
1874362	202	27
1033837	883092	27
732	729	27
91347	1329854	26
489653	641149	26
690566	13689	25
335659	1128253	25
1423723	883092	25
1332080	13689	24
91353	202	24
93062	93062	24
287	287	23
52242	883092	23
1843368	13689	23
2057025	759272	22
1296536	1329854	21
526969	759272	21
2077136	1329854	21
1333850	1329854	21
1	585396	21
956149	1329854	20
712	729	20
1304873	729	20
301102	1329854	20
1433287	729	19
1507806	202	18
546	1329854	18
767453	1408443	17
72407	9606	17
1673076	13689	17
747	729	17
39152	402880	17
1334187	729	17
334390	1408443	17
41297	13689	17
61645	1329854	17
351746	1193499	16
2051905	1329854	16
300	1210443	16
1211025	1329854	16
1	6500	16
1579	883092	16
716541	1329854	16
2054227	13689	16
1452725	96345	16
482	242231	15
35237	6500	15
1827481	1329854	15
1211579	1193499	15
221988	729	15
1868135	1329854	14
1624	883092	14
1349410	6500	14
1224	641149	14
246197	483219	13
1134687	1329854	13
1679001	729	13
46170	93062	12
197	202	12
67082	9606	11
287	759272	11
28211	13689	11
881260	1329854	11
426368	267377	11
273036	93062	11
399739	1210443	11
869816	93062	11
1	10160	11
1081940	1193499	11
452662	13689	11
1301098	1210443	10
754	729	10
1660067	202	10
698962	698965	10
1870930	1329854	10
588	729	10
1	9606	10
1354030	1329854	10
