taxid	truth_taxid	count
0	331117	10000
435590	435590	10000
1483724	1483724	10000
9606	9606	10000
273121	273121	10000
1979162	1979162	10000
391626	391626	10000
11191	11191	10000
318167	318167	10000
0	13735	10000
0	4098	10000
0	132113	10000
936155	936155	10000
543526	543526	10000
0	403677	10000
452637	452637	10000
575540	575540	10000
120499	120499	10000
10335	10335	10000
897	1121405	9999
0	670483	9989
0	1043004	9989
0	4113	9984
0	3885	9981
0	1442368	9965
0	39947	9960
0	559292	9930
1613	1408443	9928
0	13616	9871
2208	269797	9851
0	10116	9793
0	379508	9769
562	585396	9757
0	6500	9709
1280	93062	9590
0	10160	9513
0	202	9508
0	759272	9402
303	1193499	9162
334856	334856	9137
1313	516950	9048
0	30608	8945
435591	435591	8554
0	3055	8455
0	883092	8294
1717	698965	8286
399739	399739	8167
43080	1132497	8162
0	641149	7921
316	1210443	7745
1714621	1714621	7627
0	13689	7494
96345	96345	6782
267377	267377	6779
482	546266	6642
862965	729	6351
483219	483219	6162
436717	1391912	5974
485	521006	5292
485	242231	4023
354276	1329854	3839
375	1128253	3785
0	546266	3352
1452724	96345	3195
32	483219	3033
0	729	2955
374	1128253	2445
0	1329854	2403
436717	1148157	2253
39152	267377	2199
0	1128253	2171
0	1714621	2084
300	399739	1806
120107	13689	1781
436717	436717	1761
698965	698965	1666
1812934	1329854	1460
375288	435591	1446
9606	30608	1052
979	979	988
402880	402880	968
9606	3055	921
996285	1210443	892
516950	516950	887
37554	37554	850
1334629	1334629	770
286	1193499	705
427317	1132497	672
550	1329854	650
264198	3055	624
379731	1210443	575
867900	867900	570
1355477	1128253	556
644801	1210443	501
9606	10160	485
979	867900	478
482	641149	461
242231	242231	441
427318	1132497	391
0	1132497	339
1223566	1128253	314
1578	883092	299
46170	93062	277
9606	6500	272
543	1329854	270
1714622	1714621	269
1604	883092	261
547	1329854	258
9606	759272	255
487	641149	242
1033837	883092	233
521006	521006	216
9606	10116	204
1491	759272	201
9606	379508	199
652103	1128253	198
1853278	641149	197
224911	1128253	197
71366	71366	196
1579	883092	196
0	1210443	173
488	641149	172
249188	729	164
546263	641149	159
490	641149	147
269797	269797	143
1147150	1147150	139
1587	883092	137
9606	13616	125
429572	1132497	117
187303	1128253	110
374840	374840	107
299766	1329854	100
727	729	96
301105	1329854	95
655307	641149	89
326523	641149	89
1853276	641149	83
419942	1132497	80
165695	13689	76
83683	883092	76
930945	1132497	75
1208324	1128253	75
1423723	883092	71
543	585396	71
33959	883092	70
301102	1329854	68
2057025	759272	67
360104	202	65
1855519	13689	64
2287	1132497	63
199	202	63
76947	13689	62
573	1329854	61
585396	585396	59
1241935	1132497	58
497725	1329854	55
69220	1329854	55
1315974	13689	54
561	585396	53
724	729	52
1279	93062	51
486	641149	48
1196835	1210443	46
485	641149	46
334390	1408443	46
69218	1329854	43
1596	883092	42
640513	1329854	41
484429	13689	40
562	1329854	40
376	1128253	39
712310	729	39
52242	883092	39
1244531	202	38
28091	641149	37
13690	13689	35
9606	559292	34
407020	13689	34
1301	516950	34
9606	39947	34
1349767	759272	33
2051905	1329854	33
1104326	1329854	33
360105	202	32
1965231	202	32
1193499	1193499	32
28211	1128253	31
539	641149	30
208224	1329854	30
1600	883092	28
194	202	27
1874362	202	27
732	729	27
489653	641149	26
1332080	13689	25
690566	13689	25
91347	1329854	25
439386	1132497	25
1333850	1329854	25
2027919	1329854	25
335659	1128253	24
91353	202	24
1296536	1329854	24
93062	93062	24
131567	759272	23
287	287	23
767453	1408443	23
1843368	13689	23
109790	883092	22
1	585396	21
1304873	729	20
956149	1329854	20
1452725	96345	20
1714619	1714621	19
9606	1442368	19
1211025	1329854	19
1433287	729	19
712	729	19
695562	883092	19
61645	1329854	19
1673076	13689	18
1507806	202	18
300	1210443	18
546	1329854	18
9606	3885	18
1624	883092	18
41297	13689	18
747	729	17
880633	883092	17
39152	402880	17
1334187	729	17
2284	1132497	17
1224	641149	17
1868135	1329854	16
548	1329854	16
1827481	1329854	16
716541	1329854	16
351746	1193499	15
482	242231	15
1211579	1193499	15
221988	729	15
1	1329854	14
745310	13689	14
1870930	1329854	13
246197	483219	13
1673428	759272	12
1045856	1329854	12
197	202	12
1545702	883092	12
114615	1128253	12
28211	13689	11
399739	1210443	11
426368	267377	11
273036	93062	11
1215087	1193499	11
35703	1329854	11
869816	93062	11
1081940	1193499	11
452662	13689	11
9606	4113	11
1301098	1210443	10
754	729	10
1660067	202	10
158822	1329854	10
158822	729	10
698962	698965	10
588	729	10
481	641149	10
1354030	1329854	10
2057741	1128253	10
286	1210443	10
365659	729	10
444158	267377	10
28216	641149	10
1189310	483219	10
634176	729	10
1215088	1193499	9
2	641149	9
1421338	1329854	9
195	202	9
1236	729	9
206	202	9
47678	729	9
1915310	1329854	9
1812935	1329854	8
402880	267377	8
627192	13689	8
861109	13689	8
75985	729	8
323097	1128253	8
1354304	559292	8
633699	883092	8
28901	1329854	8
160488	1193499	8
1053692	267377	8
1	559292	8
1123519	1210443	8
549298	729	7
131567	6500	7
1405	559292	7
698964	698965	7
158836	1329854	7
2	93062	7
1380360	883092	7
641147	641149	7
59201	1329854	7
158500	13689	7
