taxid	truth_taxid	count
269797	269797	10000
120499	120499	9998
1979162	1979162	9998
936155	936155	9997
11191	11191	9997
1483724	1483724	9996
543526	543526	9995
10335	10335	9994
318167	318167	9993
273121	273121	9993
452637	452637	9992
435591	435591	9989
575540	575540	9988
391626	391626	9987
435590	435590	9981
399739	399739	9953
402612	96345	9876
1280	93062	9357
483219	483219	9194
334856	334856	9136
1717	698965	9002
43080	1132497	8944
1313	516950	8906
1613	1408443	7844
748671	883092	7322
231023	1193499	6612
267377	267377	6129
436717	1391912	5948
1714621	1714621	5303
562	585396	4876
862965	729	4870
1037409	1128253	4104
585396	585396	3423
303	1193499	3367
316	1210443	3359
485	521006	3335
485	242231	3319
718254	1329854	3263
39152	267377	2879
436717	1148157	2251
996285	1210443	2192
436717	436717	1741
521006	521006	1718
543	585396	1538
379731	1210443	1372
334390	1408443	1329
224911	1128253	1088
867900	867900	1048
96563	1210443	988
698965	698965	986
402880	402880	935
516950	516950	800
867900	979	768
767453	1408443	745
644801	1210443	736
37554	37554	733
242231	242231	720
264198	3055	624
374	1128253	445
46170	93062	324
487	641149	254
1301	516950	238
482	242231	237
482	521006	237
1714622	1714621	216
93062	93062	209
1211025	1329854	187
930943	1132497	179
242231	521006	174
482	641149	170
716541	1329854	166
0	71366	165
426118	1132497	161
521006	242231	159
427317	1132497	157
1104326	1329854	127
469382	759272	121
2284	1132497	118
0	585396	111
374840	374840	107
640513	1329854	104
10699	37554	102
187303	1128253	101
335659	1128253	92
550	1329854	88
1578	883092	83
1279	93062	82
543	1329854	80
427318	1132497	76
712938	1408443	73
114615	1128253	66
10699	1147150	60
1147150	1147150	60
1196835	1210443	59
940296	521006	55
489653	641149	54
1045856	1329854	52
452662	13689	50
1278073	1334629	47
39152	402880	46
956149	1329854	45
940296	242231	42
469	1391912	33
690566	13689	32
360104	202	32
32	483219	32
336306	1329854	31
360105	202	31
485	641149	31
180230	6500	30
137722	1128253	30
419942	1132497	29
429572	1132497	26
91347	1329854	24
122587	641149	24
287	287	23
469	436717	22
573235	585396	22
300	399739	21
585034	1329854	20
1587	883092	20
354276	1329854	20
940296	759272	19
0	1147150	19
71421	729	18
942513	641149	18
745310	13689	18
399739	1210443	18
71366	71366	17
727	729	17
262177	10116	17
816	435590	17
165695	13689	17
869216	516950	16
488222	516950	16
634176	729	16
561	585396	16
399742	1329854	16
906669	1329854	15
0	37554	15
1334187	729	14
196894	71366	14
35237	6500	14
627192	13689	13
1196325	1193499	13
1236	1329854	12
695560	883092	12
662598	641149	12
1008297	1329854	12
1147158	1329854	12
940296	641149	12
930945	1132497	11
0	729	11
59201	1329854	11
374833	641149	11
419435	10116	11
1033837	883092	11
405566	883092	11
579405	1329854	10
630588	641149	10
568819	6500	10
521006	641149	10
281310	729	10
483219	1334629	10
909420	641149	10
122586	641149	9
262177	9606	9
197	202	9
1249634	1329854	9
439386	1132497	9
1006551	1329854	9
180230	10116	9
32	1334629	9
767462	883092	8
1168549	1329854	8
0	93062	8
323097	1128253	8
75985	729	8
265072	1128253	8
171549	435591	8
365659	729	8
290338	1329854	8
1349410	6500	8
262177	6500	8
53945	391626	8
90370	1329854	7
604162	641149	7
242231	641149	7
67082	9606	7
157239	729	7
246197	1334629	7
1123523	93062	7
698972	698965	7
376686	10160	7
10401	10116	7
1144275	1334629	7
573	1329854	7
633699	883092	7
862964	729	7
272831	641149	7
419435	6500	6
935589	641149	6
286	1210443	6
1305598	93062	6
1028307	1329854	6
702113	13689	6
0	379508	6
1132496	729	6
272621	883092	6
695562	883092	6
935593	641149	6
909954	883092	6
159087	1210443	6
91061	729	6
2184	267377	6
891391	883092	6
1191061	1329854	6
936157	1329854	6
262177	10160	6
701347	1329854	6
262727	729	6
205914	729	6
935897	729	6
935599	641149	6
570	1329854	5
1239	516950	5
1048689	1329854	5
266264	379508	5
351746	1210443	5
640131	1329854	5
10401	6500	5
910348	1329854	5
1288122	1329854	5
624	1329854	5
1349409	6500	5
1241935	1132497	5
1133852	585396	5
10401	10160	5
1049565	1329854	5
718251	1329854	5
180230	13616	5
385025	729	5
557723	729	5
0	559292	5
1349410	10160	4
351746	1193499	4
326425	883092	4
432587	3885	4
335795	1147150	4
39640	10160	4
507522	1329854	4
189423	516950	4
1166130	1329854	4
693444	1329854	4
869269	516950	4
693978	13616	4
22	318167	4
432587	39947	4
637910	1329854	4
701177	585396	4
378806	1334629	4
360094	1210443	4
10239	379508	4
0	1329854	4
935588	641149	4
39640	6500	4
547	1329854	3
1338035	202	3
1367491	202	3
666686	729	3
712	729	3
194	202	3
