taxid	truth_taxid	count
9606	9606	10000
936155	936155	9998
1979162	1979162	9998
120499	120499	9998
11191	11191	9997
1483724	1483724	9996
897	1121405	9996
543526	543526	9995
10335	10335	9994
273121	273121	9993
452637	452637	9992
318167	318167	9991
575540	575540	9988
391626	391626	9987
435590	435590	9699
1717	698965	9154
334856	334856	9136
1613	1408443	9130
303	1193499	9097
43080	1132497	8782
316	1210443	8313
562	585396	8150
435591	435591	7609
32	483219	5946
436717	1391912	5858
267377	267377	5763
399739	399739	5542
96345	96345	5515
2208	269797	5309
1714621	1714621	5303
1280	93062	5143
482	546266	4923
862965	729	4828
0	516950	4756
375	1128253	4748
269797	269797	4682
0	93062	4569
300	399739	4394
354276	1329854	4370
1313	516950	4352
1452724	96345	4183
485	521006	3969
485	242231	3856
483219	483219	3279
39152	267377	3245
375288	435591	2379
436717	1148157	2237
436717	436717	1714
120107	13689	1675
543	585396	1521
521006	521006	1218
979	979	975
402880	402880	934
334390	1408443	867
286	1193499	859
224911	1128253	857
698965	698965	831
516950	516950	771
1334629	1334629	769
37554	37554	715
1812934	1329854	710
547	1329854	671
979	867900	655
996285	1210443	628
264198	3055	624
9606	30608	587
9606	3055	561
488	546266	529
374	1128253	466
482	641149	456
550	1329854	406
867900	867900	393
379731	1210443	374
644801	1210443	323
490	546266	317
816	435590	299
1037409	1128253	298
1355477	1128253	288
482	521006	286
427317	1132497	284
242231	242231	284
482	242231	282
402612	96345	264
9606	10160	263
487	641149	252
9606	759272	241
1578	883092	235
1714622	1714621	216
46170	93062	194
0	71366	179
543	1329854	178
9606	6500	176
1587	883092	176
1604	883092	163
2284	1132497	143
488	641149	142
2027919	1329854	135
427318	1132497	134
9606	10116	126
469	1391912	123
249188	729	118
490	641149	115
1491	759272	112
0	585396	111
1579	883092	111
374840	374840	107
561	585396	107
727	729	102
187303	1128253	101
1279	93062	93
1301	516950	92
165695	13689	83
0	37554	82
429572	1132497	79
1033837	883092	79
9606	379508	73
1853278	641149	72
299766	1329854	70
585396	585396	67
546263	641149	65
2057025	759272	62
10699	1147150	60
562	1329854	60
335659	1128253	58
301102	1329854	58
521006	242231	55
10699	37554	53
1147150	1147150	51
1423723	883092	50
9606	13616	49
469	436717	49
33959	883092	48
39152	402880	47
573	1329854	47
2287	1132497	45
419942	1132497	43
242231	521006	43
1333849	1329854	42
69220	1329854	41
2051905	1329854	39
1193499	1193499	39
286	399739	38
1315974	13689	38
1977566	1329854	35
485	641149	35
52242	883092	30
655307	641149	30
1452725	96345	30
1853276	641149	29
1855519	13689	29
1333851	1329854	29
1333850	1329854	28
0	1147150	28
208224	1329854	27
360104	202	26
712310	729	25
83683	883092	25
695562	883092	25
9606	39947	24
1660067	202	24
930945	1132497	23
287	287	23
76947	13689	23
35703	1329854	23
484429	13689	23
1244531	202	22
360105	202	22
724	729	22
1241935	1132497	21
1296536	1329854	21
1560339	1329854	21
1870930	1329854	21
131567	759272	20
716541	1329854	20
376	1128253	20
1874362	202	20
91347	1329854	19
1868135	1329854	19
91347	585396	19
272621	883092	19
59201	1329854	18
1827481	1329854	17
71366	71366	17
9606	559292	17
481	641149	17
539	641149	17
469	1148157	17
634176	729	17
486	641149	17
1332080	13689	16
690566	13689	16
880633	883092	16
199	202	16
732	729	16
488222	516950	16
1078034	585396	16
194	202	15
326523	641149	15
9606	1442368	15
136846	1210443	15
399739	1210443	15
61645	1329854	15
867900	979	14
1211025	1329854	14
407020	13689	14
69218	1329854	13
91353	202	13
747	729	13
745310	13689	13
452662	13689	13
0	729	12
861109	13689	12
301105	1329854	12
640513	1329854	11
180230	6500	10
1507806	202	10
197	202	10
489653	641149	10
9606	3885	10
548	1329854	10
41297	13689	10
1334187	729	9
1421338	1329854	9
195	202	9
2207	269797	9
767462	883092	9
1600	883092	9
1380360	883092	9
439386	1132497	9
1304873	729	9
1596	883092	9
1624	883092	9
712	729	8
171549	435591	8
1168549	1329854	8
28901	1329854	8
672	729	8
286	1210443	8
13690	13689	8
1843368	13689	8
323097	1128253	8
53945	391626	8
1915310	1329854	8
696406	1329854	8
405566	883092	8
109790	883092	7
698972	698965	7
47678	729	7
186826	729	7
2077148	1329854	6
86662	559292	6
627192	13689	6
1463165	1329854	6
158822	1329854	6
75985	729	6
1196835	1210443	6
149539	1329854	6
28091	641149	6
1639	6500	6
91061	729	6
546	1329854	6
731	729	6
2184	267377	6
9606	4113	6
262177	6500	6
630588	641149	5
1388750	202	5
131567	6500	5
1441467	13689	5
1716	698965	5
588	729	5
1328324	1329854	5
1224	641149	5
549	559292	5
1147158	1329854	5
662598	641149	5
324831	883092	5
641147	641149	5
286783	1329854	5
326425	883092	5
633699	883092	5
718251	1329854	5
557723	729	5
1236	1329854	4
1986146	641149	4
22	318167	4
131567	379508	4
956149	1329854	4
335795	1147150	4
189423	516950	4
1921510	13689	4
262727	729	4
979	379508	4
32022	202	4
1658672	641149	4
1673076	13689	4
158836	1329854	4
869269	516950	4
168807	585396	4
1031746	202	4
180230	13616	4
1545702	883092	4
1812935	1329854	3
666686	729	3
419435	6500	3
549298	729	3
10401	10116	3
71421	729	3
1280	883092	3
2109914	641149	3
743972	729	3
33050	13689	3
136841	399739	3
1244528	202	3
1045856	1329854	3
1031754	202	3
76936	202	3
754	729	3
1314884	883092	3
702113	13689	3
935599	641149	3
1520	883092	3
2066049	1329854	3
491077	883092	3
61647	1329854	3
158500	13689	3
1031753	202	3
522484	202	3
1549858	13689	3
137591	883092	3
0	1329854	3
1231725	1329854	3
1692238	641149	3
1224	585396	3
738	729	3
481	521006	3
488221	516950	3
