taxid	truth_taxid	count
303	1193499	10000
823	435591	10000
128	575540	10000
844	273121	10000
2208	269797	10000
821	435590	10000
1217908	391626	10000
214	936155	10000
1717	698965	10000
56812	318167	10000
62320	543526	10000
107709	452637	10000
-2	546266	9999
1613	1408443	9998
1313	516950	9998
-2	331117	9997
1280	93062	9997
-2	132113	9993
-2	13735	9992
-2	1121405	9982
-2	1714621	9979
300	399739	9977
-2	403677	9975
-2	4098	9975
562	585396	9974
-2	759272	9959
-2	559292	9951
-2	670483	9951
-2	120499	9950
-2	3885	9947
-2	13616	9947
-2	4113	9945
-2	1043004	9944
-2	1442368	9944
96345	96345	9943
-2	30608	9942
-2	10335	9940
-2	39947	9934
-2	11191	9932
-2	10160	9932
-2	10116	9924
-2	9606	9917
-2	1979162	9916
-2	379508	9901
-2	6500	9892
-2	1483724	9891
43080	1132497	9756
-2	202	9739
-2	13689	9694
-2	3055	9364
-2	641149	9281
33	483219	9230
316	1210443	9108
39152	267377	9015
-2	334856	8631
47770	883092	7483
-2	1329854	6997
729	729	6327
1148157	1391912	5981
-2	1128253	5664
485	521006	5520
485	242231	4479
-2	729	3352
375	1128253	3015
-2	883092	2351
1148157	1148157	2254
550	1329854	1766
1148157	436717	1763
979	867900	1048
39152	402880	985
-2	1210443	832
979	979	784
1355477	1128253	749
-2	1334629	636
248026	3055	624
-2	37554	600
487	641149	395
40324	334856	340
61645	1329854	299
-2	1132497	241
562	37554	226
1076	1128253	202
-2	979	194
727	729	162
891974	334856	154
1280	71366	154
187303	1128253	108
-2	374840	107
562	1329854	103
28141	1329854	97
1166130	1483724	97
486	641149	96
199	202	86
399742	1329854	86
114615	1128253	85
83455	1334629	84
332056	13689	76
-2	1147150	75
1912	1979162	71
485	641149	71
28901	1329854	66
571	1329854	60
46429	13689	59
197162	11191	58
335659	1128253	55
-2	96345	50
-1	1329854	50
1587	883092	49
562	1147150	44
1334193	1329854	43
545	1329854	43
693444	1329854	37
470934	120499	36
193	1128253	35
-2	71366	35
548	1329854	34
-1	1128253	33
200	202	32
615	1329854	30
573	1329854	30
732	729	30
67825	1329854	29
627192	13689	26
300	1210443	26
-2	585396	25
267818	883092	25
287	287	23
1579	883092	23
54291	1329854	21
1166130	1329854	20
745310	13689	20
1604	883092	18
33959	883092	18
196	202	18
33	1334629	17
550	37554	16
195	202	15
-1	641149	15
197	202	15
592316	1329854	14
54736	1329854	14
157673	729	14
303	1210443	14
54254	10335	14
413502	1329854	13
747	729	13
416273	9606	12
34	1334629	12
588	729	11
184914	1334629	11
380	1128253	10
212663	729	10
550	1147150	10
28037	729	10
75985	729	9
-1	13689	9
111781	379508	9
217	1121405	9
912	1128253	9
28151	1329854	8
446	559292	8
1263550	1329854	8
351604	9606	8
563	1329854	8
48935	13689	7
94132	1128253	7
1581	4098	7
738	729	7
33990	202	7
985002	71366	7
553	1329854	7
82996	1329854	7
298653	10335	7
584	6500	7
114616	1128253	7
29471	10335	7
108	10335	6
34038	1329854	6
750	729	6
28901	37554	6
1156433	1121405	6
986	96345	6
160	3055	6
714	729	6
470934	1329854	6
69328	1147150	6
1280	559292	6
119219	379508	6
732	641149	6
160791	13689	6
84757	9606	6
1007105	729	6
1076	13689	6
2099	10160	6
65123	202	5
47880	1210443	5
86662	759272	5
76517	202	5
891974	1329854	5
564	1329854	5
68280	9606	5
34085	10116	5
338565	1329854	5
43306	9606	5
921	1128253	5
1685	379508	5
91844	559292	5
395922	9606	5
636	1329854	5
1624	883092	5
75985	10116	4
1207075	641149	4
284016	13689	4
1596	883092	4
2188	379508	4
119484	559292	4
28901	1147150	4
351052	202	4
244366	1329854	4
337090	202	4
1063	13689	4
436114	202	4
290400	559292	4
201	202	4
2123	4098	4
294	1329854	4
93929	9606	4
11	403677	4
158899	6500	4
2099	10116	4
482957	1329854	4
2021	1329854	4
2100	6500	4
81032	13689	4
34085	13616	4
28251	9606	4
59610	202	4
68202	403677	4
152480	1329854	4
1685	403677	3
721785	1128253	3
913	1128253	3
443144	641149	3
582	1329854	3
74313	13689	3
39960	13689	3
354356	202	3
945	9606	3
314282	641149	3
106590	641149	3
86665	1210443	3
42879	202	3
-2	93062	3
200451	1210443	3
305	1329854	3
40567	379508	3
2188	6500	3
139	9606	3
482957	10335	3
552	1329854	3
114616	6500	3
564	729	3
531813	202	3
288000	1128253	3
1428	379508	3
171437	13689	3
624	1329854	3
1436290	1210443	3
283811	202	3
313598	979	3
666686	729	3
28903	6500	3
351052	9606	3
1061	13689	3
492670	30608	3
2100	10160	3
272131	403677	3
731	3055	3
615	641149	3
301301	759272	3
614	1329854	3
256701	379508	3
2099	6500	3
