taxid	truth_taxid	count
1295	120499	10000
756285	1979162	10000
1835721	11191	9999
205908	1483724	9998
10510	10335	9995
557598	273121	9989
991022	575540	9983
328430	936155	9982
104580	452637	9982
754523	1121405	9973
-2	331117	9964
-2	13735	9942
167129	318167	9940
1382926	543526	9936
167019	93062	9893
-2	132113	9891
-2	1442368	9863
-2	4113	9859
-2	30608	9855
-2	1043004	9852
-2	3885	9849
-2	39947	9848
-2	670483	9848
-2	559292	9832
-2	4098	9822
-2	13616	9810
-2	9606	9799
-2	379508	9786
-2	10160	9752
-2	6500	9725
-2	10116	9689
-2	403677	9687
-2	202	9630
396359	698965	9571
-2	759272	9540
-2	391626	9508
1412473	1193499	9498
1222338	435590	9476
-2	3055	9326
1778540	96345	9157
72750	334856	9114
1084722	516950	8726
-2	883092	8623
-2	641149	8382
-2	13689	7738
2008771	435591	7417
1412470	585396	7299
1772	1132497	7055
253	1714621	6667
1412473	1210443	6521
1248725	546266	6244
754252	1128253	5739
203168	399739	5609
329852	1329854	5277
1051973	1408443	5276
1311277	729	5273
1248725	521006	5154
859657	269797	5031
1575	1408443	4667
1245469	1391912	4491
1248725	242231	4096
135487	483219	4036
-2	729	3971
1280	267377	3816
496807	267377	3787
-2	546266	3732
1843735	483219	3677
1282994	269797	3455
-2	1714621	3275
-2	1128253	2824
1412473	399739	2711
-2	1329854	2536
340	1210443	2429
1673876	435591	2391
1351740	1132497	1843
66969	13689	1705
1245469	1148157	1598
1245469	436717	1357
169679	585396	1312
426355	269797	1289
1769779	399739	1272
101850	1391912	1235
1606763	483219	1186
71997	267377	1032
1254	516950	961
983594	585396	915
1248725	641149	790
435998	402880	787
1051973	883092	765
169679	1329854	762
1804153	1334629	758
393595	1128253	729
983544	96345	689
859653	867900	672
859653	979	657
1902502	3055	624
2003650	37554	578
101850	1148157	528
430066	1193499	481
-2	1132497	462
670	435590	434
1147144	1329854	401
754055	698965	387
1185359	867900	362
101850	436717	340
1311	1210443	334
328615	979	326
480	521006	324
480	242231	323
548	1329854	323
-1	399739	289
-2	1210443	287
-1	585396	268
330	403677	263
-1	483219	235
1349827	729	220
70822	516950	213
2033032	759272	198
-1	269797	192
1283	1132497	192
-1	1391912	178
693272	267377	177
1379720	1210443	159
1280	402880	159
1738045	71366	153
173082	1128253	152
632516	1132497	147
1147150	435591	137
1738045	6500	135
1738045	759272	129
1738045	37554	127
1838138	10116	126
1574287	1128253	125
1746066	729	124
1085624	4098	123
-1	267377	122
1922816	883092	111
303317	1128253	110
1871690	374840	107
532075	641149	107
336486	1210443	106
-1	1329854	100
486	641149	94
1286	1132497	90
487	641149	90
396595	13689	87
1738045	585396	86
754502	641149	85
1282356	883092	83
-1	1210443	82
1738045	10116	73
35806	1132497	72
362663	1132497	68
532076	1329854	66
-1	1148157	65
1738045	10160	63
557436	1128253	61
532076	585396	58
983545	96345	58
488	641149	55
1189303	96345	55
662755	585396	51
552	1329854	51
-1	1128253	51
694007	37554	50
1805494	202	48
1511871	435590	47
1746060	483219	47
-1	516950	47
1922356	13689	47
747	391626	45
65959	759272	44
1738045	93062	43
1874001	1329854	43
-2	1408443	43
333759	1128253	42
1254432	1132497	42
169679	37554	41
1548918	1329854	41
204507	1128253	40
1147156	1147150	39
-1	436717	39
40522	267377	38
33940	93062	38
1608060	132113	38
429009	132113	36
694007	1147150	36
532074	641149	35
364106	1329854	34
1477406	13689	34
1647408	883092	34
1704044	883092	33
-2	269797	33
1738045	1147150	32
1738045	379508	32
698487	1128253	32
1938657	1148157	32
496396	1329854	31
1770613	883092	30
1491	9606	30
470	1391912	30
1411902	318167	30
1608104	242231	29
1147094	202	29
1678128	435591	29
-2	483219	29
760154	391626	28
-1	729	28
-2	1121405	27
-2	267377	26
297246	132113	26
1545728	543526	26
-1	71366	26
1412470	1147150	25
1412470	37554	25
1869111	641149	25
1738045	13616	25
1642663	729	24
-2	399739	24
1742594	641149	24
693979	729	24
1738045	1329854	24
75906	13689	24
1642436	391626	23
1412473	287	23
755178	883092	23
-2	698965	23
1344042	13735	22
1286142	1714621	22
1869111	399739	21
595500	13689	21
1938657	1391912	21
38251	13689	21
1679238	1128253	21
-2	96345	21
1739610	729	21
1738045	334856	20
-1	37554	20
1345703	402880	20
1414655	202	20
1548	883092	20
485	641149	19
1869111	1210443	19
1484693	1329854	19
1221208	13689	19
698737	729	18
102608	729	18
485	521006	18
-1	1132497	18
1770613	1329854	18
1738045	9606	18
796352	883092	18
-1	242231	18
1678128	435590	17
10372	1329854	17
1922433	391626	17
644	729	16
858517	729	16
-1	13689	16
-2	435591	16
262724	729	16
1873958	13735	16
1549855	93062	16
400121	13689	15
35343	1714621	15
1905730	1329854	15
1147161	13689	15
1738045	30608	15
1379909	1329854	15
470	436717	14
983594	1329854	14
1769779	1210443	14
167019	71366	14
2067572	13689	14
1738045	559292	14
435998	267377	13
1869111	391626	13
1738045	39947	13
663278	729	13
10372	729	13
901	729	13
337825	543526	12
-1	1408443	12
470	1148157	12
1249655	1329854	12
1147152	9606	12
655837	202	12
172391	13689	12
688701	399739	12
1738045	729	12
1738045	641149	12
172220	883092	12
1484158	883092	12
10334	729	12
-1	435590	12
626962	13689	11
1738045	202	11
1869111	1128253	11
956149	641149	11
1871153	883092	11
480	641149	11
1738045	1442368	11
598747	1148157	11
1380361	883092	11
1869111	13689	11
431946	1128253	11
-2	516950	11
1545835	399739	11
170573	1210443	11
755178	9606	11
362837	13689	10
-2	575540	10
-1	641149	10
360911	1391912	10
546	1329854	10
1810952	391626	10
1868472	729	10
480	9606	10
539	1329854	10
-2	585396	10
465447	1128253	10
756280	521006	9
264203	1329854	9
1412600	729	9
1938657	436717	9
-2	452637	9
1443113	96345	9
-1	1147150	9
1774200	641149	9
402384	516950	9
1712654	391626	9
1217821	516950	9
1648481	399739	9
-1	93062	9
598747	1391912	9
698487	13689	9
1714273	641149	9
10564	391626	9
238817	559292	8
1514665	1329854	8
1525	883092	8
-1	96345	8
1747	729	8
-2	521006	8
396513	936155	8
985762	1329854	8
1738045	1210443	8
676	391626	8
-2	1193499	8
-1	402880	8
1955493	1329854	8
326425	559292	8
1738045	452637	8
526227	391626	8
1545835	1210443	8
925818	13735	8
205895	13689	8
525897	9606	8
1379714	729	8
1869241	3055	8
519	202	8
1837862	1329854	7
-2	435590	7
1184251	13689	7
561999	729	7
203168	1210443	7
1121336	483219	7
1543206	9606	7
-1	543526	7
1304	516950	7
234826	391626	7
558152	729	7
10372	399739	7
1649239	559292	7
1360	559292	7
694015	867900	7
210	202	7
1922560	4098	7
-2	1391912	7
37927	391626	7
205920	13689	7
65743	202	7
1088883	1329854	7
1115696	883092	7
399742	559292	7
1326	883092	7
1580580	318167	7
526218	391626	7
398839	391626	6
633149	9606	6
1409	379508	6
2151	379508	6
10372	318167	6
1283291	379508	6
492502	13689	6
167018	379508	6
694431	9606	6
694448	729	6
269213	729	6
1738045	483219	6
264697	729	6
435486	379508	6
694060	1329854	6
1778540	1329854	6
1187956	1128253	6
400122	1329854	6
1678129	559292	6
40522	402880	6
316	543526	6
1675603	883092	6
303317	391626	6
861561	1329854	6
396588	546266	6
1922435	883092	6
432200	202	6
1843735	1334629	6
1481187	202	6
694427	9606	5
2006498	13689	5
1385727	559292	5
1842539	379508	5
698487	391626	5
1091556	3055	5
-1	318167	5
1738045	391626	5
10317	698965	5
1316593	391626	5
697281	1128253	5
73497	202	5
1150353	1329854	5
-2	543526	5
1157337	379508	5
1089120	202	5
1147144	379508	5
-2	936155	5
1738045	3885	5
738	3055	5
70177	759272	5
197783	13689	5
1218357	1329854	5
1923102	9606	5
1050174	9606	5
662596	391626	5
33033	202	5
1385941	559292	5
1777064	202	5
1873958	202	5
298386	1329854	5
1738045	575540	5
365523	391626	5
1245469	1329854	5
956149	242231	5
1089117	391626	5
-2	10335	5
1608105	1329854	5
1746069	3055	5
1738045	13689	5
232380	4098	5
262727	1193499	5
69014	1329854	5
553	559292	5
1678082	9606	5
1675862	516950	4
511	379508	4
264445	202	4
1543419	379508	4
1412453	543526	4
1647387	559292	4
362693	559292	4
984262	698965	4
1283291	559292	4
-1	698965	4
1642299	641149	4
167019	883092	4
-2	273121	4
1940253	546266	4
367850	759272	4
1869111	1148157	4
70803	1329854	4
205872	202	4
1675548	729	4
1549855	3055	4
1382921	331117	4
1902501	379508	4
488	546266	4
1445728	9606	4
1738045	273121	4
1412473	641149	4
299767	641149	4
1412466	202	4
1805714	202	4
1414738	3055	4
34062	202	4
10372	1210443	4
1249654	559292	4
1087440	391626	4
72201	13689	4
-1	1193499	4
35302	399739	4
1955197	641149	4
1150615	379508	4
1353241	391626	4
1738045	399739	4
1869111	1329854	4
990304	202	4
891974	202	4
262728	379508	4
1445729	729	4
1738045	516950	4
1771959	9606	4
138948	883092	4
1345707	641149	4
1923245	202	4
1485186	559292	4
557598	9606	4
10372	641149	4
272632	559292	4
1571	3055	4
565034	391626	4
1382923	1329854	4
861299	4098	4
1304	883092	4
1541883	1329854	4
134599	202	4
901	202	4
10372	37554	4
1384632	391626	4
1249472	379508	4
688354	202	4
754035	1210443	4
398577	759272	4
206672	379508	4
-1	435591	4
1673887	641149	4
525903	202	3
163877	641149	3
697303	403677	3
1316739	4113	3
688354	403677	3
485	1132497	3
199441	202	3
546	883092	3
857288	379508	3
2069432	9606	3
722731	379508	3
395963	759272	3
1679444	379508	3
1358	13735	3
2003327	759272	3
35291	379508	3
633149	10116	3
1868472	641149	3
1385722	202	3
1923398	1329854	3
370554	641149	3
1922538	391626	3
230158	435590	3
1482734	202	3
400835	729	3
1739610	641149	3
1543199	9606	3
40012	3055	3
693973	379508	3
337824	729	3
598747	436717	3
334203	403677	3
1923398	641149	3
1249526	391626	3
-1	521006	3
1922786	202	3
1738045	242231	3
230361	379508	3
10280	379508	3
498217	641149	3
1283312	3055	3
134681	379508	3
595895	1329854	3
202813	559292	3
263358	202	3
1579	729	3
10334	516950	3
529709	13689	3
754064	1329854	3
1674923	9606	3
694015	71366	3
674	1128253	3
992212	1329854	3
1608440	391626	3
103442	403677	3
1114969	729	3
1415166	641149	3
858517	883092	3
204440	559292	3
590409	759272	3
1278479	202	3
402882	331117	3
669	331117	3
1873452	883092	3
694015	979	3
10334	883092	3
1112	883092	3
465817	559292	3
399183	391626	3
300852	729	3
518	202	3
461322	331117	3
-2	334856	3
693998	3055	3
203275	9606	3
1871313	729	3
1843757	641149	3
464980	1329854	3
267128	202	3
41460	1329854	3
1641812	1193499	3
1087440	559292	3
41459	202	3
398839	559292	3
1511761	1210443	3
-1	867900	3
956149	521006	3
557724	13689	3
399599	379508	3
1345703	267377	3
1678129	13689	3
-1	936155	3
2005462	641149	3
1936080	202	3
336407	6500	3
103881	4098	3
2038728	403677	3
1933904	9606	3
857288	202	3
1869111	242231	3
1380767	883092	3
35244	13689	3
1051675	1329854	3
1648484	6500	3
1641642	13689	3
1249663	379508	3
-2	318167	3
1648484	10160	3
1214242	403677	3
1417756	202	3
