taxid	truth_taxid	count
0	331117	10000
0	132113	10000
0	6500	10000
936155	936155	10000
0	3885	10000
0	379508	10000
273121	273121	10000
0	403677	10000
0	4098	10000
1979162	1979162	10000
0	1043004	10000
120499	120499	10000
897	1121405	10000
11191	11191	10000
0	13735	10000
435590	435590	9999
391626	391626	9999
0	670483	9999
0	1442368	9998
0	559292	9998
452637	452637	9997
0	4113	9997
318167	318167	9997
0	39947	9997
10335	10335	9996
543526	543526	9995
575540	575540	9994
1714621	1714621	9976
1483724	1483724	9950
0	13616	9948
0	10116	9918
1613	1408443	9917
0	759272	9898
562	585396	9806
0	10160	9782
9606	9606	9678
1280	93062	9623
303	1193499	9400
2208	269797	9398
0	3055	9376
334856	334856	9129
1313	516950	8925
862965	729	8885
0	202	8828
435591	435591	8571
399739	399739	8344
0	30608	8303
316	1210443	8011
43080	1132497	7940
1717	698965	7713
267377	267377	7256
0	641149	6836
96345	96345	6705
483219	483219	6396
436717	1391912	5975
490	546266	5506
0	883092	5391
485	521006	5223
120107	13689	4487
0	13689	4301
375	1128253	4282
354276	1329854	4005
485	242231	3846
1452724	96345	3183
482	546266	3169
32	483219	2821
698965	698965	2273
436717	1148157	2253
0	1329854	2204
374	1128253	1968
436717	436717	1761
39152	267377	1752
9606	30608	1697
300	399739	1632
0	1128253	1559
1812934	1329854	1481
375288	435591	1429
0	546266	1307
516950	516950	1033
979	979	989
402880	402880	973
996285	1210443	906
1578	883092	854
37554	37554	850
482	641149	832
1334629	1334629	770
427317	1132497	770
1604	883092	755
1355477	1128253	725
652103	1128253	700
1579	883092	660
550	1329854	644
1587	883092	631
264198	3055	624
0	729	622
242231	242231	614
269797	269797	600
867900	867900	584
1033837	883092	561
1853278	641149	538
286	1193499	534
379731	1210443	480
979	867900	464
427318	1132497	453
644801	1210443	444
1223566	1128253	391
487	641149	340
547	1329854	325
0	9606	322
543	1329854	302
1423723	883092	299
488	641149	291
521006	521006	288
46170	93062	277
249188	729	277
0	1132497	274
490	641149	273
9606	10160	218
199	202	210
165695	13689	199
71366	71366	196
