taxid	truth_taxid	count
0	331117	10000
0	6500	10000
435591	435591	10000
11191	11191	10000
936155	936155	10000
0	403677	10000
1714619	1714621	10000
120499	120499	10000
0	132113	10000
0	1121405	10000
0	4098	10000
11207	1979162	10000
0	670483	10000
0	379508	10000
0	13616	10000
0	30608	10000
0	10160	10000
0	759272	10000
0	1043004	10000
0	13735	10000
0	3885	9999
435590	435590	9999
0	10116	9999
391626	391626	9999
0	1442368	9998
0	39947	9998
0	4113	9998
0	559292	9998
452637	452637	9997
318167	318167	9997
10335	10335	9996
543526	543526	9995
575540	575540	9994
399739	399739	9971
0	9606	9968
1483724	1483724	9950
1280	93062	9948
0	273121	9883
2208	269797	9399
0	3055	9376
483219	483219	9224
334856	334856	9129
862965	729	9109
0	202	9083
0	546266	8953
43080	1132497	8926
1313	516950	8895
0	13689	8471
0	641149	8049
267377	267377	7502
1717	698965	7233
96345	96345	6707
316	1210443	6301
436717	1391912	5979
562	585396	5908
1613	1408443	5691
0	883092	5430
231023	1193499	4993
303	1193499	4988
354276	1329854	4931
485	521006	4897
585396	585396	3994
375	1128253	3704
485	242231	3619
1452724	96345	3184
1578	1408443	2994
0	1329854	2871
698965	698965	2751
436717	1148157	2253
374	1128253	1933
436717	436717	1763
0	1128253	1733
1578	883092	1551
39152	267377	1506
996285	1210443	1374
1132497	1132497	1064
516950	516950	1063
550	1329854	1044
979	979	990
402880	402880	973
224911	1128253	923
379731	1210443	881
242231	242231	854
37554	37554	850
487	546266	791
1334629	1334629	770
1579	883092	753
652103	1128253	731
0	729	724
96563	1210443	722
1033837	883092	636
334390	1408443	630
264198	3055	624
867900	867900	622
487	641149	619
521006	521006	619
269797	269797	600
745310	13689	539
1587	883092	512
644801	1210443	462
546263	641149	430
979	867900	426
1223566	1128253	377
482	641149	288
767453	1408443	272
199	202	262
489653	546266	236
489653	641149	233
360104	202	231
407020	13689	221
891391	883092	217
114615	1128253	200
61645	1329854	200
71366	71366	196
41294	1128253	194
484429	13689	188
52242	883092	186
1355477	1128253	178
1381124	1408443	168
543	1329854	162
485	641149	159
0	1210443	154
695562	883092	151
360105	202	150
1147150	1147150	143
1632	1408443	142
452662	13689	120
880633	883092	111
374840	374840	107
712938	1408443	103
165695	13689	102
690566	13689	99
547	1329854	91
1333850	1329854	73
402612	96345	71
1332080	13689	69
35703	1329854	68
543	585396	65
716541	1329854	64
1244531	202	59
194	202	57
405566	883092	55
1104326	1329854	52
640513	1329854	50
573	1329854	50
633699	883092	49
956149	1329854	49
1435457	1483724	48
33959	883092	48
1600	883092	47
1403312	883092	46
1211025	1329854	40
1560339	1329854	39
732	729	38
399739	1210443	38
1421338	1329854	36
324831	883092	35
485	9606	32
1301	516950	31
93062	93062	28
1452725	96345	28
1507806	202	27
1	585396	24
374833	641149	24
1196835	1210443	24
935588	641149	24
335659	1128253	24
326425	883092	24
712	729	23
287	287	23
662598	641149	23
1	1329854	22
727	729	22
482	546266	19
257314	883092	18
909954	883092	18
1032069	202	18
351746	1193499	17
767456	883092	17
724	729	17
196	202	17
279238	13689	15
548	1329854	15
732	641149	15
1408186	883092	14
767462	883092	14
286	1210443	14
561	1329854	14
767455	883092	13
627192	13689	13
1150621	273121	13
