taxid	truth_taxid	count
1311	1154870	24966
1309	1074120	24947
0	435590	24315
0	1403312	23670
0	93062	23253
0	525376	22892
0	411466	22882
0	290402	22134
1351	749498	22014
1396	526973	21908
0	637913	21552
0	243230	21324
0	272943	18768
0	393123	16433
471	710094	16243
485	630588	16148
0	983918	11900
0	765115	11742
257758	516950	10432
0	585396	10363
0	516950	10090
1813821	585396	9762
0	765105	8040
0	630588	7303
1642	393123	5956
0	208964	5029
48296	710094	4962
0	710094	3980
1303	516950	3879
138563	637913	2972
0	749498	2765
1892404	526973	2678
2033869	272943	2626
0	526973	2389
1450169	983918	2355
671223	765115	2163
671223	765105	2160
1638	393123	1890
1499973	585396	1284
36745	290402	1223
495	630588	1033
564886	585396	862
1392	526973	815
169679	290402	789
196242	585396	776
563769	585396	759
1868596	983918	743
316	983918	700
1309411	243230	671
1148157	710094	585
55148	243230	472
68909	243230	449
310783	243230	421
32630	585396	365
1294143	983918	349
70255	525376	333
539	630588	325
1335048	272943	302
33011	765115	293
29384	525376	264
308754	272943	263
1796613	435590	262
12417	1403312	259
1229727	272943	254
294	983918	250
1294143	208964	223
1579	1403312	221
32630	93062	214
1812934	585396	207
300	983918	196
83683	1403312	193
347324	983918	193
1077935	272943	192
936054	585396	181
1208324	272943	177
61648	585396	177
283734	525376	176
9606	290402	172
29384	93062	170
1284	525376	168
300	208964	168
1156433	516950	163
1328	516950	161
45634	516950	158
414970	585396	155
374810	585396	152
294	208964	150
9606	525376	148
316	208964	147
40215	710094	143
103807	585396	139
1134687	585396	138
1660365	585396	134
1981164	585396	129
1915078	272943	129
1567486	585396	126
32630	525376	126
283734	93062	125
53412	208964	123
326523	630588	122
215813	272943	120
376805	435590	119
1611770	983918	117
2109625	272943	116
47880	983918	115
53412	983918	115
545	585396	113
633807	749498	111
1149133	983918	111
70255	93062	109
1945662	272943	108
33011	765105	107
1129146	983918	107
32630	983918	106
1484157	585396	104
1147152	585396	103
360398	93062	103
9606	1403312	100
157782	983918	100
384	272943	96
9606	637913	95
1396	525376	94
9606	93062	93
2057025	93062	93
186765	585396	92
1839798	526973	92
1839799	516950	91
1500686	983918	90
1284	93062	88
2081702	411466	88
1411902	272943	87
129009	93062	85
1501	290402	84
69328	983918	82
320831	93062	80
1755689	983918	78
1221835	710094	77
1611770	208964	76
1396	393123	76
1311	516950	76
1149133	208964	76
1548	290402	76
1147148	585396	76
217159	290402	74
9606	435590	74
104087	983918	73
1524881	585396	72
1702170	585396	69
10710	585396	68
315405	516950	68
1981157	585396	68
221822	272943	68
1147146	585396	67
330	983918	63
9606	393123	62
1980001	411466	62
1396	93062	61
9606	516950	61
879274	272943	60
1649877	208964	59
139208	411466	59
1283291	983918	59
52227	525376	58
97081	585396	57
10744	585396	57
571915	411466	56
157782	208964	56
76758	983918	55
1930532	983918	54
1777052	983918	54
1305	516950	54
1649877	983918	54
244366	585396	54
312306	208964	52
1145276	525376	52
37554	585396	51
54736	585396	51
223967	272943	50
1150869	585396	50
358	272943	49
1416032	585396	49
47880	208964	49
46867	290402	49
193	272943	48
1912	411466	47
2026240	585396	47
0	1074120	47
1124655	585396	47
1500686	208964	47
187137	243230	46
198620	208964	46
237609	983918	45
379329	585396	45
32630	516950	45
1930532	208964	44
1825069	516950	44
104087	208964	44
445516	93062	44
10761	585396	43
561879	393123	42
1326	516950	42
61646	585396	42
1888	411466	42
330	208964	41
76860	516950	41
10730	585396	41
217	637913	41
1129145	983918	40
528244	272943	40
489779	585396	40
397865	435590	39
163877	525376	39
28118	435590	39
312306	983918	38
426117	272943	38
1839798	525376	37
1090133	585396	37
412384	525376	37
10742	585396	37
1571	393123	36
61647	585396	36
71999	411466	35
1270	411466	35
293387	393123	35
320837	93062	35
575	585396	35
7	272943	34
86664	393123	34
1920128	585396	34
316	272943	34
0	1154870	34
290400	272943	34
34073	272943	33
432198	585396	33
379347	272943	33
55884	585396	33
163877	393123	33
47879	208964	33
2060307	749498	33
2015316	272943	32
69328	208964	32
200451	983918	32
29430	710094	32
1334	516950	32
1458706	585396	32
1661	411466	31
2072025	393123	31
28447	411466	31
9606	526973	31
1844006	272943	31
432201	585396	31
274	243230	31
1538	290402	31
1981168	585396	31
1230998	411466	30
1874630	411466	30
399	272943	30
1892404	525376	30
288000	272943	30
305	243230	29
305	272943	29
1351	525376	29
1750719	393123	29
1812480	411466	29
1283291	208964	29
1396	1403312	29
2066	411466	29
95486	272943	29
2371	208964	29
1351	393123	28
92945	272943	28
1623298	93062	28
29341	290402	28
396	272943	28
304895	411466	28
1147149	585396	28
1216932	290402	27
32630	637913	27
580165	525376	27
2033438	585396	27
375	272943	27
444444	272943	27
418223	272943	26
294	272943	26
71433	272943	26
2756	393123	26
28450	272943	26
1513	290402	26
294	243230	26
348058	585396	26
1712675	525376	26
1795630	411466	26
34018	272943	26
1195071	93062	26
1883	411466	26
95486	983918	26
31963	411466	26
1638	525376	26
9606	749498	25
656366	411466	25
1613	1403312	25
29429	272943	25
1308897	93062	25
155148	585396	25
2018025	411466	25
1349819	272943	24
9606	585396	24
1147156	585396	24
1358	393123	24
1853130	983918	24
10871	208964	24
34073	243230	24
47763	411466	24
412690	411466	23
42197	411466	23
28077	272943	23
1981169	585396	23
332249	243230	23
1336	516950	23
42422	393123	23
2751	393123	23
1911587	525376	23
1407493	585396	23
257708	272943	23
1972846	411466	23
2045452	411466	23
536018	272943	22
198620	983918	22
1334	1154870	22
320844	93062	22
1498171	93062	22
86665	393123	22
881	243230	22
316	243230	22
1303	1403312	22
1736675	272943	22
315405	393123	22
47763	243230	22
1610576	525376	22
37927	411466	22
49118	525376	21
1358	1403312	21
40567	411466	21
40567	243230	21
237609	208964	21
376	272943	21
1309	516950	21
95486	411466	21
1274	411466	21
1038928	411466	21
1276	411466	21
2018025	243230	21
53399	272943	21
1033922	411466	21
10699	93062	21
32630	630588	20
1894	411466	20
1158459	585396	20
33014	411466	20
28112	435590	20
1471	525376	20
1680	411466	20
1981159	585396	20
1396	290402	20
1888	243230	20
384	411466	20
2066070	272943	20
69218	585396	20
977801	749498	20
42197	243230	20
2020312	272943	20
2083055	208964	20
83655	585396	20
580165	526973	20
1208236	637913	19
1147147	585396	19
244566	983918	19
88688	272943	19
1902	411466	19
284016	272943	19
42239	411466	19
384	765105	19
1636205	93062	19
106648	710094	19
1764	411466	19
2057741	272943	19
72	630588	19
189426	393123	19
1912	243230	19
31535	983918	19
2135430	411466	19
1386	525376	19
110321	272943	19
121292	411466	18
384	243230	18
1007676	1403312	18
150055	516950	18
1392	525376	18
1347760	93062	18
1178537	393123	18
267128	272943	18
68280	411466	18
1841249	411466	18
86664	525376	18
430796	93062	18
585455	630588	18
1226968	272943	18
1892404	393123	18
186192	243230	18
2067572	983918	18
756828	393123	18
1993866	1403312	18
1548901	983918	18
225326	411466	18
1392	393123	18
219572	983918	17
68570	411466	17
2702	516950	17
1147153	585396	17
2005046	983918	17
1848580	585396	17
1121358	411466	17
2756	525376	17
1349	393123	17
450734	411466	17
95486	243230	17
2083055	983918	17
1837283	411466	17
397260	272943	17
1571470	272943	17
668618	93062	17
105219	243230	17
1812934	710094	17
413502	585396	17
28450	208964	17
1542	290402	17
413497	585396	17
432200	585396	17
1829	411466	17
1638	93062	17
1154995	637913	17
134676	243230	17
1914861	585396	17
76936	637913	16
426117	243230	16
1859	411466	16
1911175	411466	16
349751	411466	16
76731	765105	16
1847728	1403312	16
441209	272943	16
192421	393123	16
1069378	637913	16
9606	630588	16
2099788	1403312	16
47877	208964	16
169679	525376	16
9606	243230	16
9606	272943	16
672	983918	16
379067	243230	16
38289	411466	16
1771959	411466	16
475662	983918	16
756892	710094	16
587	983918	16
33052	272943	16
1265601	411466	16
43357	411466	16
1915	411466	16
1590	93062	16
1498227	585396	16
379501	93062	15
1134687	710094	15
158500	272943	15
595593	411466	15
648017	93062	15
1747326	749498	15
1348	516950	15
488731	272943	15
47763	272943	15
1138822	1403312	15
571913	411466	15
34029	272943	15
39960	272943	15
1571	93062	15
436515	243230	15
1124654	585396	15
1470176	411466	15
1501	393123	15
1861	411466	15
34073	983918	15
215167	93062	15
28068	272943	15
2135430	243230	15
1560345	272943	15
1642	525376	15
1195086	93062	15
927083	272943	15
2020	411466	15
1484157	710094	15
1449	525376	15
33069	983918	14
413501	585396	14
2018025	272943	14
1812480	243230	14
561879	93062	14
648999	765115	14
536	272943	14
1223566	272943	14
633807	525376	14
293387	93062	14
29341	393123	14
2018025	765115	14
42256	765105	14
553510	411466	14
1906741	208964	14
1674922	272943	14
561879	525376	14
