taxid	truth_taxid	count
1063	272943	74718
243230	243230	49807
0	393123	34507
1311	1154870	28446
1639	393123	27101
287	983918	27092
562	585396	25781
1309	1074120	25072
435590	435590	25000
290402	290402	24998
864803	290402	24977
470	710094	24870
1282	525376	23934
1280	93062	23870
487	630588	22980
1313	516950	21183
0	411466	20134
1351	749498	19225
1396	526973	18491
637913	637913	17681
1319	1154870	15481
1596	1403312	15182
287	208964	12871
1114966	765115	12298
1747	765105	10367
1091045	765105	9013
516950	516950	8573
210	637913	8308
630588	630588	6881
210007	1074120	6789
1437447	1074120	6776
1206105	749498	6713
1114967	765115	6517
1114969	765115	6487
1198676	1074120	6358
511691	1074120	5587
0	1403312	5565
869216	516950	5053
208964	208964	4948
1155071	1074120	4867
1520	290402	4497
361100	526973	4490
349101	272943	4467
405534	526973	3825
334406	526973	3749
565651	749498	3316
226185	749498	3068
0	749498	2618
1428	526973	2524
471	710094	2521
1380360	1403312	2325
324831	1403312	2248
1747	765115	2121
557760	272943	2032
1892404	526973	2028
1	393123	2019
0	983918	2012
0	526973	1999
1287066	749498	1861
0	525376	1792
474186	749498	1568
935590	630588	1563
222523	526973	1462
932919	393123	1347
480119	710094	1302
52773	411466	1243
1217984	526973	1208
585396	585396	1181
288681	526973	1175
1309807	1154870	1163
1201292	749498	1085
2053832	526973	1068
930170	526973	1046
561276	516950	991
935591	630588	954
1261557	749498	945
935589	630588	881
488222	516950	870
405535	526973	834
93062	93062	791
46170	93062	749
488221	516950	706
1392	526973	698
765964	637913	694
1163739	637913	674
512562	637913	669
1055529	637913	669
1163740	637913	646
794851	637913	638
1163741	637913	633
1055528	637913	599
0	585396	579
1450169	983918	556
1055531	637913	546
526977	526973	530
33959	1403312	530
0	93062	529
1427342	983918	501
637380	526973	476
941193	983918	459
935588	630588	458
557722	983918	387
1408272	983918	383
765963	637913	376
487214	516950	357
170187	516950	352
1055532	637913	340
374833	630588	339
1449752	525376	337
176279	525376	331
269801	526973	330
1091045	765115	324
176280	525376	314
604162	630588	304
