taxid	truth_taxid	count
1299	243230	25000
210	637913	24999
1063	272943	24999
1639	393123	24998
1520	290402	24993
821	435590	24993
1309	1074120	24991
1280	93062	24934
1313	516950	24931
487	630588	24862
562	585396	24600
1282	525376	22579
470	710094	22276
1351	749498	21863
1396	526973	17540
1596	1403312	17536
287	983918	14881
1747	765115	14436
1747	765105	10378
1311	1154870	9396
287	208964	6777
52773	411466	802
1428	526973	425
2053832	526973	421
33959	1403312	325
1892404	526973	228
316	983918	140
1283	525376	93
1405	526973	89
1852377	411466	88
29388	525376	73
671223	765105	70
1280	525376	64
1450169	983918	64
1295	525376	51
12417	1403312	49
53345	749498	43
1129146	983918	37
111015	411466	34
43675	411466	31
1931241	983918	31
1290	525376	31
2005703	749498	30
633807	749498	30
1788301	983918	30
69328	983918	25
544580	411466	22
29384	525376	19
267818	1403312	18
712122	411466	18
109790	1403312	18
1229	983918	16
614	983918	16
2081702	411466	15
1604	1403312	15
1851395	411466	15
303	983918	15
2077148	983918	14
1587	1403312	14
186189	411466	13
1868596	983918	13
741091	983918	12
1392	526973	12
158787	411466	11
977801	749498	11
1825069	1154870	11
2003551	411466	10
28141	983918	10
53358	411466	9
11	411466	9
1053	983918	9
1294143	983918	9
1960083	411466	9
372663	411466	8
106634	983918	8
46127	525376	8
1545702	1403312	8
758802	411466	8
1903186	411466	7
580165	526973	7
1750	411466	7
1805827	411466	7
45972	525376	7
2014	411466	6
862751	411466	6
1849032	411466	6
1708	411466	6
42817	411466	6
363555	1403312	6
43669	411466	6
399497	411466	6
2017484	411466	6
1121358	411466	6
453304	411466	5
55518	983918	5
1978566	411466	5
1416334	1403312	5
1579	1403312	5
1658671	411466	5
28447	411466	5
2079227	411466	5
1610493	411466	5
337191	411466	5
2017485	411466	5
80869	411466	5
1270	411466	5
1909732	411466	5
75385	411466	5
1332264	411466	4
38305	411466	4
643214	525376	4
84757	411466	4
1630135	411466	4
97478	1403312	4
69373	411466	4
1331682	411466	4
216816	411466	4
60920	411466	4
1684	411466	4
1390	526973	4
139208	411466	4
196162	411466	4
1980001	411466	4
28025	411466	4
1938334	411466	4
158500	411466	4
1748	411466	4
2047	411466	4
1613	1403312	4
104087	983918	4
37927	411466	4
279828	411466	4
1134435	411466	4
35760	411466	3
1618207	411466	3
1912795	411466	3
83453	411466	3
43770	411466	3
2061	411466	3
412690	411466	3
940614	411466	3
530584	411466	3
1355015	411466	3
258224	411466	3
162426	411466	3
1779382	411466	3
65058	411466	3
408015	411466	3
361575	411466	3
29405	411466	3
1601	1403312	3
2020	411466	3
1675686	411466	3
1616117	411466	3
1703	411466	3
134601	411466	3
