taxid	truth_taxid	count
210	637913	25000
1299	243230	25000
1063	272943	24999
1639	393123	24998
821	435590	24998
1520	290402	24993
1309	1074120	24991
1280	93062	24936
1313	516950	24929
487	630588	24858
562	585396	24602
1282	525376	22583
470	710094	22306
1351	749498	21858
1396	526973	17541
1596	1403312	17519
287	983918	14902
1747	765115	14435
1747	765105	10346
1311	1154870	9426
287	208964	6777
52773	411466	814
1428	526973	429
2053832	526973	419
33959	1403312	325
1892404	526973	221
316	983918	149
1283	525376	93
1852377	411466	85
29388	525376	75
1405	526973	70
671223	765105	67
1450169	983918	62
1280	525376	60
53345	749498	56
12417	1403312	54
1295	525376	51
1129146	983918	46
633807	749498	38
111015	411466	35
1931241	983918	31
1290	525376	31
2005703	749498	30
43675	411466	30
1788301	983918	28
69328	983918	25
712122	411466	21
109790	1403312	18
1851395	411466	17
267818	1403312	17
52227	525376	16
544580	411466	16
47880	983918	16
1229	983918	16
1587	1403312	15
1604	1403312	14
2077148	983918	14
303	983918	14
11	411466	13
2081702	411466	12
158787	411466	12
741091	983918	12
186189	411466	11
977801	749498	11
1392	526973	11
1960083	411466	10
1053	983918	10
28141	983918	10
2003551	411466	9
1661	411466	8
372663	411466	8
46127	525376	8
857417	411466	8
580165	526973	7
106634	983918	7
1703	411466	7
28447	411466	7
1545702	1403312	7
1868596	983918	7
453304	411466	6
2014	411466	6
1579	1403312	6
1416334	1403312	6
1658671	411466	6
1750	411466	6
1355015	411466	6
862751	411466	6
1849032	411466	6
1978566	411466	6
1805827	411466	6
1610493	411466	6
1624	749498	6
2017485	411466	6
363555	1403312	6
43669	411466	6
2045452	411466	6
45972	525376	6
2017484	411466	6
84757	411466	5
1805478	411466	5
1331682	411466	5
52242	1403312	5
337191	411466	5
1909732	411466	5
1684	411466	5
1708	411466	5
42817	411466	5
1270	411466	5
75385	411466	5
37927	411466	5
1072256	411466	5
28026	411466	4
643214	525376	4
43770	411466	4
131568	411466	4
758802	411466	4
279828	411466	4
29405	411466	4
37329	411466	4
216816	411466	4
1390	526973	4
196162	411466	4
1980001	411466	4
28025	411466	4
1747326	749498	4
1274	411466	4
158500	411466	4
1748	411466	4
2047	411466	4
1613	1403312	4
1938334	411466	4
399497	411466	4
1520670	411466	3
38305	411466	3
1912795	411466	3
1332264	411466	3
1903186	411466	3
53358	411466	3
43357	411466	3
285473	411466	3
2061	411466	3
940614	411466	3
2079227	411466	3
485	411466	3
258224	411466	3
162426	411466	3
1779382	411466	3
1905847	411466	3
408015	411466	3
361575	411466	3
595593	411466	3
1601	1403312	3
665099	526973	3
60920	411466	3
530584	411466	3
1675686	411466	3
1616117	411466	3
134601	411466	3
1912	411466	3
1074467	526973	3
2045	411466	3
1136941	411466	3
28264	411466	3
28038	1403312	3
347324	983918	3
2020	411466	3
83453	411466	3
367477	411466	3
72000	411466	3
246432	525376	3
1357915	411466	3
412690	411466	3
1134435	411466	3
396	411466	3
37928	411466	2
1089444	411466	2
1710	411466	2
1471	526973	2
388950	411466	2
1727	411466	2
1382	411466	2
36809	411466	2
33910	411466	2
1714373	411466	2
34018	411466	2
638619	411466	2
136857	411466	2
28035	525376	2
1758689	411466	2
1472767	525376	2
1630135	411466	2
54571	411466	2
242703	411466	2
31963	411466	2
1868599	526973	2
343	411466	2
1297617	411466	2
1725411	411466	2
1335613	411466	2
300019	411466	2
2020486	411466	2
1642299	411466	2
1694	411466	2
1906742	411466	2
57704	411466	2
37332	411466	2
477641	411466	2
314722	411466	2
68570	411466	2
1791	411466	2
139208	411466	2
146923	411466	2
1619308	411466	2
33011	411466	2
286802	411466	2
670052	411466	2
1866	411466	2
445576	411466	2
33903	411466	2
1586287	411466	2
1575	411466	2
1984801	411466	2
225326	411466	2
31958	411466	2
639313	411466	2
1916	411466	2
1294143	983918	2
1077935	411466	2
191610	411466	2
37919	411466	2
1711	411466	2
1783515	411466	2
1771	411466	2
1889	411466	2
881	411466	2
1231000	411466	2
482462	411466	2
155322	526973	2
1795631	411466	2
69373	411466	2
1264	411466	2
256701	411466	2
1038928	411466	2
1861	411466	2
7	411466	2
446860	411466	2
1230998	411466	2
28901	411466	1
35760	411466	1
2057	411466	1
1618207	411466	1
1859	411466	1
1915078	411466	1
298653	411466	1
1673428	526973	1
1888	411466	1
83683	1403312	1
2020312	411466	1
196914	411466	1
161879	411466	1
2001	411466	1
861299	411466	1
1578165	411466	1
1680	411466	1
33905	411466	1
1690248	411466	1
1169025	411466	1
1571470	411466	1
1830	411466	1
492670	526973	1
1063	411466	1
921	411466	1
1795630	411466	1
1494608	411466	1
1652545	411466	1
121292	411466	1
1653478	411466	1
2734	411466	1
84595	411466	1
43767	411466	1
1458307	411466	1
745310	411466	1
471827	411466	1
83455	411466	1
287	411466	1
160386	411466	1
76731	411466	1
280236	411466	1
97478	1403312	1
242606	411466	1
686597	411466	1
65058	411466	1
33888	411466	1
157782	411466	1
1848255	411466	1
164348	411466	1
240495	411466	1
528244	411466	1
1690815	411466	1
156978	411466	1
656024	411466	1
33010	411466	1
182710	526973	1
38289	411466	1
875328	411466	1
119219	411466	1
1636152	411466	1
340345	411466	1
78258	411466	1
712270	411466	1
53437	411466	1
42256	411466	1
2054	411466	1
1109743	411466	1
2041	411466	1
1247	1403312	1
379067	411466	1
463040	411466	1
1914	411466	1
103731	411466	1
1797	411466	1
1744	411466	1
1771959	411466	1
1852	411466	1
1874630	411466	1
134962	411466	1
1528099	411466	1
656178	411466	1
225194	411466	1
68214	411466	1
2187	411466	1
28118	411466	1
1901	411466	1
166501	411466	1
996	1403312	1
392416	1403312	1
1420917	411466	1
1531429	411466	1
56	411466	1
1479019	411466	1
556325	411466	1
1223514	411466	1
217203	411466	1
571915	411466	1
656366	411466	1
1825069	1154870	1
722731	411466	1
2021	411466	1
29303	411466	1
394751	710094	1
2702	411466	1
1930	411466	1
2067960	411466	1
290399	411466	1
43674	411466	1
1747	411466	1
1561023	411466	1
28131	411466	1
548	526973	1
2094021	411466	1
119	411466	1
1334	1154870	1
2051	411466	1
103816	411466	1
1074467	1403312	1
1814	411466	1
553510	411466	1
80679	411466	1
1836	411466	1
349751	411466	1
1933880	411466	1
940615	411466	1
71999	411466	1
84292	411466	1
1121358	411466	1
2026199	411466	1
1812480	411466	1
146919	411466	1
1639	526973	1
702967	411466	1
455432	411466	1
57705	411466	1
1795053	411466	1
