taxid	truth_taxid	count
1485	290402	25000
209	637913	25000
816	435590	25000
1637	393123	25000
1298	243230	25000
1301	516950	25000
1060	272943	25000
482	630588	24999
1301	1074120	24999
1301	1154870	24996
469	710094	24985
1279	93062	24980
561	585396	24745
1279	525376	23053
1386	526973	22661
1350	749498	21999
1578	1403312	18179
286	983918	15743
1912216	765115	14442
1912216	765105	10376
286	208964	6776
1654	411466	1043
1883	411466	78
1743	765105	72
1716	411466	57
2737	749498	39
1678	411466	38
32207	411466	38
43668	411466	32
1763	411466	31
1663	411466	31
1707	411466	30
1623287	983918	29
33882	411466	20
838	525376	16
1827	411466	16
72763	411466	15
544	710094	15
544	983918	14
34037	983918	12
254250	411466	12
1839	411466	10
1573	411466	10
1069494	411466	9
85108	983918	9
157920	411466	9
1696	411466	9
186188	411466	8
1269	411466	7
1912217	411466	7
2034	411466	7
2013	411466	7
1817	411466	6
69578	411466	6
267408	411466	5
1742993	411466	5
57493	411466	5
1279	1403312	5
596707	411466	5
57495	411466	4
1623299	749498	4
116071	411466	4
1912216	411466	4
940557	411466	4
1847	411466	4
1813	411466	4
2053	411466	4
1912215	411466	4
379	411466	4
337004	411466	4
33877	411466	4
84756	411466	4
165696	411466	4
413496	983918	4
28231	411466	4
175304	525376	3
1742989	411466	3
1883	765105	3
110932	411466	3
518733	411466	3
2044	411466	3
33057	411466	3
1692042	411466	3
2019	411466	3
88138	411466	3
482	411466	3
53357	411466	3
71655	1403312	3
1854	411466	3
29404	411466	3
872	411466	3
142577	411466	3
105850	411466	2
697025	411466	2
203193	411466	2
1743	411466	2
1525371	411466	2
896	411466	2
1380	411466	2
323449	411466	2
644652	411466	2
83618	411466	2
1301	1403312	2
133925	411466	2
1865	411466	2
2063	411466	2
286	411466	2
171436	411466	2
46254	1403312	2
53457	411466	2
28263	411466	2
414371	411466	2
106633	983918	2
838	411466	2
613	983918	2
1081	411466	2
1860	411466	2
83681	411466	2
2040	411466	2
60919	411466	2
36739	411466	2
6	411466	2
1263	411466	2
42255	411466	1
447237	411466	1
407	411466	1
1649468	411466	1
570	526973	1
157	411466	1
1847725	411466	1
65496	411466	1
191	411466	1
118	411466	1
13687	411466	1
125216	411466	1
196082	411466	1
38501	411466	1
2071	411466	1
106589	411466	1
2742	411466	1
2701	411466	1
182709	526973	1
119977	411466	1
1653174	411466	1
1849	411466	1
1873	411466	1
1759331	411466	1
1822464	411466	1
265976	411466	1
44260	411466	1
93681	411466	1
2056	411466	1
227873	411466	1
673534	411466	1
156885	411466	1
392332	411466	1
34072	411466	1
1835	411466	1
642	411466	1
265	411466	1
152053	411466	1
2000	411466	1
517	411466	1
2733	411466	1
53945	411466	1
544	585396	1
43356	411466	1
165301	411466	1
283810	411466	1
89966	411466	1
283168	411466	1
2060	411466	1
203135	411466	1
2050	411466	1
1851	411466	1
1868332	411466	1
93217	411466	1
285107	411466	1
471826	411466	1
43673	411466	1
1060	411466	1
963	411466	1
37914	411466	1
12960	411466	1
590	411466	1
146918	411466	1
33981	411466	1
32008	411466	1
673534	765105	1
1747777	526973	1
