taxid	truth_taxid	count
210	637913	24998
1063	272943	24990
1280	93062	24989
1299	243230	24980
1520	290402	24961
1309	1074120	24952
821	435590	24936
1639	393123	24915
562	585396	24768
1313	516950	24067
487	630588	24040
470	710094	23175
1282	525376	22540
1351	749498	22162
1311	1154870	19162
1596	1403312	18978
1396	526973	17711
287	983918	15360
1747	765115	14387
1747	765105	10376
287	208964	6767
52773	411466	3369
1428	526973	459
33959	1403312	428
2053832	526973	411
1852377	411466	200
1283	525376	123
316	983918	119
1892404	526973	105
267818	1403312	92
29388	525376	91
1405	526973	80
1587	1403312	73
53345	749498	70
12417	1403312	69
1314	1154870	67
1280	525376	56
1295	525376	55
1072256	411466	54
43675	411466	49
2005703	749498	49
633807	749498	49
78259	1154870	44
671223	765105	44
1579	1403312	34
111015	411466	33
48296	710094	32
544580	411466	30
69328	983918	29
1309	1154870	29
197614	1154870	28
1811193	1154870	28
1328	1154870	27
1326	1154870	25
1349	1154870	22
1129146	983918	22
1290	525376	22
52227	525376	20
29384	525376	19
1814128	1154870	19
712122	411466	19
1604	1403312	17
28037	516950	17
1450169	983918	17
102684	1154870	16
400065	1154870	16
303	983918	16
2081702	411466	15
1307	1154870	14
33010	765105	14
1304	1154870	14
741091	983918	13
1888195	1154870	12
1960083	411466	12
1336	1154870	11
977801	749498	11
1851395	411466	10
851	525376	10
1338	1154870	10
1348	1154870	10
1392	526973	10
1703	411466	9
1148157	710094	9
52242	1403312	9
363555	1403312	9
1613	1403312	9
109790	1403312	9
1318	1154870	8
1744	411466	8
1334	1154870	8
246432	525376	8
1661	411466	7
1912795	411466	7
29385	1403312	7
2003551	411466	7
485	630588	7
372663	411466	6
1416334	1403312	6
546	585396	6
139208	411466	6
106654	710094	6
1346	1154870	6
28037	1154870	6
712633	1154870	6
1710	411466	5
486	630588	5
162426	411466	5
2017483	526973	5
1694	411466	5
60920	411466	5
1598	1403312	5
2188	526973	5
1711	411466	5
43669	411466	5
471	710094	5
1612	1403312	5
1978566	411466	4
580165	526973	4
1748	411466	4
1358	1154870	4
1678028	411466	4
42817	411466	4
28264	411466	4
36805	411466	4
1520670	411466	3
298653	411466	3
1502	526973	3
1888	411466	3
89154	411466	3
59505	411466	3
1598	516950	3
161896	411466	3
1502	1403312	3
470934	983918	3
158787	411466	3
1610493	411466	3
1909395	411466	3
33010	411466	3
45972	525376	3
1675686	411466	3
379067	411466	3
1390	526973	3
1797	411466	3
1682113	411466	3
37329	411466	3
1980001	411466	3
1619308	411466	3
28025	411466	3
34018	411466	3
158500	411466	3
28038	1403312	3
33970	749498	3
37927	411466	3
399497	411466	3
1795631	411466	3
1121358	411466	3
1280	526973	3
1230998	411466	3
472569	411466	2
83683	1403312	2
1903186	411466	2
53358	411466	2
1839799	1154870	2
940614	411466	2
1658671	411466	2
1624	526973	2
28028	411466	2
1504981	411466	2
1355015	411466	2
1896961	411466	2
65058	411466	2
2055892	411466	2
186189	411466	2
1805827	411466	2
1004901	411466	2
1935	411466	2
337191	411466	2
315405	1154870	2
161899	411466	2
216816	411466	2
229731	411466	2
43771	411466	2
2017485	411466	2
54291	411466	2
47880	983918	2
1684	411466	2
1616117	411466	2
280236	411466	2
450734	411466	2
37326	411466	2
29542	411466	2
1912	411466	2
1646	411466	2
234612	411466	2
1223514	411466	2
1938334	411466	2
56	411466	2
279058	411466	2
638619	411466	2
31958	411466	2
68909	411466	2
571915	411466	2
519472	1154870	2
2047	411466	2
191610	411466	2
53346	749498	2
1685	411466	2
859143	526973	2
182640	411466	2
2045452	411466	2
75385	411466	2
1492	290402	2
285473	411466	2
1759399	1154870	2
1689	411466	2
1357915	411466	2
1264	411466	2
1828	411466	2
446860	411466	2
35760	411466	1
1280	516950	1
1332264	411466	1
2057	411466	1
595593	411466	1
49319	411466	1
453304	411466	1
1618207	411466	1
750	1154870	1
1303	1154870	1
1673428	526973	1
708131	411466	1
1727	411466	1
426	411466	1
36745	290402	1
36809	411466	1
2014	411466	1
1578165	411466	1
1532555	411466	1
1680	411466	1
33069	411466	1
133926	411466	1
173480	411466	1
492670	526973	1
1589	1403312	1
43770	411466	1
84757	411466	1
287	411466	1
1750	411466	1
28187	526973	1
131568	411466	1
727	630588	1
187491	411466	1
1653478	411466	1
1641402	411466	1
1758689	411466	1
1772	411466	1
1630135	411466	1
860	1403312	1
2033	411466	1
29405	411466	1
1859	411466	1
203263	411466	1
258224	411466	1
1827300	983918	1
1716143	411466	1
862751	411466	1
1282	526973	1
1905847	411466	1
1849032	411466	1
138336	411466	1
1868599	526973	1
1491	526973	1
1493	1154870	1
1335613	411466	1
361575	411466	1
414996	411466	1
1517	1403312	1
528244	411466	1
69373	411466	1
1308	1154870	1
447471	411466	1
985002	525376	1
1906742	411466	1
1636152	411466	1
214473	525376	1
78258	411466	1
712270	411466	1
57704	411466	1
2242	411466	1
1909732	411466	1
748811	411466	1
1774	411466	1
42256	411466	1
1404244	411466	1
2054	411466	1
68570	411466	1
571913	411466	1
103731	411466	1
35746	411466	1
33011	411466	1
29303	411466	1
134962	411466	1
1471	526973	1
146923	411466	1
1177712	411466	1
2275	411466	1
134601	411466	1
68214	411466	1
286802	411466	1
84112	411466	1
1866	411466	1
1901	411466	1
35755	411466	1
1575	411466	1
426117	411466	1
101564	411466	1
101571	411466	1
639313	411466	1
1328	1074120	1
857417	411466	1
817	1403312	1
37330	411466	1
656366	411466	1
1916	411466	1
78587	411466	1
1879023	411466	1
252514	411466	1
53461	411466	1
643214	525376	1
279828	411466	1
1697053	526973	1
1525	411466	1
490	630588	1
37919	411466	1
110539	411466	1
1788301	983918	1
1681	411466	1
1783515	411466	1
2103230	411466	1
68192	411466	1
1747	411466	1
1561023	411466	1
145458	411466	1
2020	411466	1
1082851	411466	1
59930	411466	1
649831	411466	1
548	526973	1
2051	411466	1
1545702	1403312	1
283811	411466	1
553510	411466	1
367477	411466	1
155322	526973	1
1933880	411466	1
29486	983918	1
1652545	411466	1
2017484	411466	1
1322	526973	1
412690	411466	1
135487	411466	1
499555	411466	1
1812480	411466	1
1270	411466	1
7	411466	1
