taxid	truth_taxid	count
1298	243230	25000
1301	1074120	25000
1301	1154870	25000
209	637913	25000
1637	393123	25000
1485	290402	24999
1279	93062	24998
1301	516950	24997
816	435590	24994
482	630588	24992
1060	272943	24989
469	710094	24970
561	585396	24786
1386	526973	23412
1279	525376	23184
1350	749498	22397
1578	1403312	20782
286	983918	16388
1912216	765115	14430
1912216	765105	10430
286	208964	6771
1654	411466	3799
1883	411466	565
1716	411466	172
2737	749498	48
1763	411466	48
1678	411466	44
32207	411466	44
1743	765105	42
1485	525376	24
286	411466	22
32008	411466	21
33882	411466	20
1663	411466	20
1485	749498	18
838	525376	17
43668	411466	13
544	585396	11
848	525376	11
34037	983918	9
1827	411466	9
1743	411466	8
254250	411466	8
1279	1403312	7
1485	1403312	7
1623287	983918	7
1817	411466	6
57493	411466	6
1279	526973	6
2184	526973	5
84406	526973	5
1813	411466	5
157920	411466	5
1069494	411466	4
194	749498	4
1301	526973	4
1707	411466	4
72763	411466	4
1839	411466	4
848	749498	4
60136	983918	3
2053	411466	3
186188	411466	3
53335	983918	3
1912216	411466	3
1081	411466	3
60919	411466	3
2013	411466	3
34072	411466	3
1485	526973	3
28263	411466	2
1912215	411466	2
1692042	411466	2
160674	411466	2
472568	411466	2
39643	411466	2
596707	411466	2
379	411466	2
267408	411466	2
2034	411466	2
1883	765115	2
940557	411466	2
1298	411466	2
1847	411466	2
1854	411466	2
1578	526973	2
149698	411466	2
265976	411466	2
36739	411466	2
1263	411466	2
1696	411466	2
407	411466	1
28895	1403312	1
173479	411466	1
1742989	411466	1
374	411466	1
202907	411466	1
65496	411466	1
53457	411466	1
1269	411466	1
697025	411466	1
116071	411466	1
337004	411466	1
518733	411466	1
44249	411466	1
13687	411466	1
745364	411466	1
41275	411466	1
33877	411466	1
32	411466	1
2060	411466	1
53357	411466	1
613	411466	1
570	526973	1
2056	411466	1
644652	411466	1
194	526973	1
1912217	411466	1
848	1403312	1
963	411466	1
1434011	411466	1
283810	411466	1
37914	411466	1
1573	411466	1
29404	411466	1
33981	411466	1
1653174	411466	1
33886	411466	1
2273	411466	1
83681	411466	1
1865	411466	1
283	411466	1
1747777	526973	1
196082	411466	1
1849530	526973	1
