taxid	truth_taxid	count
1298	243230	25000
1301	1074120	25000
1301	1154870	25000
209	637913	25000
1637	393123	25000
1485	290402	24999
1279	93062	24998
1301	516950	24997
816	435590	24994
482	630588	24990
1060	272943	24989
469	710094	24970
561	585396	24788
1386	526973	23414
1279	525376	23186
1350	749498	22392
1578	1403312	20794
286	983918	16387
1912216	765115	14430
1912216	765105	10430
286	208964	6772
1654	411466	3780
1883	411466	592
1716	411466	173
2737	749498	48
32207	411466	44
1678	411466	43
1763	411466	43
1743	765105	42
1485	525376	26
33882	411466	21
1663	411466	19
32008	411466	19
286	411466	17
838	525376	17
43668	411466	15
1279	526973	15
34037	983918	12
60136	983918	12
848	525376	11
544	585396	10
1743	411466	9
1279	1403312	9
469	749498	8
1485	1403312	8
254250	411466	8
1623287	983918	8
1827	411466	7
72763	411466	7
2184	526973	5
1817	411466	5
84406	526973	5
157920	411466	5
1069494	411466	4
1301	526973	4
1707	411466	4
1839	411466	4
1813	411466	4
848	749498	4
1912215	411466	3
186188	411466	3
194	749498	3
53335	983918	3
1854	411466	3
1081	411466	3
2013	411466	3
1485	526973	3
28263	411466	2
1692042	411466	2
472568	411466	2
39643	411466	2
57493	411466	2
596707	411466	2
379	411466	2
267408	411466	2
1912216	411466	2
2034	411466	2
1883	765115	2
940557	411466	2
1298	411466	2
1847	411466	2
149698	411466	2
1865	411466	2
2053	411466	2
60919	411466	2
36739	411466	2
1263	411466	2
1696	411466	2
407	411466	1
28895	1403312	1
173479	411466	1
1742989	411466	1
374	411466	1
202907	411466	1
65496	411466	1
2239	411466	1
53457	411466	1
1269	411466	1
697025	411466	1
116071	411466	1
337004	411466	1
518733	411466	1
44249	411466	1
13687	411466	1
745364	411466	1
41275	411466	1
33877	411466	1
32	411466	1
2060	411466	1
53357	411466	1
613	411466	1
2056	411466	1
644652	411466	1
194	526973	1
1912217	411466	1
848	1403312	1
1849530	526973	1
1434011	411466	1
37914	411466	1
1578	526973	1
1653174	411466	1
1573	411466	1
29404	411466	1
1759331	411466	1
33981	411466	1
2273	411466	1
83681	411466	1
265976	411466	1
6	411466	1
283	411466	1
1747777	526973	1
196082	411466	1
570	526973	1
