taxid	truth_taxid	count
210	637913	16275
1578	1403312	13931
1637	393123	13525
1760	411466	12818
482	630588	11097
1300	1154870	10899
1301	1074120	10625
1313	516950	10607
1060	272943	10546
1309	1074120	10408
1298	243230	10280
816	435590	10271
1279	93062	9945
1299	243230	9838
469	710094	9348
1301	516950	9109
1485	290402	8702
1301	1154870	7952
90964	93062	7941
1351	749498	7753
1639	393123	7358
543	585396	7056
1279	525376	6991
186817	526973	6655
1386	526973	6420
562	585396	6224
209	637913	6008
1596	1403312	5843
135621	983918	5430
31957	765115	5337
487	630588	5244
31989	272943	5056
470	710094	4846
286	983918	4705
1520	290402	4673
1239	749498	4639
821	435590	4536
31979	290402	4457
1350	749498	4134
85009	765105	4121
91347	585396	4098
909768	710094	4082
468	710094	3819
90964	525376	3812
481	630588	3752
91061	526973	3709
201174	411466	3240
31957	765105	3206
85009	765115	3191
1783272	525376	3021
287	983918	2972
815	435590	2950
135621	208964	2431
1760	765115	2320
1660	411466	2298
1280	93062	2220
171549	435590	2140
81852	749498	2077
1063	272943	1899
86661	526973	1801
1385	525376	1706
1300	516950	1560
286	208964	1494
561	585396	1480
1396	526973	1336
1	983918	1297
1311	1154870	1281
2	585396	1228
91061	525376	1126
1239	525376	1054
186820	393123	1025
91061	749498	989
1282	525376	984
204455	272943	952
1	585396	932
28211	272943	884
2	630588	832
2	411466	826
1	208964	801
1747	765115	750
1654	411466	742
1	1154870	723
186802	290402	692
200643	435590	683
1239	290402	651
2	435590	530
1760	765105	514
1	1403312	485
1224	585396	477
1300	1074120	475
186826	749498	472
2	749498	418
2	272943	414
1224	630588	408
287	208964	400
206351	630588	379
1747	765105	368
1	749498	360
136841	983918	359
2	525376	338
1236	983918	318
2	243230	317
131567	435590	310
2	290402	287
1385	393123	277
186826	1403312	270
1236	585396	267
1224	272943	265
2	393123	259
186826	1074120	254
411466	411466	242
2	526973	236
1385	526973	232
1783272	516950	228
1224	983918	223
1224	710094	222
33958	1403312	221
1224	208964	217
1236	710094	211
2	710094	206
435590	435590	189
976	435590	188
91061	393123	178
2	765115	170
624	585396	169
525376	525376	169
2	1403312	167
1783272	765115	161
131567	749498	157
2	1154870	155
649742	411466	155
2	983918	129
131567	525376	122
765105	765105	118
1912216	765105	117
1783272	765105	115
485	630588	114
1239	93062	113
637913	637913	110
46170	93062	110
526973	526973	108
1239	516950	102
131567	585396	102
983918	983918	100
243230	243230	99
1783272	243230	99
131567	1154870	99
1302241	765105	98
91061	1154870	95
1	93062	94
1239	526973	94
188787	243230	92
186826	1154870	92
131567	765115	91
1302243	765115	90
1247725	272943	90
186801	290402	89
2	1074120	89
765115	765115	88
136841	208964	88
342616	1154870	87
2	765105	87
186826	516950	87
1	526973	84
91061	1074120	79
131567	1403312	79
1302243	765105	78
1302244	765105	77
557760	272943	76
765079	765105	76
1185650	411466	75
1239	1154870	72
349101	272943	71
1230340	393123	71
1236	208964	70
33959	1403312	69
679194	765105	67
2	637913	65
1783272	290402	65
183710	243230	65
980427	243230	62
2	516950	60
749498	749498	60
1	243230	59
565643	749498	59
1239	1074120	59
1239	1403312	58
91061	1403312	57
1	637913	57
290402	290402	56
1302242	765115	55
295996	630588	53
1581118	983918	53
72293	637913	53
131567	710094	52
2	93062	51
1783272	411466	50
765071	765115	50
91061	93062	49
516950	516950	48
936549	411466	46
1313	526973	46
1302241	765115	46
663926	630588	46
749492	749498	45
28216	630588	44
765069	765105	43
2049	411466	43
222523	526973	42
1385	93062	40
1339351	435590	39
1248732	630588	39
525326	1403312	39
546265	630588	38
1783272	1403312	38
342617	1154870	38
131567	765105	38
909952	765115	38
267747	765115	38
131567	983918	38
1581118	208964	37
1783272	526973	36
342615	1154870	35
1185650	765115	35
1392	526973	34
1	710094	33
131567	526973	33
1773	516950	33
1783272	93062	32
630588	630588	32
546267	630588	31
508451	1403312	31
765097	765105	30
213849	637913	30
909420	630588	30
491	630588	29
1260362	749498	29
1280	525376	29
47770	1403312	29
1783272	1154870	29
565646	749498	29
1	435590	29
1302242	765105	29
997825	585396	29
1404260	1074120	28
1805326	765115	28
131567	272943	28
1097670	1154870	28
1	630588	27
315405	1154870	27
1962118	525376	27
525378	525376	26
765122	765115	26
2	208964	26
765084	765105	25
131567	290402	25
1403829	1074120	25
1203574	765115	24
29388	525376	24
1402564	208964	24
936153	749498	24
1105239	1154870	24
862513	630588	24
1339352	435590	23
28037	516950	23
1428	526973	23
334406	526973	23
1564251	749498	23
269801	526973	22
483217	435590	22
888745	1154870	22
72274	983918	21
1154914	1154870	21
765076	765115	21
765064	765115	21
1111760	1074120	21
521006	630588	21
765112	765105	20
1302244	765115	20
1783272	393123	20
376806	435590	20
1	290402	20
765121	765105	20
445629	272943	20
176279	525376	19
511691	1074120	19
996307	630588	19
1260363	749498	19
702446	435590	19
93062	93062	19
1496	630588	19
1217707	710094	19
765099	765115	19
1411701	983918	18
754079	585396	18
1203574	765105	18
1235786	435590	18
1354	749498	18
1229492	93062	18
244319	585396	18
1912216	765115	18
272831	630588	18
641107	290402	18
623	585396	17
131567	243230	17
