taxid	truth_taxid	count
1301	1154870	18907
1637	393123	15839
469	710094	15042
1299	243230	14384
1279	525376	14297
1279	93062	14241
1386	526973	13796
1301	516950	13757
1224	630588	13142
1309	1074120	12965
209	637913	12394
1578	1403312	11417
0	411466	11184
31957	765115	10541
816	435590	9674
1520	290402	9651
821	435590	9440
1063	272943	9057
210	637913	8684
1351	749498	8350
1485	290402	8186
31957	765105	7904
286	983918	7038
1060	272943	7019
0	525376	6933
1301	1074120	6184
1224	585396	6047
0	749498	5800
1596	1403312	5786
543	585396	5518
0	290402	5465
1654	411466	5370
52773	411466	5236
0	526973	5068
1313	516950	4976
0	1403312	4975
1298	243230	4904
0	93062	4868
0	272943	4781
1350	749498	4622
91061	749498	4479
0	516950	4250
286	208964	4212
0	243230	3945
0	630588	3924
0	983918	3843
1385	93062	3752
0	585396	3700
0	435590	3662
0	1154870	3532
1	983918	3477
1639	393123	3463
909768	710094	3239
0	1074120	3069
0	765115	3005
562	585396	2981
31989	272943	2775
0	637913	2623
481	630588	2591
1	585396	2367
0	393123	2358
487	630588	2290
0	710094	2271
2	585396	2211
482	630588	2161
287	983918	2160
0	765105	1961
2	526973	1825
1760	411466	1743
470	710094	1633
1385	393123	1497
0	208964	1439
171549	435590	1383
1396	526973	1229
243230	243230	1180
86661	526973	1050
1224	710094	987
1385	526973	900
91347	585396	866
2	1154870	843
91061	393123	791
1385	525376	784
28211	272943	771
90964	525376	743
561	585396	734
1300	1074120	709
2	525376	669
1236	710094	654
2	1074120	622
1280	93062	622
186826	1074120	586
1	1403312	580
91061	525376	579
2	710094	523
1236	983918	515
186802	290402	509
2	630588	508
33959	1403312	488
1239	290402	467
2	93062	454
186826	1403312	453
1	749498	446
91061	1074120	430
1300	516950	418
2	516950	416
1311	1154870	406
1282	525376	400
1760	765115	397
1300	1154870	395
186826	1154870	383
2	393123	376
2	290402	369
2	411466	368
1224	983918	362
91061	93062	351
213849	637913	350
1224	208964	341
2	749498	336
287	208964	332
1224	272943	327
186826	516950	309
1236	585396	300
2	637913	291
91061	516950	288
1	93062	287
2	243230	287
2	983918	282
186817	526973	274
135621	983918	271
1239	1074120	260
468	710094	254
91061	1154870	250
226185	749498	246
2	765115	239
357276	435590	237
1239	393123	234
1	710094	230
976	435590	227
81852	749498	223
91061	526973	223
2	1403312	217
186826	749498	217
2	272943	214
1747	765105	212
90964	93062	210
1239	525376	206
1239	516950	206
1760	765105	206
29547	637913	204
72293	637913	202
2	435590	199
186820	393123	189
1239	526973	183
1783272	411466	175
485	630588	175
2049	411466	166
33958	1403312	166
1239	1154870	161
201174	411466	157
1783272	393123	155
1783272	525376	154
1236	208964	148
91061	1403312	145
1783272	516950	145
135621	208964	142
188787	243230	129
1587	1403312	121
1224	637913	121
1747	765115	112
2	765105	108
2	208964	108
1783272	1403312	101
316	983918	99
1239	1403312	99
267818	1403312	88
72274	710094	87
1783272	1074120	86
1579	1403312	77
1783272	1154870	77
1	526973	77
1783272	93062	77
131567	526973	76
1239	93062	75
1783272	243230	74
1239	749498	71
12417	1403312	70
171101	516950	70
1783272	290402	69
1	637913	68
186801	290402	65
1783272	749498	63
486	630588	61
1783272	765115	60
131567	411466	58
1783272	526973	52
386585	585396	52
131567	290402	51
1428	526973	50
131567	1074120	46
28216	630588	44
1	525376	42
1783272	765105	41
290053	435590	41
53345	749498	40
1604	1403312	40
131567	525376	40
131567	93062	40
200643	435590	38
186826	525376	38
33010	765115	36
85009	765105	36
36745	290402	35
131567	516950	35
43675	411466	34
131567	710094	33
131567	585396	33
1638	393123	33
131567	637913	32
1	516950	31
118964	243230	31
131567	393123	31
85009	765115	31
31979	290402	29
131567	1403312	27
44249	411466	27
1708	411466	27
1450169	983918	26
1777052	983918	26
131567	1154870	26
1129146	983918	24
1613	1403312	24
131567	243230	24
198214	585396	24
1301	411466	24
544580	411466	23
131567	630588	23
1283	525376	23
1	393123	23
1280	525376	22
36805	411466	22
109790	1403312	22
10699	983918	21
2053832	526973	21
208962	585396	20
303	983918	20
10744	585396	20
131567	435590	20
1744	411466	20
1912216	765105	20
201174	765105	20
308354	525376	19
206351	630588	19
1	208964	18
2033869	272943	18
186817	749498	17
32207	411466	17
1678	411466	17
201174	765115	16
169679	290402	16
1	290402	16
210007	1074120	15
28037	516950	15
31957	411466	15
1852377	411466	15
85006	411466	15
1353	749498	14
122586	630588	14
131567	208964	14
712122	411466	14
204455	272943	14
111015	411466	14
131567	765105	13
33010	765105	13
1	435590	13
1716	411466	13
620	585396	13
1307	516950	13
40754	526973	13
136841	983918	13
502394	243230	12
53346	749498	12
1578	749498	12
1148157	710094	12
1350	525376	12
365659	516950	12
1355015	411466	12
1868596	983918	12
242231	630588	12
1640	393123	11
308354	93062	11
1303	516950	11
257758	516950	11
1301	1403312	10
68336	435590	10
1933880	710094	10
1334	1154870	10
1492	290402	10
208964	208964	10
131567	272943	10
281309	526973	10
2005703	749498	9
103807	585396	9
1	630588	9
1892404	526973	9
1224	526973	9
60920	411466	9
68525	637913	9
1598	1403312	9
161879	411466	9
138563	637913	9
226900	526973	9
186801	526973	9
91061	411466	9
