taxid	truth_taxid	count
210	637913	18854
1301	1154870	18747
1299	243230	18538
1060	272943	14438
1279	93062	14243
1596	1403312	14168
1313	516950	13926
469	710094	12656
1309	1074120	11824
1639	393123	11407
816	435590	11320
1637	393123	10780
1520	290402	10554
1301	1074120	10420
1485	290402	10172
1660	411466	9938
562	585396	9555
1224	630588	9486
1783272	525376	9410
1760	411466	9352
2	749498	9339
1760	765115	9020
821	435590	8998
543	585396	7447
1351	749498	7406
1301	516950	7222
287	983918	7122
91061	526973	6778
1578	1403312	6669
1386	526973	6273
470	710094	5966
487	630588	5293
481	630588	5227
1063	272943	4763
286	983918	4735
1279	525376	4718
1396	526973	4383
209	637913	4168
0	290402	3859
0	525376	3819
0	272943	3810
31957	765105	3803
186826	749498	3311
0	411466	3301
909768	710094	3226
0	243230	3164
1236	983918	3001
91061	525376	2889
1298	243230	2789
1311	1154870	2760
1280	93062	2643
1760	765105	2604
0	1403312	2471
0	93062	2458
0	526973	2392
1385	93062	2382
1282	525376	2292
1236	208964	2194
2	526973	2177
0	749498	2109
482	630588	1993
0	1154870	1882
0	435590	1820
0	1074120	1774
287	208964	1766
86661	526973	1701
2	93062	1564
1747	765105	1561
1747	765115	1536
2	585396	1516
1224	585396	1397
171549	435590	1344
0	710094	1298
0	983918	1288
0	393123	1268
0	516950	1155
1783272	516950	1070
0	585396	1043
286	208964	1001
0	630588	962
0	637913	923
1654	411466	920
1350	749498	913
0	765115	844
2	765105	836
561	585396	825
31989	272943	794
31957	765115	743
0	765105	712
2	435590	691
1	983918	676
0	208964	671
72274	710094	610
1236	710094	600
2	525376	592
1	1154870	578
2	765115	575
1	585396	558
624	585396	525
1783272	93062	520
1783272	749498	481
411466	411466	446
2	393123	435
91347	585396	421
1	749498	421
2	516950	400
72274	208964	387
2	1074120	373
637913	637913	327
2	1154870	303
508451	1403312	303
72274	983918	288
2	630588	286
525376	525376	284
186820	393123	279
485	630588	264
435590	435590	263
649742	411466	255
243230	243230	253
1	93062	242
2	1403312	242
2	411466	239
526973	526973	238
28211	272943	237
1239	516950	228
1236	585396	215
91061	93062	214
1239	525376	211
204455	272943	207
765105	765105	202
91061	749498	201
1230340	393123	193
1783272	765115	188
983918	983918	181
1302243	765115	180
1313	526973	179
2	983918	178
1385	525376	174
1385	393123	171
1185650	411466	169
2	710094	163
1224	208964	159
1302244	765105	150
342617	1154870	148
565643	749498	145
1	1403312	140
1773	516950	140
46170	93062	139
1224	983918	139
91061	1154870	136
1302241	765105	133
1224	710094	127
1783272	393123	126
557760	272943	123
186826	1074120	119
1302242	765115	119
2	208964	115
349101	272943	114
1581118	983918	113
1302243	765105	111
749498	749498	108
1402571	983918	107
33959	1403312	107
525326	1403312	106
765115	765115	106
295996	630588	101
186826	516950	101
1185650	765115	99
491	630588	97
1247725	272943	97
1302244	765115	94
186802	290402	94
516950	516950	88
91061	516950	87
1385	526973	86
1239	1154870	85
47770	1403312	83
1300	1074120	83
1280	525376	81
1248732	630588	81
1302241	765115	81
1239	290402	78
2	637913	76
630588	630588	75
91061	393123	73
1302242	765105	72
1783272	765105	70
1392	526973	69
418630	272943	67
936549	411466	64
1428	526973	63
2	272943	63
342616	1154870	62
546267	630588	61
1239	749498	61
222523	526973	59
135621	208964	58
765071	765115	56
269801	526973	55
1743	765105	54
1496	630588	54
468	710094	53
1185324	1403312	53
1339352	435590	52
1403829	1074120	52
749492	749498	51
909952	765115	50
546265	630588	50
765084	765105	49
1380360	1403312	49
1783272	1074120	49
186817	526973	48
1743	765115	48
1581118	208964	47
2	243230	47
663926	630588	47
28037	516950	46
1783272	1154870	46
1260362	749498	45
334406	526973	43
765088	765115	43
2	290402	42
1224	272943	42
815	435590	41
1239	1074120	41
1962118	525376	41
1283	93062	41
