taxid	truth_taxid	count
1309	1074120	20605
243230	243230	20532
1301	1154870	18749
1063	272943	18639
1351	749498	17373
210	637913	17245
435590	435590	16658
1639	393123	16498
562	585396	15294
1280	93062	14758
487	630588	12932
0	411466	12198
287	983918	11288
1596	1403312	10893
1	525376	10293
1	516950	9950
1520	290402	9593
909768	710094	9563
290402	290402	9557
52773	411466	8995
1386	526973	8688
470	710094	8457
1313	516950	8019
482	630588	7529
1282	525376	7334
1747	765105	6768
1637	393123	6595
1396	526973	5934
0	525376	5767
1747	765115	5254
287	208964	5207
469	710094	4777
816	435590	4672
0	1403312	4606
0	749498	4449
0	290402	4411
0	272943	4348
0	526973	4169
0	93062	3786
1	1403312	3615
543	585396	3547
0	243230	3395
86661	526973	3369
0	983918	3252
1311	1154870	3190
1279	93062	3159
0	516950	3070
637913	637913	2974
0	435590	2950
1	93062	2749
1734925	765115	2744
209	637913	2537
0	1154870	2493
0	630588	2477
1301	516950	2443
0	585396	2413
1114966	765115	2368
0	765115	2321
1	983918	2254
0	1074120	2137
0	393123	1685
561	585396	1681
0	710094	1676
0	637913	1598
0	765105	1512
324831	1403312	1467
1301	1074120	1438
31957	765105	1245
1578	1403312	1217
0	208964	1206
1060	272943	1187
31957	765115	1144
565651	749498	968
1485	290402	959
1298	243230	941
1852377	411466	930
1279	525376	860
1380360	1403312	818
630588	630588	816
1	585396	812
516950	516950	781
286	983918	564
31989	272943	490
91347	585396	462
1912216	765105	451
1912216	765115	434
1350	749498	433
405535	526973	427
1206105	749498	410
361100	526973	397
226185	749498	385
1	1154870	364
46170	93062	349
997877	435590	332
139872	1403312	330
481	630588	291
480119	710094	287
1091045	765105	270
33959	1403312	260
485	630588	259
1654	411466	236
1	749498	226
1428	526973	223
2053832	526973	216
222523	526973	200
81852	749498	197
1	1074120	196
1579	1403312	194
171549	435590	178
286	208964	168
1760	411466	163
511691	1074120	151
1033837	1403312	146
1587	1403312	145
1283	525376	135
671223	765105	133
171101	516950	130
386585	585396	129
1405	526973	123
1224	630588	121
633699	1403312	121
1408186	1403312	111
1280	525376	110
12417	1403312	110
996285	983918	110
28211	272943	107
544580	411466	105
585396	585396	100
1613	1403312	96
1198676	1074120	96
186826	1074120	95
288681	526973	94
308465	525376	94
1428454	290402	91
486	630588	90
1892404	526973	86
1411700	983918	82
1201292	749498	78
637380	526973	76
1054460	516950	75
1261557	749498	73
712122	411466	72
111015	411466	72
1236	983918	72
186826	749498	68
1385	393123	67
864803	290402	64
43675	411466	64
109790	1403312	62
1236	585396	62
53346	749498	58
210007	1074120	56
1224	983918	56
1217984	526973	54
1834196	290402	53
91061	393123	52
1055529	637913	51
1129146	983918	51
1224	710094	49
2081702	411466	48
1155071	1074120	48
91061	749498	48
489653	630588	47
930170	526973	47
1385	526973	47
186817	526973	46
349101	272943	46
1589	1403312	45
1224	208964	45
488221	516950	45
186826	1154870	45
53345	749498	44
935588	630588	44
1309807	1154870	43
526977	526973	43
1450169	983918	43
1678	411466	43
1912795	411466	41
33010	765105	40
1661	411466	39
1055528	637913	39
28038	1403312	39
136841	208964	38
1195464	526973	37
198214	585396	37
662598	630588	37
28216	630588	36
1851395	411466	36
1427374	1154870	35
693979	435590	35
817	435590	35
1868596	983918	35
90964	525376	34
1604	1403312	34
1055531	637913	34
186802	290402	34
2	710094	33
1883	411466	33
1423720	1403312	32
1423723	1403312	32
767029	411466	32
1	526973	32
59505	411466	31
909954	1403312	31
488222	516950	31
1236	710094	31
1239	290402	31
1960083	411466	31
794851	637913	31
1597	525376	30
1300	1074120	30
1760	765105	30
2	1074120	30
29388	525376	29
590998	411466	29
557760	272943	29
1385	525376	29
909420	630588	29
1744	411466	29
644801	983918	28
36745	290402	28
1610493	411466	28
2	411466	28
1307	516950	28
176280	525376	27
1734925	765105	27
1163739	637913	27
1385	93062	27
28901	585396	27
186826	516950	27
1427342	983918	26
471853	411466	26
374833	630588	26
633807	749498	26
2	585396	26
1163741	637913	26
90964	93062	26
206351	630588	26
405534	526973	25
28037	516950	25
1236	208964	25
33010	765115	25
1442	526973	25
2049	411466	25
1078034	585396	25
456320	526973	25
671223	765115	24
1344959	585396	24
208964	208964	24
1300	516950	24
1003239	526973	24
2	765115	24
186820	393123	24
39488	290402	24
226900	526973	24
36805	411466	23
1827300	983918	23
315730	526973	23
1590	1403312	23
2005703	749498	22
28035	525376	22
69328	983918	22
365659	516950	22
1258574	1403312	22
1224	272943	22
977801	749498	22
474186	749498	22
1748	411466	22
300267	585396	22
2	243230	22
102608	637913	21
29384	525376	21
1777052	983918	21
136841	983918	21
1598	1403312	21
1055532	637913	21
446469	411466	21
1303	516950	21
2	516950	21
1392	526973	21
1	710094	21
1163740	637913	21
83683	1403312	20
1814128	1154870	20
931281	983918	20
765964	637913	20
548479	411466	20
2	525376	20
1454382	526973	20
565655	1403312	20
208962	585396	19
1716	411466	19
644284	411466	19
85006	411466	19
1352	525376	19
880633	1403312	19
1545702	1403312	19
43674	411466	18
468	710094	18
622	585396	18
135621	983918	18
1091045	765115	18
1353	749498	18
585057	585396	18
293826	290402	18
122586	630588	17
859143	525376	17
399497	411466	17
1815957	983918	17
53335	710094	17
1381115	93062	17
1074467	1403312	17
2	1154870	16
512562	637913	16
1300	1154870	16
976	435590	16
671232	516950	16
122587	630588	16
2	630588	16
645127	411466	16
213849	637913	16
446468	983918	16
935590	630588	15
91061	1074120	15
1301	411466	15
242231	630588	15
33958	1403312	15
1491	749498	15
941193	983918	15
869215	516950	15
765963	637913	15
1114969	765115	15
10744	585396	15
28031	749498	14
1630135	411466	14
189423	516950	14
2	393123	14
1286	525376	14
488	630588	14
1114967	765115	14
266940	411466	14
1182571	243230	14
543	710094	14
935593	630588	14
85009	765105	14
186826	1403312	14
281309	526973	14
604162	630588	14
1133852	585396	13
562	710094	13
33970	1403312	13
1321939	637913	13
2	526973	13
2033869	272943	13
319224	983918	13
2	983918	13
1248725	637913	13
572479	526973	13
1332264	411466	12
907238	637913	12
349102	272943	12
991915	585396	12
1827	411466	12
649639	526973	12
1114965	516950	12
563041	637913	12
1449752	525376	12
1239	526973	12
1268	411466	12
927703	1403312	12
1239	1154870	12
1415784	526973	12
2	290402	12
570508	637913	12
224729	585396	12
162426	411466	12
1031709	765105	12
515622	290402	12
679935	435590	12
712633	516950	12
446471	411466	12
479435	411466	11
1710	411466	11
2	637913	11
585538	637913	11
1239	516950	11
1783272	765115	11
1839798	526973	11
1301	1403312	11
1763	411466	11
1423143	526973	11
1619308	411466	11
1624	1403312	11
44249	411466	11
29547	637913	11
2060307	749498	11
91347	710094	11
2	435590	11
1400868	983918	11
93062	93062	11
91061	516950	11
2003551	411466	11
2	272943	11
400065	1403312	11
571915	411466	11
869216	516950	10
315749	526973	10
1028989	765115	10
1663	411466	10
490	630588	10
1	637913	10
1783272	411466	10
530564	983918	10
1224	585396	10
1328859	525376	10
388919	1074120	10
658445	983918	10
1300344	411466	10
363555	1403312	10
135621	208964	10
1382923	637913	10
297352	749498	10
1227	983918	10
743718	411466	10
1274	411466	10
866344	637913	10
585535	637913	10
869311	516950	10
1077464	516950	10
1	393123	10
1239	1074120	10
1783272	1074120	10
1340495	1403312	9
472569	411466	9
1638	393123	9
93061	93062	9
319795	243230	9
913848	1403312	9
646529	983918	9
40754	526973	9
1326	516950	9
75385	411466	9
186817	393123	9
1783272	243230	9
83334	585396	9
1863	411466	9
1295	525376	9
194948	585396	9
29341	290402	9
60481	983918	9
28116	435590	9
570	585396	9
1163742	637913	9
1355015	411466	9
290847	637913	9
1239	393123	9
91061	526973	9
857417	411466	9
1301	526973	9
265570	1074120	8
1343064	93062	8
546342	93062	8
523794	1074120	8
981540	516950	8
1847728	1403312	8
303	983918	8
308354	525376	8
471855	411466	8
1760	765115	8
1150468	411466	8
866345	637913	8
84292	411466	8
685038	585396	8
264	983918	8
941280	585396	8
890041	516950	8
45972	525376	8
1170318	765115	8
161895	411466	8
1909732	411466	8
1130798	1403312	8
108619	710094	8
72293	637913	8
1071400	1403312	8
907237	637913	8
1121121	526973	8
593907	411466	8
697283	516950	8
105559	983918	8
985002	93062	8
936140	1403312	8
1586287	411466	8
546414	243230	8
1031709	765115	8
1747	411466	8
28883	983918	8
935599	630588	7
1163743	637913	7
1114969	765105	7
43668	411466	7
695562	1403312	7
451709	526973	7
1321940	637913	7
499555	411466	7
927666	516950	7
188787	243230	7
908937	525376	7
487214	516950	7
347495	526973	7
935591	630588	7
1350	526973	7
539	630588	7
201174	411466	7
102611	637913	7
1328859	585396	7
765962	637913	7
35757	411466	7
103807	585396	7
85023	411466	7
888027	1403312	7
1578	1074120	7
592205	637913	7
1811193	1074120	7
80840	630588	7
59201	585396	7
1502	290402	7
93061	525376	7
684950	637913	7
469371	411466	7
31979	290402	7
1565991	411466	7
853	1403312	7
1218175	526973	7
396513	93062	7
1279	526973	7
279828	411466	7
869727	637913	7
1196835	983918	6
667015	435590	6
89059	1403312	6
541000	526973	6
2077147	585396	6
382638	637913	6
477641	411466	6
2	749498	6
1	208964	6
2	93062	6
1685	411466	6
353	983918	6
1492	290402	6
862962	526973	6
1426844	637913	6
1561	526973	6
200450	983918	6
512566	516950	6
1239	1403312	6
79604	411466	6
246197	765115	6
913848	749498	6
36745	526973	6
71999	411466	6
439855	585396	6
908937	435590	6
1471761	1403312	6
91061	525376	6
246432	525376	6
1248726	637913	6
318167	983918	6
590	585396	6
1239	93062	6
28901	983918	6
1335613	411466	6
1758689	765105	6
1703	411466	6
90370	585396	6
1386087	630588	6
562	983918	6
1390	526973	6
1114965	1403312	6
47715	1403312	6
53345	526973	6
273036	93062	6
1090974	1403312	6
227290	272943	6
1865	411466	6
1853276	630588	6
1758689	411466	6
572264	526973	6
214473	525376	6
375175	1403312	6
168807	585396	6
712270	411466	6
29471	585396	6
497965	1403312	6
33958	516950	6
46127	93062	6
1224	637913	6
1150869	585396	6
507626	983918	6
85017	411466	5
1411902	411466	5
1155766	1403312	5
68173	243230	5
10699	526973	5
1050174	411466	5
1242107	585396	5
86029	516950	5
1166950	411466	5
491	630588	5
1	630588	5
1382925	637913	5
186802	411466	5
558173	411466	5
1783272	526973	5
157920	411466	5
145391	525376	5
1763534	208964	5
58340	411466	5
1236	630588	5
357544	637913	5
703	585396	5
377629	1403312	5
1573	411466	5
74426	411466	5
1224164	411466	5
1150461	411466	5
37927	411466	5
43770	411466	5
858619	411466	5
1805478	411466	5
52242	1403312	5
1	290402	5
446466	411466	5
72274	710094	5
767453	1403312	5
79880	526973	5
985762	525376	5
688270	516950	5
36745	411466	5
1531429	411466	5
98228	526973	5
145458	411466	5
649831	411466	5
1385	1074120	5
198094	526973	5
2099788	1403312	5
1400868	208964	5
2048781	585396	5
1239	525376	5
1834196	411466	5
28131	435590	5
985006	93062	5
1309	516950	5
28025	411466	5
241244	208964	5
33011	765115	5
1783272	516950	5
295405	435590	5
68895	1403312	5
530584	411466	5
1584	1403312	5
2041	411466	5
710696	411466	5
1825069	1403312	5
1536771	1403312	5
1911587	526973	5
1318	526973	5
1637	1074120	5
1072256	411466	5
709986	243230	5
685039	93062	5
712411	411466	5
1853278	630588	5
1478	516950	5
869816	93062	5
1	411466	5
