taxid	truth_taxid	count
435590	435590	25000
243230	243230	25000
1639	393123	24998
1063	272943	24960
562	585396	24447
1280	93062	24241
1309	1074120	24011
1313	516950	23240
487	630588	22873
0	411466	22796
1282	525376	22321
470	710094	21537
290402	290402	21161
1351	749498	16589
1301	1154870	15444
210	637913	15404
1396	526973	15284
1596	1403312	15220
287	983918	14388
1747	765105	10250
637913	637913	9542
1311	1154870	9329
287	208964	6684
0	1403312	6532
1734925	765115	6410
1114966	765115	5721
1520	290402	3833
0	749498	2850
909768	710094	2632
1206105	749498	2443
0	526973	2274
0	983918	2268
1386	526973	2230
1747	765115	2211
630588	630588	1982
0	525376	1903
565651	749498	1839
516950	516950	1692
86661	526973	1583
1380360	1403312	1250
324831	1403312	1214
52773	411466	877
480119	710094	816
361100	526973	757
226185	749498	659
46170	93062	636
1	983918	474
511691	1074120	437
2053832	526973	408
405535	526973	369
1198676	1074120	361
222523	526973	309
1428	526973	300
941193	983918	270
637380	526973	267
288681	526973	234
543	585396	230
1578	1403312	221
1892404	526973	211
1201292	749498	207
33959	1403312	203
1217984	526973	193
1155071	1074120	183
585396	585396	183
1309807	1154870	177
176279	525376	165
526977	526973	146
561	585396	132
482	630588	129
1760	411466	127
1411700	983918	127
1279	525376	125
1427342	983918	107
1261557	749498	101
1283	525376	97
1852377	411466	96
208964	208964	92
1449752	525376	84
1405	526973	81
930170	526973	79
286	983918	77
29388	525376	75
1450169	983918	69
671223	765105	67
1091045	765105	66
996285	983918	66
1301	516950	65
644801	983918	59
1350	749498	57
53345	749498	56
31957	765105	55
12417	1403312	53
93062	93062	53
1295	525376	52
474186	749498	52
1280	525376	51
1114969	765115	45
1454382	526973	45
81852	749498	44
1427374	1154870	44
111015	411466	44
1279	93062	44
405534	526973	42
633699	1403312	41
1129146	983918	41
1654	411466	41
1734925	765105	40
1408186	1403312	40
633807	749498	39
43675	411466	34
257314	1403312	33
0	765105	33
1114967	765115	32
2005703	749498	31
1931241	983918	30
1883	411466	30
1788301	983918	29
1033837	1403312	28
145391	525376	28
909954	1403312	27
347495	526973	27
69328	983918	26
85006	411466	26
909952	765105	24
1	1403312	24
379731	983918	23
1195464	526973	22
908937	525376	22
349101	272943	22
544580	411466	21
176280	525376	21
712122	411466	21
2	93062	20
29384	525376	19
2081702	411466	19
1276648	765115	19
1448140	983918	19
109790	1403312	18
1423143	526973	17
1851395	411466	17
85007	411466	16
47880	983918	16
303	983918	16
2077147	710094	15
1587	1403312	15
2	411466	15
1415629	983918	14
2077148	983918	14
1604	1403312	14
1716	411466	14
572264	526973	14
557760	272943	14
593907	411466	13
226900	526973	13
741091	983918	12
1868596	983918	12
1960083	411466	12
1392	526973	12
1678	411466	11
491	630588	11
1089456	983918	11
977801	749498	11
446471	411466	11
1150461	411466	10
529122	526973	10
451709	526973	10
1545702	1403312	10
28141	983918	10
710696	411466	9
1658671	411466	9
2003551	411466	9
1294143	983918	9
349124	983918	9
1661	411466	8
31957	765115	8
1805827	411466	8
443906	411466	8
1703	411466	8
1300344	411466	8
1827	411466	8
46127	525376	8
1763	411466	7
1903186	411466	7
1	749498	7
315749	526973	7
106634	983918	7
1301	1074120	7
1348662	411466	7
1331682	411466	7
1663	411466	7
85023	411466	7
2017484	411466	7
2014	411466	6
1579	1403312	6
2	525376	6
1416334	1403312	6
2079227	411466	6
862751	411466	6
1849032	411466	6
1624	749498	6
2017485	411466	6
1485	290402	6
363555	1403312	6
446465	411466	6
1003239	526973	6
1003195	411466	5
55518	983918	5
1912216	765115	5
37927	411466	5
43770	411466	5
2045452	411466	5
1	585396	5
1978566	411466	5
1610493	411466	5
337191	411466	5
2070	411466	5
1909732	411466	5
1287066	749498	5
43668	411466	5
36866	526973	5
1980001	411466	5
145391	1403312	5
405531	526973	5
857417	411466	5
767029	411466	5
1684	411466	5
80869	411466	5
1442	526973	5
465515	411466	5
1224164	411466	5
590998	411466	5
453304	411466	4
412690	411466	4
643214	525376	4
1032480	411466	4
0	1154870	4
1355015	411466	4
290847	637913	4
1332264	411466	4
765964	637913	4
279808	525376	4
52242	1403312	4
1130798	1403312	4
1390	526973	4
1623299	749498	4
9606	526973	4
547043	411466	4
1274	411466	4
158500	411466	4
762948	411466	4
1613	1403312	4
28211	411466	4
0	765115	4
33882	411466	4
399497	411466	4
279828	411466	4
246432	525376	4
