taxid	truth_taxid	count
243230	243230	24993
290402	290402	24976
1639	393123	24944
435590	435590	24878
1280	93062	23937
470	710094	23513
1313	516950	22353
1311	1154870	18795
487	630588	18661
210	637913	15232
272943	272943	12647
1063	272943	12347
1309	1074120	11786
562	585396	11532
637913	637913	9686
1747	765115	9164
1091045	765105	8540
1282	525376	8476
210007	1074120	7493
287	983918	7307
86661	526973	7074
1396	526973	6926
543	585396	6761
287	208964	6685
585396	585396	6099
1350	749498	5293
324831	1403312	5184
1351	749498	4693
176279	525376	4133
176280	525376	4011
936153	749498	3995
630588	630588	3988
226185	749498	3602
1318615	1154870	3206
1114966	765115	2765
1155071	1074120	2523
1734925	765115	2287
1198676	1074120	1877
482	630588	1852
1747	765105	1788
516950	516950	1454
361100	526973	1356
511691	1074120	1317
480119	710094	1202
1206105	749498	1201
1301	516950	1091
941193	983918	1067
1450169	983918	893
1309807	1154870	805
1427342	983918	801
930170	526973	704
222523	526973	659
288681	526973	632
46170	93062	614
381754	983918	601
1217984	526973	533
637380	526973	532
405535	526973	524
0	585396	397
557722	983918	337
509173	710094	231
93062	93062	220
1261557	749498	208
211110	1154870	201
474186	749498	185
633699	1403312	177
405534	526973	174
347495	526973	164
12417	1403312	156
334406	526973	156
909954	1403312	155
491	630588	154
226900	526973	154
657310	749498	150
1279	93062	147
1392	526973	144
205921	1154870	142
1408272	983918	137
33959	1403312	127
279808	525376	124
1578	1403312	124
996285	983918	123
1868596	983918	120
1091045	765115	118
1408186	1403312	111
281309	526973	104
1428	526973	99
208435	1154870	94
816	435590	92
1279	525376	82
935589	630588	82
572264	526973	71
529122	526973	71
386585	585396	71
257314	1403312	70
644801	983918	70
208964	208964	70
1352355	983918	63
209	637913	62
315730	526973	60
1301	1154870	56
1637	393123	56
208963	983918	51
714359	526973	50
561	585396	49
1279365	526973	48
1129146	983918	47
412694	526973	46
1415629	983918	44
1734925	765105	43
1912216	765115	41
1114969	765115	41
405532	526973	40
1340851	983918	37
1089456	983918	36
604162	630588	36
0	93062	35
1415784	526973	35
2	525376	34
942513	630588	34
1195464	526973	31
171549	435590	30
1280	525376	30
561276	516950	28
935599	630588	28
1280938	983918	26
1760	411466	26
748671	1403312	26
347324	983918	26
1755689	983918	25
698737	525376	24
1114966	765105	24
122586	630588	23
267747	765105	23
83334	585396	22
342451	525376	22
935588	630588	22
1485	290402	22
909768	710094	22
260799	526973	21
487214	516950	20
662598	630588	20
935591	630588	20
1193576	93062	19
1006543	93062	18
1218175	526973	18
272621	1403312	18
1194526	525376	18
541229	526973	18
1548901	983918	18
592021	526973	18
46170	525376	17
858619	411466	17
568206	526973	17
655817	585396	17
469	710094	17
909420	630588	16
768486	749498	16
977801	749498	16
527021	526973	15
1236	710094	15
573235	585396	15
909952	765115	15
0	983918	15
1031709	765115	14
1114969	765105	13
512566	516950	13
135720	630588	13
1093787	983918	13
272831	630588	13
446469	411466	13
1196835	983918	13
446471	411466	13
315749	526973	12
370552	1154870	11
1314	1154870	11
170187	516950	11
1352354	983918	11
76869	983918	11
69328	983918	10
1747326	749498	10
1294143	983918	10
1777052	983918	10
1314884	1403312	10
935593	630588	10
374833	630588	9
1224	630588	9
866344	637913	9
122587	630588	9
1346614	983918	8
379731	983918	8
1286404	526973	8
91061	516950	8
1449437	983918	8
743718	411466	8
349124	983918	8
891391	1403312	7
713604	411466	7
405566	1403312	7
266940	411466	7
695560	1403312	7
1155084	93062	7
1239	516950	7
91347	585396	7
85006	411466	7
1224	585396	7
244320	585396	7
590998	411466	7
2	411466	6
1340851	208964	6
768494	526973	6
1427342	208964	6
673837	749498	6
909952	765105	6
465515	411466	6
1072459	585396	5
452652	411466	5
592022	526973	5
1298	243230	5
862751	411466	5
593907	411466	5
443906	411466	5
1171373	411466	5
1883	411466	5
405531	526973	5
574093	516950	5
767029	411466	5
446465	411466	5
349101	272943	5
979556	411466	5
397945	411466	5
446466	411466	5
1579	1403312	4
320831	525376	4
471853	411466	4
1873	411466	4
1133849	411466	4
0	526973	4
1217737	526973	4
155864	585396	4
765964	637913	4
100226	411466	4
749414	411466	4
762948	411466	4
286	208964	4
455632	411466	4
261594	526973	4
1587	1403312	4
1048689	585396	4
446468	411466	3
1224	208964	3
565050	983918	3
482	411466	3
685727	411466	3
1114967	765115	3
362948	1403312	3
160	411466	3
1203460	411466	3
517	411466	3
1130804	516950	3
479433	411466	3
585395	585396	3
521096	411466	3
1052588	526973	3
985002	525376	3
1193576	525376	3
698968	411466	3
1255043	983918	3
1112204	411466	3
548476	411466	3
577650	411466	3
392499	411466	3
754252	411466	3
196162	411466	3
1144275	411466	3
644284	411466	3
996634	411466	3
488222	516950	3
762376	411466	3
1300150	749498	2
710696	411466	2
1003195	411466	2
710686	411466	2
653045	411466	2
298653	411466	2
234621	411466	2
1763	411466	2
1118963	411466	2
33910	411466	2
521095	411466	2
1804	411466	2
1386	526973	2
471856	411466	2
300852	411466	2
703613	411466	2
196164	411466	2
438753	411466	2
1147128	411466	2
1123523	93062	2
0	208964	2
443218	411466	2
869216	516950	2
326425	1403312	2
1156913	411466	2
0	411466	2
1033837	1403312	2
266264	411466	2
656024	411466	2
680646	411466	2
28450	411466	2
743721	411466	2
662755	411466	2
866345	637913	2
682795	411466	2
83332	411466	2
1678	411466	2
1179773	411466	2
484020	411466	2
1265601	411466	2
673832	749498	2
953739	411466	2
1510440	526973	2
889933	525376	2
526225	411466	2
633147	411466	2
512562	637913	2
553199	765105	2
557722	208964	1
675635	411466	1
85017	411466	1
479435	411466	1
311982	411466	1
164757	411466	1
401473	411466	1
489653	630588	1
931276	290402	1
1205674	411466	1
36809	411466	1
1234380	765115	1
75985	525376	1
931276	525376	1
1276282	525376	1
1114967	765105	1
1133850	411466	1
134676	411466	1
1255	1403312	1
488223	516950	1
1246995	411466	1
861360	411466	1
1445809	526973	1
450851	411466	1
85007	411466	1
869309	516950	1
290847	637913	1
263358	411466	1
243365	411466	1
930171	411466	1
573059	411466	1
1604	1403312	1
525909	411466	1
479432	411466	1
875328	411466	1
337191	411466	1
767462	1403312	1
216816	411466	1
31964	411466	1
290399	411466	1
1321369	525376	1
350058	411466	1
196627	411466	1
649638	411466	1
644283	411466	1
272943	411466	1
1055528	637913	1
1623299	749498	1
1310161	411466	1
451515	525376	1
749927	411466	1
1121362	411466	1
267747	765115	1
983917	411466	1
548479	411466	1
880633	1403312	1
695562	1403312	1
1231389	1154870	1
1340495	1403312	1
1309806	1154870	1
512565	411466	1
1200352	411466	1
1031709	765105	1
648999	411466	1
1303692	411466	1
657308	411466	1
1234380	765105	1
28211	411466	1
1009846	411466	1
1170318	411466	1
1198114	411466	1
504474	411466	1
1747	411466	1
557760	272943	1
1239	290402	1
909952	411466	1
649831	411466	1
565034	1403312	1
1146883	411466	1
369723	411466	1
247156	411466	1
1074919	525376	1
1868599	526973	1
420662	411466	1
405948	411466	1
1716	411466	1
765963	637913	1
198094	526973	1
227882	411466	1
478801	411466	1
1323661	93062	1
945711	411466	1
443144	411466	1
306537	411466	1
1268	411466	1
553199	765115	1
1129145	983918	1
