taxid	truth_taxid	count
1520	290402	25000
1639	393123	25000
1313	516950	25000
487	630588	25000
1063	272943	25000
562	585396	25000
821	435590	25000
1280	93062	25000
1299	243230	25000
210	637913	24999
1309	1074120	24991
470	710094	24985
-2	411466	24382
1311	1154870	23460
1282	525376	18388
-2	1403312	16062
1351	749498	15923
1747	765115	14447
1396	526973	14397
287	983918	11884
1747	765105	10480
-2	526973	8986
-2	749498	8980
1596	1403312	7719
287	208964	6777
-2	525376	6217
-2	983918	5903
-2	1154870	1472
1428	526973	1279
33959	1403312	975
316	983918	279
1283	525376	160
86662	526973	146
1392	526973	73
-2	765105	61
1587	1403312	51
1280	525376	48
155322	526973	46
47770	1403312	37
1579	1403312	37
29385	525376	36
28035	525376	36
267818	1403312	35
580165	526973	33
1354	749498	33
-1	983918	32
1292	525376	27
-1	411466	26
69328	983918	25
40137	1154870	24
630	749498	23
52227	525376	22
1014	1154870	22
1314	1154870	22
303	983918	19
1423	525376	18
1727	411466	18
28447	411466	17
43669	411466	17
186189	411466	17
977801	749498	16
60920	411466	16
405212	525376	15
43306	983918	15
-2	710094	15
1392	525376	15
11	411466	14
-1	526973	13
261292	749498	13
1708	411466	12
741091	983918	12
1750	411466	12
84757	411466	11
32046	749498	11
155892	983918	11
1053	983918	10
1270	411466	10
28141	983918	10
2014	411466	9
53358	411466	9
473531	983918	9
-2	1074120	9
42817	411466	8
-2	765115	8
43675	411466	8
38986	1403312	8
1711	411466	8
1404	526973	7
614	983918	7
1413	525376	7
169292	411466	7
1888	411466	7
1624	1403312	7
1684	411466	6
286802	411466	6
1748	411466	6
2047	411466	6
196162	411466	6
139208	411466	6
33910	411466	5
1392	411466	5
131568	411466	5
80869	411466	5
1598	1403312	5
337191	411466	5
2061	411466	5
37329	411466	5
2020	411466	5
2054	411466	5
103731	411466	4
225194	411466	4
1912	411466	4
31958	411466	4
28025	411466	4
894	411466	4
85085	411466	4
1575	411466	4
216816	411466	4
28264	411466	4
2061	1403312	4
45361	1403312	4
54571	411466	4
887061	765105	4
84595	411466	4
208596	1403312	4
1902	411466	4
1276	411466	4
1604	1403312	4
1689	411466	4
263437	1403312	4
35795	411466	3
69966	526973	3
56957	411466	3
36809	411466	3
33905	411466	3
1423	526973	3
132919	411466	3
940614	411466	3
34	411466	3
329	411466	3
2033	411466	3
29405	411466	3
53461	411466	3
152794	411466	3
367488	411466	3
1768	1403312	3
258224	411466	3
862751	411466	3
110539	411466	3
256701	411466	3
65058	411466	3
138336	411466	3
-1	525376	3
43674	411466	3
2051	411466	3
103816	411466	3
2096	411466	3
1229	1403312	3
899	1403312	3
875328	411466	3
29303	411466	3
2066	411466	3
1861	411466	3
53635	411466	3
186931	983918	3
485	411466	3
43767	411466	2
1247	1403312	2
552	411466	2
36873	411466	2
379067	411466	2
242703	411466	2
1358	525376	2
49319	411466	2
1402	411466	2
754476	526973	2
79880	1403312	2
1852	411466	2
347	411466	2
1833	411466	2
556287	411466	2
33010	411466	2
161879	411466	2
1382	411466	2
29543	411466	2
2187	411466	2
379064	526973	2
1911	411466	2
1866	411466	2
33903	411466	2
1348	1403312	2
1054217	1403312	2
133926	411466	2
34018	411466	2
294	983918	2
921	411466	2
225326	411466	2
426117	411466	2
2180	1403312	2
575200	411466	2
639313	411466	2
36854	411466	2
54736	411466	2
1930	411466	2
49118	1403312	2
477641	411466	2
81468	1403312	2
2702	411466	2
1718	411466	2
2724	411466	2
2188	1403312	2
246969	411466	2
240495	411466	2
86662	525376	2
361575	411466	2
1642	526973	2
283811	411466	2
212767	411466	2
1538	411466	2
1502	411466	2
119219	411466	2
314722	411466	2
396359	1403312	2
293091	526973	2
1584	1403312	2
28197	411466	2
1264	411466	2
53437	411466	2
72000	411466	2
290399	411466	2
7	411466	2
42879	526973	1
241425	411466	1
68280	411466	1
1680	411466	1
28068	411466	1
1744	411466	1
60847	411466	1
502558	1403312	1
984	411466	1
196914	411466	1
2001	411466	1
332249	411466	1
37326	411466	1
979982	1403312	1
293091	411466	1
996	1403312	1
366650	411466	1
876	411466	1
1003110	411466	1
2057	411466	1
881	411466	1
135487	411466	1
1169025	411466	1
471827	411466	1
-2	637913	1
52227	411466	1
85991	525376	1
1358	1403312	1
160791	411466	1
944547	411466	1
312277	526973	1
134676	411466	1
666686	1403312	1
301375	525376	1
39766	411466	1
813	1403312	1
1252	1403312	1
1396	1403312	1
53435	749498	1
78331	411466	1
114616	411466	1
404011	983918	1
1772	411466	1
786	411466	1
648999	411466	1
656024	411466	1
83455	411466	1
745310	411466	1
34029	411466	1
298653	411466	1
33059	411466	1
863643	1403312	1
29543	1403312	1
28118	411466	1
59600	1403312	1
1488	411466	1
80679	411466	1
471189	411466	1
1042156	411466	1
1685	411466	1
1173032	1403312	1
133539	411466	1
1063	411466	1
110662	411466	1
754476	411466	1
118562	525376	1
316278	411466	1
2271	411466	1
548	526973	1
556287	1403312	1
879	411466	1
524	411466	1
2734	411466	1
38289	411466	1
182710	526973	1
1580	1403312	1
43948	526973	1
985002	525376	1
93220	411466	1
51589	411466	1
76887	411466	1
1581	1403312	1
940615	411466	1
1069	411466	1
239935	411466	1
79967	983918	1
410330	411466	1
1768	411466	1
43771	411466	1
46354	411466	1
146919	411466	1
44012	411466	1
202747	526973	1
57705	411466	1
657445	411466	1
536	411466	1
1055487	411466	1
