taxid	truth_taxid	count
331104	243230	24967
1084722	1074120	24793
167019	93062	24782
1837862	290402	24452
101850	710094	23924
1248725	630588	23821
396513	637913	23797
1117633	393123	23503
-2	411466	23441
1222338	435590	22540
1084722	516950	21912
134599	526973	17930
1412470	585396	17215
1016998	525376	14782
985002	272943	14679
34021	1154870	12790
1525	1403312	12074
67762	765115	12058
1084722	1154870	12034
1871313	749498	11810
67762	765105	10176
459770	272943	9435
1412473	983918	8340
167019	525376	7589
-2	1403312	7489
1412473	208964	6083
1679933	983918	5886
1302	749498	5671
169679	585396	4552
-2	749498	3163
1516081	749498	2928
-2	983918	2569
-2	526973	2537
1254	516950	2479
591160	526973	2312
262968	765115	2095
670	435590	2056
-2	525376	2044
1484158	1403312	1907
1051973	1403312	1867
983594	585396	1642
1587	393123	1474
1380361	1403312	1187
758847	637913	1036
-1	585396	1008
1738045	983918	639
333849	749498	628
486	630588	584
337330	411466	526
360911	710094	511
2008440	710094	500
1465	290402	495
1679933	208964	493
1282994	630588	446
70822	516950	385
336959	749498	373
633	526973	313
1922429	526973	279
263	526973	279
1797	526973	263
532076	585396	215
502102	526973	214
1738045	585396	212
-1	272943	204
1511871	435590	200
1873990	526973	182
-1	983918	174
10317	411466	172
890402	765105	172
1888	208964	160
-2	272943	159
1642436	272943	140
1010	983918	139
526227	525376	130
-1	526973	128
1738045	93062	113
590168	272943	108
-2	765115	106
662755	585396	100
-2	1154870	98
1708497	526973	98
1366	526973	97
-2	765105	87
1770613	1403312	86
890402	765115	79
698487	272943	78
-1	516950	77
1247113	1403312	76
331271	983918	73
1249668	526973	72
1678128	435590	71
272556	749498	69
-1	749498	66
-2	435590	65
983544	749498	65
2065211	525376	65
1249	1074120	64
-1	1403312	63
1605972	272943	61
33940	93062	60
431944	411466	59
263358	525376	59
1411621	983918	57
1738045	411466	55
1286528	1074120	53
1154689	983918	48
-1	525376	46
-2	516950	44
1156721	1074120	44
-2	585396	44
1590	749498	44
1379720	983918	43
1738045	710094	41
1737346	983918	40
2139	526973	40
1385941	526973	39
1089108	525376	38
925776	1074120	38
1869111	272943	37
335341	630588	37
-1	630588	36
756276	526973	36
557289	637913	35
138950	1154870	35
-1	637913	33
1278205	765115	32
1181310	765105	31
663918	526973	31
697227	525376	31
1311	983918	30
1288359	749498	30
33940	525376	29
1445606	525376	29
1738045	272943	28
1738045	525376	28
663959	411466	27
743971	1403312	27
1312904	272943	27
1869111	630588	26
270473	749498	25
10372	983918	25
138948	1154870	24
1675531	765115	24
1542390	411466	24
1345704	243230	24
361100	1403312	23
204440	525376	23
527021	525376	23
565033	749498	23
-1	435590	22
205869	525376	22
10334	525376	22
402384	516950	22
1769949	411466	22
-1	93062	21
1871153	1403312	21
1549855	93062	21
1869111	983918	20
1673428	526973	20
1922816	1403312	19
-1	1154870	19
-2	393123	18
1379707	765115	18
400122	749498	17
337823	411466	17
1738045	1403312	17
138948	1403312	17
266940	983918	17
1869111	208964	17
1304	516950	16
1608310	411466	16
401614	983918	15
1217821	516950	15
1382924	749498	15
-1	765105	15
331272	526973	15
1303	749498	14
-2	710094	14
1810504	983918	14
136857	290402	14
-2	637913	14
1121267	749498	14
-1	765115	14
233316	411466	13
1675531	765105	13
757424	983918	13
1673876	435590	13
-1	411466	13
1316593	749498	13
1441796	765105	13
396359	411466	12
1610834	765115	12
1286528	983918	12
1642299	630588	12
431947	526973	12
1608100	983918	12
104664	411466	11
33966	525376	11
1282356	1403312	11
40754	765105	10
661410	411466	10
698487	411466	10
1612552	411466	10
691965	630588	10
672	272943	10
1678146	637913	10
10334	516950	10
1738045	516950	10
1738045	526973	10
1955198	637913	10
511	526973	9
1738045	749498	9
-2	290402	9
1714362	525376	9
1868599	765115	9
1705090	765105	9
1547577	411466	9
370551	765105	9
72003	637913	9
1738045	637913	9
985080	749498	9
1219058	983918	9
1738045	208964	9
1675862	516950	8
1738045	290402	8
1869111	585396	8
1738045	243230	8
10317	765115	8
1739611	525376	8
230158	435590	8
1873452	1403312	8
565537	983918	7
1382926	411466	7
1712571	983918	7
70566	526973	7
1508712	526973	7
-1	208964	7
956149	630588	7
134601	411466	7
10372	710094	7
1844928	526973	7
321	983918	6
1867943	749498	6
698487	983918	6
1907767	411466	6
531844	411466	6
102617	637913	6
362948	765105	6
-2	630588	6
1838080	1403312	6
1674930	290402	6
755178	1403312	6
1445606	1403312	5
530564	1403312	5
1443113	435590	5
1906172	526973	5
166921	983918	5
1738045	630588	5
365046	526973	5
267128	411466	5
1545835	983918	5
2003651	526973	5
795665	411466	5
1547445	1403312	5
1640974	411466	5
167018	411466	5
37206	526973	5
-1	1074120	5
336486	983918	5
101571	411466	5
593907	411466	5
1542498	411466	5
1056830	749498	5
1922560	526973	5
40282	525376	5
399550	411466	4
358	411466	4
204270	630588	4
1904881	411466	4
1967665	637913	4
1969397	411466	4
1345702	1403312	4
105219	272943	4
694427	411466	4
335341	516950	4
266779	435590	4
138948	516950	4
633807	411466	4
886715	1403312	4
1476391	411466	4
1585	411466	4
1837931	411466	4
498213	637913	4
10372	585396	4
532076	290402	4
562	1403312	4
697283	411466	4
-1	290402	4
1714370	411466	4
1055545	637913	4
1118964	1403312	4
693986	526973	4
1868589	526973	4
1647466	1403312	4
1446701	1403312	4
1575	1403312	4
1478160	411466	4
1612551	411466	4
1871153	411466	4
1050219	411466	4
10372	208964	4
43	411466	3
262698	435590	3
34105	526973	3
10258	411466	3
1933907	1403312	3
861360	411466	3
498214	637913	3
10334	749498	3
1923000	526973	3
1383068	411466	3
2033033	290402	3
1445510	411466	3
1502	411466	3
1511914	411466	3
1746072	526973	3
39720	516950	3
1381115	526973	3
1704499	411466	3
1941234	411466	3
434346	411466	3
135487	1403312	3
204722	411466	3
499555	411466	3
632292	411466	3
1248725	411466	3
367850	411466	3
1089446	411466	3
40480	1403312	3
1084722	411466	3
1215088	411466	3
1304	1403312	3
1279082	411466	3
1548712	411466	3
738	637913	3
754503	411466	3
362830	411466	3
1738045	435590	3
266951	411466	3
239935	526973	3
796732	637913	3
985079	411466	3
37296	411466	3
1510841	411466	3
1923398	411466	3
-2	208964	3
370552	411466	3
1121336	411466	3
754409	637913	3
430710	411466	3
263892	411466	3
1398	637913	3
-1	393123	3
41460	1403312	3
-2	1074120	3
263531	1403312	3
1288359	411466	2
762905	411466	2
1546177	637913	2
1922436	983918	2
1089135	411466	2
722417	516950	2
1311757	411466	2
198597	637913	2
1304	290402	2
1704044	1403312	2
68249	1403312	2
360579	411466	2
1150989	272943	2
535712	411466	2
490	411466	2
204507	272943	2
67762	411466	2
1923113	411466	2
272564	411466	2
36855	411466	2
1450169	411466	2
1540096	1403312	2
722438	516950	2
393599	411466	2
1051138	411466	2
266779	1403312	2
1922718	411466	2
480	630588	2
591001	411466	2
1608137	525376	2
1933907	411466	2
304222	411466	2
1249652	516950	2
234267	411466	2
362257	411466	2
632518	411466	2
1117646	411466	2
1089116	411466	2
1597	411466	2
2135430	411466	2
172148	411466	2
1640277	411466	2
434309	411466	2
1869111	411466	2
329	411466	2
395495	411466	2
299768	411466	2
2072590	411466	2
1419584	435590	2
666	411466	2
1221206	411466	2
