taxid	truth_taxid	count
435590	435590	25000
1639	393123	24999
1403312	1403312	24992
243230	243230	24967
1520	290402	24961
1280	93062	24929
1063	272943	24858
470	710094	23741
1311	1154870	23629
1309	1074120	23599
1313	516950	23045
487	630588	21078
1282	525376	20041
0	411466	18171
562	585396	15364
287	983918	13287
637913	637913	12577
210	637913	12360
1747	765105	10358
585396	585396	9446
1396	526973	9070
0	749498	7920
1351	749498	7315
1734925	765115	6425
52773	411466	5736
1114966	765115	5730
86661	526973	5660
1206105	749498	4282
226185	749498	4110
208964	208964	3983
630588	630588	3879
0	525376	2859
287	208964	2789
0	983918	2674
0	526973	2185
1747	765115	2172
516950	516950	1884
361100	526973	1859
480119	710094	1239
222523	526973	803
1428	526973	792
176279	525376	678
288681	526973	649
930170	526973	646
405535	526973	614
1427342	983918	581
1198676	1074120	574
1217984	526973	559
511691	1074120	559
637380	526973	535
1309807	1154870	499
526977	526973	492
1231389	1154870	417
1201292	749498	397
941193	983918	379
176280	525376	323
1449752	525376	292
1155071	1074120	261
1411700	983918	239
1279	525376	234
1386	526973	221
53345	749498	204
381754	983918	191
543	585396	175
1261557	749498	165
996285	983918	162
1760	411466	160
279808	525376	149
544580	411466	137
347495	526973	136
1	749498	123
1287066	749498	118
286	983918	118
272943	272943	115
1314	1154870	113
474186	749498	113
1454382	526973	112
1	983918	94
1091045	765105	91
1280	525376	83
69328	983918	82
0	1154870	81
768486	749498	78
553482	1154870	74
208435	1154870	74
712122	411466	72
1295	525376	70
1195464	526973	66
529122	526973	63
1301	516950	60
405534	526973	58
1114969	765115	56
1427374	1154870	56
86662	526973	56
93062	93062	53
1405	526973	51
644801	983918	49
1415629	983918	48
1442	526973	48
28035	525376	46
1194526	525376	46
226900	526973	44
1734925	765105	43
0	637913	42
1392	526973	42
1129146	983918	37
491	630588	36
1196835	983918	35
1114967	765115	34
0	243230	31
200450	983918	31
908937	525376	31
572264	526973	31
1288	525376	30
1350	749498	30
1623299	749498	30
315730	526973	29
557722	983918	28
985002	525376	27
0	765105	27
451709	526973	26
977801	749498	26
0	272943	26
1301	1154870	25
1330043	526973	25
1218175	526973	23
471853	411466	22
743718	411466	22
1234380	765105	22
446469	411466	22
590998	411466	21
290402	290402	20
565655	749498	19
1408272	983918	19
1276648	765115	19
1448140	983918	19
0	290402	19
1883	411466	19
446466	411466	18
1353	749498	18
1284	525376	18
205921	1154870	18
1654	411466	18
1747326	749498	18
446471	411466	18
85006	411466	17
405532	526973	16
1748	411466	16
1147150	983918	16
246432	525376	16
714359	526973	14
315749	526973	14
767029	411466	14
342616	1154870	14
1236	983918	13
710696	411466	12
0	93062	12
1714373	411466	11
266940	411466	11
0	710094	11
1159554	983918	11
72758	525376	10
593907	411466	10
1274	411466	10
446465	411466	10
1658671	411466	9
2	525376	9
1138308	983918	9
1415784	526973	9
1034809	749498	9
673832	749498	9
0	765115	9
347324	983918	9
446860	411466	9
1	525376	8
0	516950	8
1716	411466	8
2045	411466	8
1678	411466	8
2	411466	8
180850	526973	7
1343064	525376	7
1751294	411466	7
1301	1074120	7
0	1403312	7
1089456	983918	7
1623290	526973	7
47917	983918	7
10699	983918	7
561	585396	7
558173	411466	7
1661	411466	6
1888	411466	6
1763	411466	6
379731	983918	6
66712	411466	6
1129145	983918	6
1704044	411466	6
31535	983918	6
297352	749498	6
0	630588	6
644284	411466	6
1234380	765115	6
71999	411466	6
349101	983918	5
43675	411466	5
342451	525376	5
46170	525376	5
858619	411466	5
378753	411466	5
1348662	411466	5
0	208964	5
1755689	983918	5
1179773	411466	5
1744	411466	5
1771959	411466	5
391008	983918	5
1170318	411466	5
573	983918	5
465515	411466	5
1224164	411466	5
1795053	411466	5
1072256	411466	5
685727	411466	4
1	585396	4
46170	93062	4
1725411	411466	4
408015	411466	4
316	983918	4
443906	411466	4
298654	411466	4
571913	411466	4
662755	411466	4
196162	411466	4
866345	637913	4
698737	525376	4
59201	983918	4
1224162	411466	4
405531	526973	4
762948	411466	4
93220	983918	4
1294143	983918	4
543	983918	4
479432	411466	4
28447	411466	4
1743	765115	4
1449976	411466	4
306537	411466	4
1268	411466	4
471855	411466	3
59505	411466	3
521095	411466	3
1150461	411466	3
521096	411466	3
134676	411466	3
1772	411466	3
1133849	411466	3
754252	411466	3
85025	411466	3
29338	526973	3
680646	411466	3
324831	749498	3
1486428	749498	3
1447715	411466	3
456320	526973	3
1223515	411466	3
1200352	411466	3
191610	411466	3
1907	411466	3
1389489	411466	3
33882	411466	3
478801	411466	3
446462	411466	3
1003195	411466	2
1680	411466	2
479435	411466	2
592022	526973	2
477245	411466	2
36809	411466	2
1451189	411466	2
1926	411466	2
1340851	983918	2
497965	526973	2
1804	411466	2
615	983918	2
1452729	526973	2
1300150	526973	2
452652	411466	2
675635	411466	2
1847	411466	2
196164	411466	2
161896	411466	2
1163741	637913	2
1055531	637913	2
1246995	411466	2
861360	411466	2
85007	411466	2
33910	411466	2
1	526973	2
1224	983918	2
479433	411466	2
106634	983918	2
615	710094	2
121292	411466	2
1707	411466	2
1182571	243230	2
146827	411466	2
479437	411466	2
290399	411466	2
1205910	411466	2
656024	411466	2
1301	525376	2
1114969	765105	2
191292	411466	2
1214242	411466	2
1663	411466	2
985762	526973	2
1236	710094	2
0	585396	2
1415775	526973	2
455632	411466	2
632772	411466	2
1685	411466	2
693745	637913	2
1385	525376	2
572479	526973	2
1783272	411466	2
1127134	411466	2
979556	411466	2
471852	411466	2
413496	983918	2
201174	411466	2
256701	411466	2
33014	411466	2
930171	411466	2
446468	411466	1
1300150	749498	1
1159083	516950	1
1696072	411466	1
1344042	749498	1
338969	411466	1
273036	93062	1
1382922	637913	1
263358	411466	1
574521	585396	1
391037	411466	1
1232724	411466	1
866346	637913	1
907237	637913	1
1532555	411466	1
1334564	411466	1
29385	525376	1
1494608	411466	1
208964	983918	1
656366	411466	1
477641	411466	1
1400868	983918	1
1865	411466	1
1641402	411466	1
1147128	411466	1
290847	637913	1
512565	411466	1
54571	411466	1
1596	1403312	1
38300	411466	1
103855	411466	1
1484157	710094	1
1032480	411466	1
684950	637913	1
278992	411466	1
526225	411466	1
1561022	411466	1
444103	411466	1
243365	411466	1
1332080	411466	1
2049	411466	1
458233	525376	1
595593	411466	1
697283	516950	1
101510	411466	1
1055527	637913	1
1649184	411466	1
648999	411466	1
875328	411466	1
290340	411466	1
170187	516950	1
611	710094	1
216816	411466	1
