taxid	truth_taxid	count
435590	435590	25000
1639	393123	25000
243230	243230	24981
1063	272943	24960
562	585396	24461
1280	93062	24224
1309	1074120	23967
1313	516950	23128
487	630588	22505
1282	525376	22350
470	710094	21602
290402	290402	21515
0	411466	18015
1351	749498	17051
1596	1403312	16882
1396	526973	15594
287	983918	14613
1301	1154870	14452
637913	637913	12497
210	637913	12439
1311	1154870	10287
1747	765105	10249
287	208964	6679
1734925	765115	6419
1114966	765115	5725
52773	411466	5350
0	1403312	3884
1520	290402	3461
1206105	749498	2556
909768	710094	2547
0	749498	2442
630588	630588	2367
1386	526973	2286
1747	765115	2170
86661	526973	1848
0	525376	1836
516950	516950	1801
0	983918	1739
565651	749498	1647
0	526973	1485
324831	1403312	1423
1380360	1403312	1369
480119	710094	831
1	983918	804
361100	526973	720
46170	93062	645
405535	526973	533
226185	749498	532
2053832	526973	438
511691	1074120	436
1198676	1074120	388
222523	526973	348
33959	1403312	326
1428	526973	320
1892404	526973	263
1852377	411466	255
1578	1403312	250
1309807	1154870	217
637380	526973	216
543	585396	209
585396	585396	203
1155071	1074120	202
288681	526973	198
941193	983918	187
1217984	526973	183
257314	1403312	181
1760	411466	176
1201292	749498	173
1279	525376	171
176279	525376	159
53345	749498	147
1033837	1403312	142
1450169	983918	139
996285	983918	134
286	983918	133
1261557	749498	132
561	585396	121
1411700	983918	117
482	630588	109
1427342	983918	105
111015	411466	104
526977	526973	99
1587	1403312	98
1283	525376	95
1091045	765105	93
208964	208964	93
12417	1403312	90
1654	411466	81
544580	411466	76
930170	526973	76
1579	1403312	72
1408186	1403312	66
2005703	749498	64
1405	526973	63
1301	516950	60
31957	765105	59
405534	526973	57
1114969	765115	56
1295	525376	56
29388	525376	55
43675	411466	55
671223	765105	55
1350	749498	54
1449752	525376	54
1851395	411466	54
93062	93062	53
81852	749498	51
633807	749498	48
644801	983918	45
1427374	1154870	44
1279	93062	44
1734925	765105	43
0	637913	42
1280	525376	41
1454382	526973	39
1423143	526973	37
712122	411466	36
633699	1403312	35
1114967	765115	35
145391	525376	34
1	1403312	33
2081702	411466	32
1392	526973	31
474186	749498	30
1129146	983918	28
85006	411466	28
109790	1403312	27
908937	525376	26
0	272943	26
1194526	525376	24
47880	983918	23
1883	411466	23
1960083	411466	23
1234380	765105	22
977801	749498	21
0	765105	21
2	93062	20
0	243230	19
1276648	765115	19
0	290402	19
1744	411466	19
1448140	983918	18
69328	983918	18
45972	525376	18
1195464	526973	17
176280	525376	16
1931241	983918	16
1442	526973	16
347495	526973	15
572264	526973	15
1748	411466	15
471853	411466	14
1353	749498	14
1604	1403312	14
743718	411466	14
0	710094	14
446471	411466	14
29384	525376	13
1	749498	13
1868596	983918	13
767029	411466	13
246432	525376	13
590998	411466	13
1710	411466	12
0	93062	12
1827300	983918	12
279808	525376	12
1613	1403312	12
446469	411466	12
1385937	1403312	11
226900	526973	11
53346	749498	11
1423723	1403312	11
1415629	983918	10
909954	1403312	10
491	630588	10
363555	1403312	10
1331682	411466	10
31957	765115	10
266940	411466	9
2	525376	9
2003551	411466	9
315730	526973	9
1716	411466	9
0	765115	9
593907	411466	8
0	516950	8
85007	411466	8
1905847	411466	8
1610493	411466	8
1909732	411466	8
1300344	411466	8
0	630588	8
399497	411466	8
615	983918	7
1678	411466	7
1343064	525376	7
1196835	983918	7
446466	411466	7
1301	1074120	7
451709	526973	7
1147150	983918	7
10699	983918	7
349101	272943	7
558173	411466	7
446860	411466	7
35760	411466	6
1839798	526973	6
1416334	1403312	6
52242	1403312	6
543	710094	6
857417	411466	6
710696	411466	6
1663	411466	6
557760	272943	6
36805	411466	6
1234380	765115	6
2	411466	6
1003239	526973	5
714359	526973	5
1903186	411466	5
1658671	411466	5
28035	525376	5
1138308	983918	5
0	208964	5
1287066	749498	5
1236	983918	5
1980001	411466	5
1485	290402	5
28038	1403312	5
1661	411466	4
1763	411466	4
1332264	411466	4
1714373	411466	4
315749	526973	4
1912216	765115	4
85017	411466	4
1865	411466	4
1	585396	4
1279008	983918	4
1348662	411466	4
571913	411466	4
33010	411466	4
1415784	526973	4
529122	526973	4
196162	411466	4
1575	411466	4
1274	411466	4
762948	411466	4
102608	637913	4
553510	411466	4
1545702	1403312	4
