taxid	truth_taxid	count
1613	1408443	25000
290400	290400	24998
221822	383629	24987
1590	1327988	24977
1579	1421011	24963
215813	398580	24952
300	399739	24942
47715	1203258	24930
0	911045	23996
0	525362	23966
0	927703	23864
0	525330	23586
0	1269760	23575
0	391626	23109
0	391595	23002
0	1226336	22771
0	394221	22482
0	1033837	22404
0	883092	22194
316	1210443	21791
0	272942	19460
0	272943	18798
0	322710	18062
0	208963	17277
47877	875329	16946
0	1094177	15222
0	220664	14832
0	1193499	14594
0	525318	14449
0	564420	10910
0	511437	9174
0	875329	6196
47877	1094177	5229
1500686	220664	5160
294	564420	4694
198620	564420	4627
0	1210443	3117
2033869	272943	2586
1583341	1094177	2237
1583341	875329	1918
104087	564420	1659
294	220664	1619
1579	883092	1550
0	208964	1527
157782	1193499	1447
312306	1193499	1428
69328	1193499	1401
1579	1033837	1361
294	1193499	1346
1649877	1193499	1206
316	322710	1168
1579	1226336	1071
47880	1193499	907
1283291	1193499	880
300	322710	777
1611770	220664	754
1283291	564420	708
1294143	208963	698
33069	1094177	684
294	1094177	666
1853130	564420	633
83683	883092	619
152331	511437	609
294	322710	597
316	208963	588
300	208963	526
83683	1033837	510
294	208963	507
83683	1226336	503
1335048	272942	486
305	208963	481
1915078	272942	457
104087	220664	443
2067572	564420	436
1579	525330	427
1458307	391626	404
237609	1193499	370
308754	272942	355
2033869	272942	354
300	1193499	352
198620	1193499	338
53412	322710	330
1149133	322710	327
104087	1193499	312
1077935	272942	311
1335048	272943	310
1611770	564420	306
316	1193499	305
1294143	322710	294
198620	220664	289
1945662	272942	273
219572	564420	268
308754	272943	266
2083055	564420	265
244566	564420	260
53412	208963	258
76758	564420	255
1579316	391626	253
1500686	1193499	248
1229727	272943	240
47880	322710	230
1613	1269760	226
221822	391595	225
1500686	564420	217
1149133	208963	216
330	322710	215
104087	1094177	201
316	1094177	199
1611770	1193499	196
300	564420	193
1853130	220664	193
1208324	272943	190
200451	564420	190
157782	322710	188
294	875329	187
200450	564420	186
312306	220664	185
2067572	220664	182
2109625	272942	182
104087	322710	180
2083055	220664	179
221822	391626	175
1611770	208963	174
1077935	272943	173
1649877	322710	172
2083055	1193499	172
1853130	1193499	171
1611770	322710	170
1208324	272942	169
1283291	220664	167
1930532	322710	166
1915078	272943	165
83683	525330	165
312306	322710	164
83683	1269760	162
300	220664	162
1294143	1193499	161
221822	272942	160
1649877	208963	160
47879	564420	158
157782	564420	157
200450	1193499	156
198620	1094177	154
69328	564420	154
1229727	272942	151
316	564420	151
157782	208963	149
76758	1193499	148
312306	564420	142
200451	220664	142
1500686	322710	142
47880	208963	141
76758	220664	141
312306	208963	141
219572	220664	136
53412	1193499	136
1649877	220664	134
1411902	272942	133
456327	208963	132
47879	220664	131
244566	1193499	130
1649877	564420	130
237609	564420	129
1613	1226336	129
1613	927703	129
330	208963	125
244566	220664	124
316	220664	124
330	1193499	123
1500686	208963	121
1590	1226336	118
53412	564420	118
200450	220664	118
219572	1193499	117
1583341	564420	116
1283291	1094177	114
215813	272942	113
2067572	1193499	111
198620	208963	110
92945	272942	110
2109625	272943	110
198620	322710	110
215813	272943	109
9606	1226336	109
1149133	1193499	107
47880	564420	107
104087	208963	107
69328	322710	106
1579	1269760	106
384	272942	105
379347	391595	105
53412	220664	104
47879	1193499	104
76758	1094177	100
47880	220664	99
152331	1226336	98
237609	208963	98
47877	564420	98
1945662	272943	97
2067572	1094177	96
1844006	383629	95
1283291	322710	95
200451	1193499	95
1283291	208963	95
2109625	391595	94
1930532	208963	91
2083055	322710	91
300	1094177	90
286	322710	90
1206777	564420	89
9606	883092	88
237609	220664	87
237609	322710	87
1411902	391595	85
384	272943	85
215813	391595	85
1597	1226336	84
2083055	1094177	84
33069	564420	83
384	394221	83
33069	1193499	82
157782	220664	82
1590	1269760	81
1930532	1193499	81
221822	272943	81
1844006	391595	81
193	272942	80
1294143	208964	79
1611770	1094177	77
1206777	1193499	76
305	220664	75
200451	1094177	75
1411902	272943	74
379347	272942	74
1590	1033837	73
33069	875329	73
104087	875329	73
1149133	220664	73
95486	322710	71
152331	525318	71
358	272942	71
215813	391626	68
286	208963	66
290400	391595	66
47715	1226336	65
244566	1094177	65
232721	208963	64
69328	208963	64
9606	1033837	64
2083055	208963	63
47877	1193499	63
0	1203258	62
69328	1094177	62
441209	391595	60
1579316	391595	60
9606	1269760	60
1853130	1094177	60
193	272943	59
1844006	272942	59
1579	927703	59
69328	220664	59
9606	525330	58
219572	1094177	58
1597	1269760	58
286	564420	57
1590	511437	57
286	1193499	57
1294143	220664	57
1883416	322710	57
1853130	322710	55
193	394221	54
1583341	322710	54
33069	322710	54
308754	391595	54
47879	1094177	53
223967	272943	53
1583341	1193499	53
1255	883092	53
418699	322710	52
53412	1094177	52
290400	272942	52
9606	525362	52
1358	525330	52
294	208964	52
1206777	220664	52
1589	1269760	52
200451	322710	52
1930532	220664	51
441209	272942	51
47877	220664	51
290400	391626	51
9606	927703	50
47877	322710	50
1613	525318	50
