taxid	truth_taxid	count
1579	1421011	74913
1063	272943	74676
287	208963	62295
33959	525330	33668
1613	1408443	32932
1587	1226336	31183
316	1210443	29403
380021	220664	28078
1590	1327988	25304
1033837	1033837	25158
398580	398580	25057
272942	272942	25031
290400	290400	25012
391595	391595	25000
394221	394221	25000
391626	391626	25000
322710	322710	24999
399739	399739	24997
1283330	322710	24994
1314884	1421011	24989
220664	220664	24977
272621	1421011	24866
1283331	322710	24818
47715	1203258	23446
0	911045	23287
1193499	1193499	22769
221822	383629	22675
1598	927703	21893
927703	927703	21661
1069534	525362	20971
383629	383629	19478
0	883092	18081
317	1094177	16635
231023	1193499	16242
29397	1269760	15974
264730	875329	14928
208963	208963	14802
0	525318	14164
1340495	927703	13879
2108362	1327988	13666
1584	1269760	12166
633699	525330	11523
351746	1193499	10493
1380361	1203258	10241
511437	511437	10185
0	564420	9256
379731	1210443	8564
996285	1210443	8486
1104678	1094177	8412
317	875329	7305
300	399739	6393
888027	1269760	6277
693985	875329	6043
264451	875329	5713
53707	875329	5362
326425	1226336	5303
129138	875329	4993
52242	1226336	4914
257314	525330	4712
909954	525330	4528
568703	1203258	4516
334390	1408443	4500
349101	272943	4365
287	208964	4026
767455	1269760	3999
198620	564420	3927
0	525362	3790
1408186	525330	3599
0	875329	3518
1327988	1327988	3369
712938	1408443	3368
83684	1269760	3312
767453	1408443	3126
1124983	220664	3058
0	1210443	3005
1081940	1193499	2943
491077	927703	2834
1316933	1203258	2677
1381124	1408443	2206
47877	875329	2184
103796	1094177	2076
1587	883092	2069
1579	883092	2058
557760	272943	2031
1071400	511437	2000
2083052	1193499	1939
1318634	1203258	1706
1088720	1203258	1705
1420599	220664	1695
1583341	875329	1688
1050107	1269760	1661
568704	1203258	1655
767468	1327988	1624
1338689	1193499	1581
208964	208964	1564
767456	1226336	1562
205922	564420	1516
1534110	564420	1499
2069256	1193499	1385
1217420	1269760	1373
303	1193499	1272
1604	883092	1237
294	564420	1218
104087	564420	1217
695562	883092	1133
1423723	883092	1090
160488	1193499	1022
1358027	927703	961
587753	564420	943
52242	883092	934
0	525330	922
930166	564420	880
1585	1269760	837
1033837	883092	830
249265	1269760	798
767462	1226336	735
1150601	1193499	666
1659194	564420	656
1104678	875329	642
1314884	883092	601
272621	883092	600
931281	1193499	573
33959	883092	528
0	1269760	498
1147786	564420	491
1283291	564420	476
1221522	564420	454
1853130	564420	440
1215087	1193499	426
405566	1226336	411
303	564420	410
557433	927703	395
86192	564420	392
557436	927703	388
880633	1226336	363
1207075	564420	350
2067572	564420	315
251701	875329	305
305	208963	299
353496	1269760	295
380021	564420	279
83683	883092	272
1114970	564420	268
47878	564420	263
1332075	875329	258
286	564420	256
46257	875329	248
287	564420	234
390333	1269760	216
994484	564420	214
1215088	1193499	212
326425	883092	210
287	875329	198
880633	883092	196
321956	1269760	188
1611770	564420	182
219572	564420	172
767462	883092	169
244566	564420	168
2018067	564420	167
1580596	383629	162
216595	564420	156
48664	875329	156
1334632	875329	155
1513890	564420	151
1600	883092	149
321	875329	149
323	875329	146
2083055	564420	143
1596	883092	142
1415630	564420	142
321	564420	137
76758	564420	134
76761	564420	132
1124983	564420	132
324831	883092	127
1380360	883092	126
220664	564420	125
199201	875329	123
1827300	564420	120
1324932	875329	114
633699	883092	111
909954	883092	110
1196835	1210443	110
2083054	564420	109
1420599	564420	108
405566	883092	106
1380360	525330	105
1583341	564420	104
317	564420	104
200450	564420	104
1357279	564420	103
287	1210443	102
1282356	564420	102
324831	525330	99
337330	1327988	98
251701	1094177	96
1500687	564420	94
1415629	208963	94
296	564420	93
47879	564420	92
1500686	564420	91
1596	525330	90
1334632	564420	86
1284663	1327988	85
52242	1033837	81
29438	875329	81
1408186	883092	80
1624	883092	79
644801	1210443	78
60890	383629	78
1037911	564420	77
199201	564420	72
205918	875329	71
69328	564420	71
9606	883092	71
1587	1033837	70
152331	525318	69
208963	875329	69
2083051	564420	69
109790	883092	68
257314	883092	66
237609	564420	65
76869	564420	64
2083053	564420	64
1441629	564420	64
46257	1094177	64
1245471	564420	62
1033837	1226336	62
1604	525330	61
104087	875329	61
78327	564420	61
2069256	564420	60
300	564420	59
1388763	564420	57
157783	564420	56
1636610	564420	55
76759	564420	55
695562	525330	55
264730	564420	55
316	564420	54
741155	564420	53
1649877	564420	53
1324932	564420	52
323	564420	49
2083052	564420	48
