taxid	truth_taxid	count
286	1094177	25000
1578	927703	25000
286	220664	25000
1578	1033837	25000
1060	272942	25000
53945	391626	25000
302485	383629	25000
74317	394221	25000
1578	1421011	25000
1578	1226336	25000
286	399739	25000
309512	398580	25000
2433	391595	24999
188905	290400	24999
1578	1327988	24999
286	1193499	24998
1060	272943	24997
352	322710	24996
1578	1408443	24991
1578	1203258	24892
1578	1269760	24415
1578	525330	23757
286	208963	22582
286	1210443	21725
286	875329	20989
1578	525362	20496
286	564420	10876
1578	511437	10184
1578	883092	3892
286	208964	2103
1578	525318	177
338	875329	28
613	564420	25
478070	911045	23
379	911045	22
286	911045	21
1883	564420	19
1301	883092	17
544	564420	15
12916	875329	15
283810	564420	15
517	564420	14
2742	564420	11
1301	525362	11
379	1210443	11
50	564420	10
68	564420	10
547	564420	10
32	564420	10
302485	911045	9
374	911045	9
1243	883092	9
85413	911045	8
528	911045	8
1386	1269760	8
2063	564420	8
570	875329	7
283	564420	7
40323	564420	7
227873	911045	7
68287	911045	7
414878	564420	7
1357	883092	7
46255	883092	6
357	911045	6
216851	525362	6
432330	564420	6
1375	883092	6
2755	883092	6
40323	1210443	5
53945	911045	5
662	911045	5
1350	883092	5
97050	911045	5
32008	564420	5
39643	564420	5
234	911045	4
407	911045	4
1485	883092	4
642	911045	4
1350	525362	4
1279	883092	4
41275	911045	4
265	911045	4
2745	911045	4
293088	911045	4
662	564420	3
1372	883092	3
1386	911045	3
186650	911045	3
22	911045	3
1263	525362	3
1253	525318	3
528	564420	3
149698	911045	3
469	911045	3
414371	911045	3
1073	911045	3
80865	564420	3
2053	564420	3
1778653	564420	3
2093	883092	3
323620	911045	3
434	911045	3
191	911045	3
2747	883092	3
44249	883092	3
1253	883092	3
360528	911045	3
773	911045	3
53246	911045	3
1485	525318	3
237	883092	3
245186	911045	3
13134	911045	3
75	911045	3
60136	911045	3
1678	525318	3
58842	911045	3
28105	911045	3
379	883092	2
398041	911045	2
20	911045	2
544	911045	2
191028	911045	2
570	564420	2
1921582	1210443	2
1372	525330	2
613	911045	2
122277	911045	2
55080	883092	2
53335	911045	2
283	1210443	2
32008	911045	2
93217	911045	2
1663	564420	2
1543704	911045	2
1434011	911045	2
31988	911045	2
168934	911045	2
1763	911045	2
150247	883092	2
122277	564420	2
590	911045	2
1730	525362	2
1330547	564420	2
482	883092	2
299261	911045	2
1357	525330	2
1572860	911045	2
46913	564420	2
165696	911045	2
2742	911045	2
991903	911045	2
1330545	911045	2
32	1269760	2
441	911045	2
1386	525362	2
207244	525362	2
106589	911045	2
152053	911045	2
413496	911045	2
46255	911045	2
2723	911045	2
256616	911045	2
84406	883092	2
44011	911045	2
629	911045	2
2433	911045	2
13687	911045	2
157	525362	2
517	1210443	2
47	564420	2
40136	911045	2
10	911045	2
1759396	911045	2
551	911045	2
74032	911045	2
1663	911045	2
875170	911045	2
1386	883092	2
352	564420	2
1827	564420	2
963	911045	2
74317	911045	2
283	911045	2
29487	911045	2
28196	525318	1
264688	883092	1
1060	911045	1
561	911045	1
34008	911045	1
1734920	911045	1
1716	883092	1
445	911045	1
51668	525318	1
44249	911045	1
10	1210443	1
1177	911045	1
570	911045	1
1537406	911045	1
1525371	911045	1
133	911045	1
662	883092	1
1301	911045	1
1041	911045	1
204037	564420	1
762296	564420	1
119044	911045	1
1111	911045	1
1379908	883092	1
517	208963	1
1565532	911045	1
535	911045	1
33057	911045	1
2330	883092	1
572511	883092	1
222	911045	1
245876	911045	1
28100	911045	1
367771	911045	1
285107	911045	1
45669	883092	1
911	911045	1
83618	911045	1
698776	883092	1
2129	525318	1
517	911045	1
274591	911045	1
1068	911045	1
1445504	911045	1
1682492	883092	1
290425	911045	1
150203	911045	1
1716	911045	1
204286	911045	1
393029	911045	1
846	564420	1
1082930	911045	1
507	911045	1
651456	911045	1
1284657	911045	1
437504	911045	1
1434046	911045	1
225143	911045	1
165697	911045	1
201096	911045	1
33969	883092	1
173479	911045	1
52959	883092	1
1696	911045	1
482	911045	1
572511	525362	1
28228	911045	1
153497	911045	1
1335483	911045	1
361177	911045	1
436357	911045	1
1678	911045	1
44249	525362	1
48736	911045	1
1839	525362	1
202907	911045	1
547	911045	1
377315	911045	1
74030	911045	1
44013	911045	1
1506553	1269760	1
222	564420	1
191028	564420	1
1562	883092	1
262	883092	1
45662	911045	1
1883	911045	1
1484898	911045	1
1330546	875329	1
1578	911045	1
1847	911045	1
125216	564420	1
1543705	911045	1
780	911045	1
85076	1210443	1
1470540	883092	1
204037	911045	1
146	911045	1
194	525362	1
43773	911045	1
2035811	911045	1
