taxid	truth_taxid	count
286	1094177	25000
1578	927703	25000
286	220664	25000
1578	1033837	25000
1060	272942	25000
53945	391626	25000
302485	383629	25000
1578	1421011	25000
1578	1226336	25000
286	399739	25000
309512	398580	25000
74317	394221	25000
1578	1327988	24999
2433	391595	24999
188905	290400	24999
1060	272943	24998
352	322710	24997
1578	1408443	24990
286	1193499	24974
1578	1203258	24888
1578	1269760	24426
1578	525330	23742
286	208963	22582
286	1210443	21738
286	875329	21000
1578	525362	20500
286	564420	10974
1578	511437	10183
1578	883092	3923
286	208964	2103
1578	525318	173
338	875329	29
547	564420	20
286	911045	20
613	564420	19
379	911045	18
478070	911045	17
1372	525330	15
1883	564420	15
12916	875329	15
1301	883092	15
2742	564420	11
1279	883092	11
1301	525362	10
68	564420	10
32	564420	10
68287	911045	9
357	911045	9
302485	911045	9
528	911045	9
85413	911045	8
379	1210443	8
227873	911045	8
570	875329	8
1386	1269760	8
374	911045	7
40323	564420	7
544	564420	7
432330	564420	7
352	564420	7
28105	911045	7
46255	883092	6
1330546	875329	6
1485	883092	6
216851	525362	6
1375	883092	6
662	911045	5
875170	911045	5
469	911045	5
265	911045	5
293088	911045	5
1372	883092	4
407	911045	4
40323	1210443	4
33057	564420	4
1637	883092	4
360528	911045	4
1350	525362	4
1243	883092	4
2433	911045	4
517	564420	4
517	1210443	4
41275	911045	4
570	564420	4
1357	883092	4
28196	525318	3
234	911045	3
1716	564420	3
561	911045	3
186650	911045	3
1263	525362	3
191028	911045	3
613	911045	3
970	525318	3
53945	911045	3
1253	525318	3
1543704	911045	3
1434011	911045	3
2147	883092	3
122277	911045	3
1572860	911045	3
1073	911045	3
642	911045	3
191	911045	3
2747	883092	3
44249	883092	3
1253	883092	3
34072	911045	3
773	911045	3
237	883092	3
75	911045	3
1759396	911045	3
1350	883092	3
97050	911045	3
60136	911045	3
32008	564420	3
1663	911045	3
1678	525318	3
2745	911045	3
58842	911045	3
283	911045	3
379	883092	2
398041	911045	2
568	911045	2
662	564420	2
22	911045	2
44249	911045	2
359407	911045	2
1921582	1210443	2
55080	883092	2
93217	911045	2
168934	911045	2
1763	911045	2
150247	883092	2
1386	911045	2
1582879	911045	2
149698	911045	2
122277	564420	2
590	911045	2
1730	525362	2
34008	911045	2
482	883092	2
46913	564420	2
31988	911045	2
165696	911045	2
2742	911045	2
991903	911045	2
1330545	911045	2
207244	525362	2
106589	911045	2
152053	911045	2
150203	911045	2
657	911045	2
1060	911045	2
629	911045	2
323620	911045	2
53246	911045	2
208215	911045	2
157	525362	2
1485	525318	2
47	564420	2
222	564420	2
40136	911045	2
10	911045	2
1827	564420	2
963	911045	2
245876	911045	2
29487	911045	2
264688	883092	1
1654	911045	1
361177	911045	1
2039639	883092	1
20	911045	1
1883	1269760	1
445	911045	1
125216	911045	1
10	1210443	1
1177	911045	1
570	911045	1
53335	911045	1
367771	911045	1
133	911045	1
1284657	911045	1
1298	911045	1
33055	883092	1
437504	911045	1
129957	911045	1
1041	911045	1
119044	911045	1
1111	911045	1
1445504	911045	1
1379908	883092	1
1565532	911045	1
535	911045	1
33057	911045	1
2330	883092	1
43773	911045	1
55079	911045	1
572511	883092	1
222	911045	1
414371	911045	1
1295327	1210443	1
28100	911045	1
547	911045	1
354203	911045	1
285107	911045	1
911	911045	1
698776	883092	1
32	1269760	1
517	911045	1
441	911045	1
274591	911045	1
45669	883092	1
85076	1210443	1
1386	525362	1
1163	883092	1
935200	911045	1
204286	911045	1
1082930	911045	1
507	911045	1
651456	911045	1
1822464	911045	1
1434046	911045	1
1301	525318	1
1778653	564420	1
2093	883092	1
46913	911045	1
201096	911045	1
1716	911045	1
393029	911045	1
33969	883092	1
173479	911045	1
52959	883092	1
482	911045	1
434	911045	1
51668	525318	1
28228	911045	1
153497	911045	1
724	883092	1
46255	911045	1
1335483	911045	1
436357	911045	1
1678	911045	1
44249	525362	1
541	911045	1
48736	911045	1
1839	525362	1
202907	911045	1
74317	911045	1
377315	911045	1
13687	911045	1
44013	911045	1
1506553	1269760	1
245186	911045	1
13134	911045	1
551	911045	1
1484898	911045	1
1569	883092	1
1847	911045	1
1177	883092	1
125216	564420	1
1543705	911045	1
780	911045	1
1386	883092	1
34093	883092	1
1470540	883092	1
204037	911045	1
83618	911045	1
194	525362	1
246861	911045	1
28253	911045	1
1301	911045	1
2035811	911045	1
