taxid	truth_taxid	count
1613	1408443	25000
290400	290400	24998
74318	394221	24996
215813	398580	24995
1063	272943	24990
1598	927703	24990
1061	272942	24983
42443	391595	24979
47715	1203258	24975
1217908	391626	24949
1579	1421011	24895
380021	220664	24854
300	399739	24835
354	322710	24747
267818	1033837	24534
1584	1269760	24485
221822	383629	24480
317	1094177	24377
33959	525330	23765
303	1193499	22735
287	208963	22505
316	1210443	21836
1587	1226336	21758
1623	525362	21531
1590	1327988	19974
1581	511437	10164
29438	875329	6024
317	875329	5478
198620	564420	3470
287	208964	2101
1604	883092	1583
294	564420	1309
47877	875329	1136
1579	883092	827
267818	883092	766
60520	1327988	762
1587	883092	518
1583341	875329	366
1534110	564420	356
294	875329	303
930166	564420	286
33959	883092	249
1596	525330	198
1596	883092	195
52242	1226336	186
83683	883092	186
1604	1226336	160
587753	564420	155
104087	564420	154
1589	1327988	149
1600	883092	137
303	564420	129
104087	875329	121
1604	525330	118
287	875329	116
52242	883092	115
152331	525318	113
303	875329	102
267818	1226336	98
2067572	564420	95
251701	875329	77
75612	564420	76
1624	883092	71
1581	525318	65
1579	1226336	57
1587	1033837	51
1283291	564420	50
1590	525318	47
1207075	564420	46
1584	883092	46
33959	1226336	45
109790	883092	44
36746	875329	40
317	564420	40
1853130	564420	38
33069	875329	37
70775	875329	36
39491	525362	36
1598	883092	35
200451	564420	33
47878	875329	33
76758	564420	32
353	322710	29
121719	911045	28
2021862	911045	28
380021	564420	27
1613	525318	25
1584	1226336	23
1545702	883092	23
1598	525362	22
296	564420	22
47878	564420	21
456327	208963	20
1138822	525318	20
1311	525362	19
1338689	1193499	18
1981173	1210443	17
2069256	1193499	17
97478	525362	17
1659194	564420	16
237609	564420	15
1193095	525318	15
1601	525362	15
354	564420	15
1580596	383629	15
28038	525318	14
2083054	564420	14
316	875329	14
244566	564420	14
2018067	1193499	14
240427	525318	13
2083055	875329	13
300	564420	13
2083052	1193499	13
216142	564420	13
1580	525318	13
1423	1269760	12
62140	208963	12
80867	875329	12
200450	564420	11
1601	1269760	11
46257	875329	11
267363	525318	11
1028989	875329	11
1571470	911045	10
1596	1226336	10
1294143	564420	10
991904	911045	10
1582	525318	10
1358	883092	10
1245	525318	10
1458307	911045	10
1076	911045	9
40324	1210443	9
2099789	525318	9
1603	883092	9
60890	383629	9
1580596	911045	9
1469502	208963	9
1604	1033837	9
1620421	911045	8
2099788	1327988	8
1245	1226336	8
187304	911045	8
1351	525318	8
1600	1226336	8
316	564420	8
382	1210443	7
930166	875329	7
1338	883092	7
133924	911045	7
83263	911045	7
221822	911045	7
1596	1033837	7
244566	875329	7
2099789	1327988	7
1583341	564420	7
40324	208963	7
384	911045	7
1500687	564420	7
89184	911045	6
303	1210443	6
1643450	911045	6
60890	911045	6
437505	911045	6
271865	911045	6
472175	911045	6
83683	525330	6
358	911045	6
287	564420	5
47715	525318	5
1882682	911045	5
36746	564420	5
83683	1226336	5
571256	911045	5
219572	564420	5
53399	911045	5
392416	883092	5
1482074	911045	5
71433	911045	5
1847728	525318	5
1612	883092	5
1587	1421011	5
56730	911045	5
1842536	911045	5
373	911045	5
853	525362	5
531813	911045	5
353	1210443	5
1587	525330	5
1007676	525318	5
380	911045	4
1587	525318	4
1938606	564420	4
379347	911045	4
1564506	911045	4
2421	883092	4
1534110	1210443	4
53336	525318	4
110321	911045	4
1255	883092	4
2009329	911045	4
921	911045	4
39488	525362	4
312306	564420	4
1397108	911045	4
2724	911045	4
382	911045	4
1792307	911045	4
1649877	564420	4
1309	525318	4
89059	525318	4
69	564420	4
1624	525362	4
1624	525318	4
148814	883092	4
686597	911045	4
1288	525318	4
1848904	525362	3
42444	911045	3
1254	525318	3
529	911045	3
28173	911045	3
1411902	911045	3
74829	1210443	3
119219	911045	3
266779	911045	3
157783	564420	3
1255	525318	3
1821621	911045	3
1125847	911045	3
1670800	911045	3
712538	525318	3
637971	883092	3
649756	525362	3
1625	883092	3
1600	1033837	3
95486	875329	3
2048283	911045	3
192	911045	3
1358	525318	3
158500	911045	3
392416	1327988	3
1788301	564420	3
1904441	911045	3
47715	883092	3
46127	525318	3
239935	525362	3
1307	883092	3
74318	911045	3
1903686	883092	3
1160721	525362	3
1581	883092	3
252970	564420	3
1510841	911045	3
267363	1327988	3
1502	883092	3
1584	525318	3
1599	525318	3
587753	875329	3
1915078	911045	3
1351	883092	3
1636603	883092	3
1445505	911045	3
47879	564420	3
442	911045	3
1601	883092	3
33069	564420	3
1505	525318	3
1625	525318	2
316	399739	2
76759	1193499	2
1284658	911045	2
1686310	911045	2
1674922	911045	2
676	911045	2
1250539	911045	2
92947	911045	2
217159	525318	2
1921086	911045	2
1856685	564420	2
287	911045	2
1611770	220664	2
2049589	875329	2
1427364	911045	2
1564681	525362	2
159346	911045	2
1492898	911045	2
400668	911045	2
47715	1327988	2
1082851	1210443	2
305	208963	2
1217908	911045	2
1134435	911045	2
87541	883092	2
1148157	911045	2
1193095	883092	2
137591	883092	2
1604	525318	2
