taxid	truth_taxid	count
74318	394221	19371
1578	525330	18991
1578	1203258	18562
286	1193499	17734
1578	1327988	17058
1578	1226336	16901
290400	290400	16518
286	564420	16197
0	911045	15726
215813	398580	15570
286	208963	14962
1061	272942	14818
1578	883092	14581
1578	1421011	13905
1623	525362	13102
1584	1269760	12612
1578	1033837	12260
1578	1408443	11386
286	220664	10886
286	399739	10511
1578	927703	10423
302485	383629	10297
286	875329	9797
354	322710	9595
316	1210443	9499
1598	927703	9183
1063	272943	9145
1217908	391626	9082
0	525318	8972
286	1094177	8794
1613	1408443	8536
2433	391595	7985
267818	1033837	7531
0	883092	7263
1060	272943	7158
0	875329	7137
380021	220664	6770
300	399739	6688
0	525362	6688
42443	391595	6666
1578	1269760	6608
1579	1421011	6447
0	1210443	6223
0	1094177	5954
136849	1094177	5851
53945	391626	5393
31989	383629	5319
0	1327988	5051
0	220664	5025
0	322710	4943
0	208963	4927
286	1210443	4728
0	399739	4699
0	1193499	4662
31989	391595	4658
0	272943	4627
352	322710	4531
0	391626	4521
0	1269760	4421
0	1203258	4416
0	272942	4318
0	564420	4318
0	383629	4170
0	398580	4079
1581	511437	4014
0	394221	3984
0	1408443	3934
31989	391626	3824
0	927703	3810
1578	511437	3795
1587	1226336	3766
221822	383629	3741
0	290400	3710
0	391595	3708
31989	398580	3694
0	1033837	3601
0	1226336	3520
31989	272942	3508
0	525330	3431
31989	290400	3354
136849	875329	3288
135621	322710	3196
0	1421011	3159
28211	911045	3047
317	1094177	2771
31989	272943	2721
1578	525318	2261
1578	525362	2079
1224	911045	1859
2	911045	1673
0	511437	1587
1224	875329	1458
135621	564420	1328
286	208964	1285
1224	322710	1279
135621	1210443	1242
1224	208963	1109
135621	399739	1060
33959	525330	989
1224	1210443	989
1224	220664	947
28211	391626	934
28211	391595	889
1224	564420	874
1590	1327988	866
186826	525318	864
28211	272942	852
1236	1210443	813
1236	322710	783
28211	398580	756
28211	272943	750
317	875329	747
47715	1203258	733
136846	1210443	724
1224	399739	722
186826	525362	717
28211	394221	711
1236	399739	694
1224	1193499	686
28211	383629	681
1236	564420	674
28211	290400	666
33958	1327988	655
1060	272942	647
135621	1193499	632
1224	391595	618
186826	1327988	601
1224	1094177	596
186826	883092	586
186826	1421011	585
135621	208963	571
186826	927703	570
1224	391626	557
2	525362	548
135621	875329	540
1224	398580	523
1236	1193499	521
2	564420	511
1236	875329	492
91061	525362	492
1224	383629	487
1236	208963	481
33958	1203258	446
186826	1269760	432
198620	564420	427
2	322710	424
31989	911045	420
287	208963	419
1236	1094177	414
1224	272942	413
0	208964	411
1224	290400	394
33958	525318	389
135621	220664	389
186826	525330	389
2	883092	388
2	394221	363
47877	875329	356
1236	220664	346
152331	525318	344
186826	1033837	341
29438	875329	334
91061	1327988	328
2	272942	323
2	875329	323
2	391626	321
33958	927703	315
2	525318	312
1604	883092	305
1224	272943	304
2	208963	304
356	911045	301
186826	1203258	301
1239	525362	293
2	391595	293
186826	1408443	292
33958	525362	292
136841	399739	291
135621	1094177	290
2	398580	289
91061	1421011	289
136843	220664	287
2	290400	284
186826	1226336	269
2	399739	256
1224	394221	252
33958	511437	249
91061	525318	248
2	1210443	247
2	1193499	243
186826	511437	243
303	1193499	242
91061	525330	241
2	927703	238
91061	883092	235
2	1408443	234
2	272943	233
1581	525318	228
91061	1269760	217
2	220664	217
53946	391626	214
1	1210443	214
2	1421011	213
2	1033837	212
91061	927703	210
2	525330	209
2	1269760	208
478070	911045	202
33958	525330	201
2	383629	200
267818	883092	191
91061	1203258	189
33958	1408443	185
91061	1033837	181
1	525362	177
2	1327988	176
1239	883092	173
33958	1033837	168
1783272	525362	168
2	1226336	165
2	1094177	162
1587	883092	158
1579	883092	155
1236	911045	154
2	1203258	154
1783272	525318	152
91061	1408443	151
33958	883092	150
1783272	1269760	149
1783272	883092	144
1224	208964	142
578833	1210443	140
1596	525330	140
1239	1269760	137
2067572	564420	136
251698	875329	136
74317	394221	134
294	564420	134
287	208964	130
1587	1033837	129
131567	911045	124
1604	1033837	118
1239	525318	117
91061	1226336	116
1579	525330	115
91061	511437	114
1783272	927703	114
991904	911045	113
1239	1033837	110
160488	1193499	110
1239	525330	106
33958	1421011	104
1239	1408443	104
1583341	875329	103
1239	1421011	103
1534110	564420	103
1590	525318	98
131567	1408443	97
1783272	1033837	96
930166	564420	95
33958	1269760	94
1138822	525318	94
1783272	1203258	93
1596	883092	91
1579	1033837	91
267363	525318	87
1239	1327988	85
1239	927703	83
1783272	1421011	83
69657	394221	82
353	322710	82
1783272	525330	81
131567	883092	79
53444	525318	79
2021862	911045	79
1783272	1408443	77
33958	1226336	76
1783272	1327988	73
1604	525330	72
2434	391595	72
52242	1226336	71
131567	525362	71
121719	911045	70
33959	883092	69
1	208963	68
240427	525318	67
2083052	1193499	66
2	511437	66
204455	394221	66
1601	525362	62
1624	883092	60
294	875329	58
1584	883092	58
131567	525318	56
286	322710	53
186802	525362	52
135621	208964	49
587753	564420	49
1	1094177	47
52242	883092	46
33959	1033837	45
1604	1226336	45
1245	525318	45
1545702	883092	45
1600	883092	41
1239	1203258	40
1236	208964	39
1587	1421011	39
223283	1094177	39
669	911045	39
83683	883092	38
1	220664	37
1239	511437	36
1783272	511437	35
302485	911045	35
2069256	1193499	33
71433	911045	33
2	208964	33
1596	1033837	32
131567	1327988	31
76860	1269760	31
662	911045	30
1580	525318	29
1193095	525318	29
312306	875329	29
131567	272942	27
655183	1203258	27
33069	875329	27
60890	383629	27
72274	1193499	26
131567	391595	26
104087	875329	26
1783272	1226336	25
104087	564420	25
204455	391626	23
91347	911045	22
131567	1033837	22
1338689	1193499	22
131567	1269760	22
133924	911045	22
1584	525362	21
1	525318	21
1589	1327988	21
1545702	1421011	21
72274	399739	20
82115	911045	20
251701	875329	20
1	911045	20
1482074	911045	20
375175	525318	19
72274	1094177	19
131567	394221	19
1850250	272942	19
1	272942	19
227290	911045	19
39491	525362	19
131567	1203258	19
204455	272943	19
1613	883092	19
131567	927703	18
637971	525318	18
89184	911045	18
131567	1421011	18
691	911045	18
1243	525318	18
1580596	383629	18
1301	525362	18
227292	911045	17
131567	322710	17
1239	1226336	17
1545702	525330	17
28038	1203258	17
1659194	564420	16
72274	322710	16
152331	511437	16
143393	525362	16
205918	875329	16
204455	272942	16
131567	398580	16
131567	290400	15
1458307	391626	15
131567	383629	15
109790	883092	15
1579316	391626	15
1350	525318	15
204455	383629	14
47878	875329	14
204455	391595	14
356	1210443	14
1254	525318	14
51663	525318	14
221822	911045	13
1584	1226336	13
443144	875329	13
36746	875329	13
286	911045	13
2109625	398580	13
204455	398580	13
251701	1094177	13
1579	525318	12
237609	564420	12
72274	875329	12
223283	875329	12
272621	1421011	12
1598	883092	12
72274	220664	12
1844006	383629	12
251698	1094177	12
136843	564420	12
1	1033837	12
1500686	220664	12
1	883092	11
1613	927703	11
1736675	911045	11
131567	391626	11
379347	911045	11
2099788	927703	11
1620421	911045	11
1587	525318	11
131567	511437	11
1	322710	11
136845	1193499	11
648	1210443	11
204455	290400	11
220668	1327988	11
97050	911045	11
1141883	875329	11
97478	525362	10
316	399739	10
1247	525318	10
2033869	272943	10
204455	911045	10
1631871	525318	10
303	875329	10
7	1210443	10
1624	1269760	10
205918	1094177	10
159346	290400	10
2109625	911045	10
1821621	911045	9
227290	1210443	9
1624	525362	9
168934	911045	9
399	1210443	9
131567	564420	9
528	911045	9
52242	1033837	9
1598	525362	9
46255	525318	9
1579316	911045	9
437505	911045	9
215743	391595	9
1788301	564420	9
1613	525318	9
187304	911045	9
1243	1033837	9
131567	1193499	8
362948	883092	8
29498	911045	8
60520	1327988	8
1604	1269760	8
