taxid	truth_taxid	count
1578	1203258	20535
215813	398580	19240
290400	290400	19213
1061	272942	18947
74318	394221	17947
2	883092	17786
1578	1327988	17545
354	322710	17532
267818	1033837	16834
1578	1408443	16499
1579	1421011	16224
1217908	391626	15958
258255	911045	15362
1578	525330	15228
42443	391595	14978
1236	208963	14938
1578	525362	14819
286	1193499	14625
1060	272943	14549
1578	1269760	14067
286	220664	13027
1578	927703	12298
1587	1226336	11626
286	564420	11088
2	1210443	11009
300	399739	10956
221822	383629	10796
136849	1094177	10534
1598	927703	9249
1578	1226336	9173
29438	875329	8757
1584	1269760	6997
316	1210443	6956
302485	383629	6898
380021	220664	6789
33959	525330	6765
1623	525362	6695
286	875329	6397
1581	525318	6247
911045	911045	6215
286	399739	6157
294	564420	5641
1581	511437	5279
1613	1408443	5190
1578	525318	4905
1063	272943	4861
135621	564420	4800
317	1094177	4501
286	1094177	4293
1578	1421011	4110
2433	391595	4034
1578	1033837	3958
1236	1193499	3708
0	272943	3677
1590	1327988	3614
0	322710	3605
0	399739	3497
1578	511437	3434
0	220664	3393
0	398580	3190
74317	394221	3145
0	1327988	3080
0	272942	3077
0	383629	3073
1236	399739	2981
0	391626	2953
0	394221	2912
0	1210443	2880
136849	875329	2779
31989	383629	2722
0	290400	2704
0	1203258	2670
1578	883092	2665
0	1094177	2628
0	391595	2606
0	208963	2465
0	1408443	2413
0	911045	2409
0	1193499	2379
0	525318	2335
0	1269760	2301
0	927703	2231
2	1421011	2219
0	525362	2104
0	883092	2044
72274	1210443	2001
0	1033837	1965
0	875329	1959
0	1421011	1955
318	875329	1954
0	525330	1950
47770	883092	1939
303	1193499	1877
0	564420	1866
0	1226336	1836
31989	391595	1822
53945	391626	1799
31989	391626	1767
287	208963	1758
2	1033837	1690
2	1226336	1483
188905	290400	1402
352	322710	1382
31989	398580	1353
391626	391626	1063
0	511437	1052
31989	290400	1050
286	208963	991
31989	272942	987
47715	1203258	947
525318	525318	903
1224	208963	902
1060	272942	833
1783272	927703	817
1236	1210443	808
31989	272943	801
