taxid	truth_taxid	count
272942	272942	25000
391626	391626	25000
394221	394221	25000
398580	398580	25000
290400	290400	24999
391595	391595	24999
1579	1421011	24998
1063	272943	24962
354	322710	24960
380021	220664	24957
1033837	1033837	24848
1613	1408443	24756
0	911045	24461
287	208963	22233
1598	927703	21955
0	883092	20672
1069534	525362	20601
33959	525330	19644
1587	1226336	19613
47715	1203258	19445
316	1210443	18823
103796	1094177	18757
1584	1269760	18458
399739	399739	18383
303	1193499	15836
0	525318	14601
221822	383629	14313
1578	1327988	13833
0	564420	13152
383629	383629	10452
1590	1327988	10284
136849	875329	8392
511437	511437	8162
300	399739	6582
264730	875329	6391
1104678	1094177	6088
1380361	1203258	5244
1578	1226336	5103
286	1193499	4871
0	525362	4270
1193499	1193499	4011
0	875329	3882
29397	1269760	3424
0	1210443	3195
927703	927703	3035
198620	564420	2968
286	564420	2150
287	208964	2075
633699	525330	2052
1581	511437	2009
251698	875329	1705
379731	1210443	1340
0	525330	1192
996285	1210443	1159
53707	875329	1112
1327988	1327988	875
1578	883092	874
1604	883092	765
1408186	525330	753
205922	564420	722
257314	525330	716
286	875329	714
767455	1269760	703
888027	1269760	682
1534110	564420	660
0	1269760	551
1033837	883092	516
1579	883092	478
1104678	875329	428
294	564420	407
909954	525330	398
29438	875329	347
208963	208963	347
930166	564420	318
104087	564420	312
264451	875329	310
1224	208963	309
1583341	875329	296
693985	875329	292
1587	883092	288
1221522	564420	266
103796	875329	260
1585	1269760	252
302485	383629	234
303	564420	230
83684	1269760	216
1196835	1210443	211
587753	564420	208
326425	1226336	206
1050107	1269760	198
1147786	564420	198
1423723	883092	193
47878	564420	193
1088720	1203258	184
1283291	564420	174
1853130	564420	169
33959	883092	163
2067572	564420	158
317	875329	154
1578	1033837	152
1207075	564420	152
86192	564420	144
83683	883092	144
249265	1269760	143
353496	1269760	128
52242	883092	126
136849	1094177	122
1217420	1269760	115
136849	564420	114
219572	564420	113
1334632	875329	111
1659194	564420	104
