taxid	truth_taxid	count
42443	391595	25000
60890	383629	25000
1590	1327988	25000
74318	394221	25000
215813	398580	25000
380021	220664	25000
267818	1033837	25000
300	399739	25000
1579	1421011	25000
290400	290400	25000
911045	911045	25000
1061	272942	25000
1063	272943	25000
1217908	391626	25000
354	322710	25000
1613	1408443	24887
1587	1226336	24716
303	1193499	24688
1598	927703	23529
33959	525330	23213
287	208963	22897
1584	1269760	22767
47715	1203258	22528
316	1210443	20858
1623	525362	20466
-2	564420	19110
47770	883092	17938
29438	875329	16800
-2	525318	14713
251701	1094177	11712
-2	1094177	11440
1581	511437	10185
-2	875329	7344
-2	883092	6546
-2	525362	4451
-2	1210443	4090
294	564420	2943
-2	1203258	2452
-2	1269760	2186
287	208964	2103
-2	525330	1590
-2	927703	1463
29438	1094177	1074
1207075	564420	682
317	1094177	485
317	875329	481
303	564420	355
930166	564420	306
-2	1226336	281
-2	1193499	273
380021	564420	264
251701	875329	235
200451	564420	185
1587	883092	170
1415630	564420	169
1579	883092	137
287	564420	133
-2	1408443	113
69328	564420	102
1596	525330	94
317	564420	93
300	564420	90
29438	564420	76
251701	564420	71
303	1094177	62
1604	883092	57
312306	564420	57
267818	883092	56
1579	525330	49
316	564420	49
-1	564420	47
287	875329	46
1604	525330	42
43306	564420	40
33959	883092	38
303	875329	35
39491	525362	32
354	564420	31
294	1094177	25
53412	564420	24
83455	564420	23
1598	525362	22
312306	1193499	21
1415630	1094177	19
628	1094177	19
47880	1094177	18
1581	525318	17
199596	564420	17
930166	1094177	16
80867	875329	15
106590	564420	15
1765	1094177	15
200451	1094177	15
1624	883092	14
53412	1094177	13
85643	564420	13
69328	1094177	13
294	1193499	13
-1	1210443	13
47880	564420	13
158899	1094177	13
80866	564420	12
312306	1094177	12
1587	1269760	12
1579	1269760	12
84595	564420	12
1207075	1094177	11
316	1094177	11
1604	564420	11
1613	525318	11
1590	525318	11
399742	564420	11
380021	1094177	9
1582	1203258	9
200451	875329	9
28151	1210443	8
244366	875329	8
1613	1269760	8
283734	1210443	8
168471	1094177	8
1596	883092	8
1311	525362	7
182337	564420	7
2109	1269760	6
52766	1203258	6
191495	875329	6
1131707	564420	6
54308	875329	5
1598	525330	5
316	1193499	5
80869	564420	5
362787	525318	5
1415630	875329	5
212663	525318	5
187878	1210443	5
43306	875329	5
381	525318	5
337	525318	5
870	525318	5
447217	564420	4
57487	883092	4
1581	875329	4
1584	883092	4
-1	1094177	4
47466	1203258	4
42879	1210443	4
33959	1269760	3
40324	564420	3
61435	525318	3
339	564420	3
1376	883092	3
640511	564420	3
1255	525318	3
303	1210443	3
152260	883092	3
171284	883092	3
500	525318	3
1515	564420	3
35617	525362	3
283811	564420	3
1579	1226336	3
43771	525318	3
47715	525362	3
1624	525330	3
640512	564420	3
47880	1210443	3
35794	525318	3
1624	525362	3
317	1210443	3
1590	883092	3
920	525318	3
862751	525318	2
43306	1094177	2
47770	525362	2
1402	525362	2
614	564420	2
470934	525318	2
1358	883092	2
357808	927703	2
51669	525318	2
482957	1094177	2
133924	525318	2
996	525362	2
1245	525318	2
294	875329	2
1358	525330	2
54291	1269760	2
412963	927703	2
1166016	1094177	2
754476	883092	2
1452	525318	2
339	927703	2
259537	1210443	1
1764	525362	1
575200	525330	1
134821	525318	1
461876	1203258	1
43948	883092	1
1625	883092	1
944547	525318	1
118000	883092	1
267818	1269760	1
573	525362	1
380021	1210443	1
1833	564420	1
894	1269760	1
29438	1210443	1
1307	883092	1
875328	525318	1
2098	883092	1
304895	564420	1
456827	525362	1
199	525362	1
60893	564420	1
1491	883092	1
-1	883092	1
1313	525362	1
1255	883092	1
624	883092	1
196162	525362	1
550	1210443	1
1390	525318	1
300	1210443	1
84030	1269760	1
300231	883092	1
1804	525362	1
138336	927703	1
213	1269760	1
28197	883092	1
69966	883092	1
1304	525318	1
223967	525318	1
1764	525318	1
54736	564420	1
47770	525330	1
1613	927703	1
33059	525318	1
