taxid	truth_taxid	count
1051973	1421011	24878
1087453	394221	24854
565034	290400	24805
234826	398580	24635
-2	911045	24501
353	272942	24454
1941233	322710	24135
1051973	1327988	24020
-2	391626	23990
1412473	1193499	23680
1922816	1033837	23611
1051973	927703	23029
-2	883092	21429
1051973	1226336	21181
1051973	1269760	21141
1412473	208963	19927
469383	525362	19662
1412473	1094177	19568
-2	391595	19546
526227	383629	16417
-2	564420	15860
985002	272943	14679
-2	525318	14546
1412473	875329	14392
203168	399739	13364
1051973	1408443	13114
1746065	220664	12164
1051973	525330	12092
1575	1408443	11705
1051973	1203258	11694
561275	1203258	10637
1770613	525330	10331
1412473	1210443	10209
340	1210443	9990
459770	272943	9414
1412473	399739	7189
559878	220664	5548
37927	383629	5350
42253	511437	5132
-2	525362	5117
1412473	220664	5016
1051973	511437	4919
526218	391595	4588
-2	875329	4228
1412473	564420	4115
-2	1210443	3530
755178	1226336	3514
1769779	399739	3297
330214	875329	3141
1941435	383629	2902
1051966	1094177	2844
1679933	208963	2435
660955	1094177	2285
1923113	1269760	2196
1051973	883092	2179
-1	220664	2130
1412473	208964	1871
-2	525330	1584
1714366	927703	1573
1052684	1203258	1538
526218	564420	1365
1051973	1033837	1173
10623	875329	881
-1	399739	746
-1	1203258	725
-2	1269760	629
1641812	1193499	568
-1	1210443	565
361100	525330	531
754004	875329	504
1519	1327988	450
38143	1327988	413
1051966	875329	412
42253	564420	359
67761	875329	350
1545835	322710	336
336486	1210443	334
1869111	208963	312
1805494	1269760	292
-2	1203258	290
956149	564420	287
1777065	1193499	285
1317107	564420	261
469383	875329	252
743971	525330	245
363745	1269760	243
1922816	883092	235
1282356	883092	231
562971	875329	227
1534	927703	217
-1	272943	209
-1	1094177	203
1679933	208964	171
1642436	272942	170
-2	272943	162
10537	564420	154
-1	272942	152
-1	1193499	151
305	564420	151
1379720	1210443	148
-1	564420	144
1642436	398580	143
1869111	322710	142
859657	564420	135
1642436	272943	132
1869111	564420	122
747	391626	119
-2	383629	119
264732	1193499	117
1642436	391595	115
1642515	927703	112
-1	1269760	111
590168	272943	109
990317	322710	108
362693	564420	106
100226	875329	103
78327	564420	102
-1	875329	99
-2	1408443	99
-2	399739	96
1647408	1226336	96
-2	220664	93
795694	564420	92
1906175	1269760	91
-1	383629	89
-1	1226336	88
-1	398580	85
321	564420	85
1286141	1193499	84
1869111	399739	81
1647408	883092	81
1611039	564420	81
698487	272943	81
75985	564420	81
760154	391626	77
1770613	883092	76
366649	564420	76
1346611	564420	76
-1	322710	75
1605972	272943	74
170573	1210443	73
1605972	875329	72
698487	272942	72
1642436	391626	71
1548	883092	71
1446701	564420	69
755178	883092	69
1642436	290400	68
754	564420	66
-2	511437	64
758831	525330	63
1647408	1033837	63
10372	208963	61
1282356	1421011	61
1333849	1269760	61
1284208	1203258	61
698487	394221	60
1642436	383629	60
1545835	399739	59
-1	1408443	58
-1	208963	57
1704044	883092	56
-1	290400	56
1869111	1210443	54
565040	875329	53
688701	399739	52
796352	883092	52
1922435	1327988	52
1051973	525362	52
1580596	1269760	51
1869111	272942	50
1888	208964	50
593131	1226336	49
1738045	322710	46
-1	394221	46
1737586	564420	45
1474867	564420	45
-1	1033837	44
1869111	272943	43
173443	564420	43
37762	564420	43
-2	1193499	43
10372	564420	40
755178	1421011	40
-1	927703	39
698487	398580	39
1869111	398580	39
375	208963	38
72539	564420	38
1219067	1269760	38
197772	1203258	38
253	525318	37
1326	883092	36
10372	399739	35
172148	564420	35
1610835	564420	34
1412473	322710	34
10372	322710	34
1150990	525362	32
1051973	525318	32
1548	525330	32
754035	322710	32
138948	1327988	32
676	391626	31
1738045	272943	31
1484158	883092	31
590168	1094177	31
1777054	564420	31
698487	391626	30
1525	525330	30
595500	875329	29
1647469	564420	29
1491	1094177	28
698487	391595	28
1738045	564420	28
1922433	391626	28
1922433	391595	28
1312904	272943	28
-2	1094177	27
253	511437	27
1869111	220664	26
1446701	875329	26
626418	564420	26
1326	525330	26
1089117	383629	26
1115696	883092	26
1869111	391595	25
698487	290400	25
1922816	1226336	25
1545835	1210443	25
985002	272942	25
755178	1033837	24
1869111	911045	24
1286143	564420	24
1938334	1269760	24
199201	564420	23
1923117	1193499	23
1922435	511437	22
1219061	564420	22
138948	1269760	22
1679933	875329	22
1922435	883092	22
1086726	875329	21
660955	564420	21
1182568	875329	21
10372	875329	21
1379695	564420	21
1738045	399739	20
398839	391626	20
1513237	564420	20
-2	398580	20
1679933	564420	20
1648481	399739	20
328671	564420	20
-2	208963	20
1738045	398580	20
-2	272942	19
-2	1033837	19
1871153	883092	19
340	564420	19
1738045	1269760	19
1611770	391595	19
268747	564420	19
-2	322710	19
757424	564420	19
1738045	394221	19
698487	911045	19
1868596	564420	19
526218	391626	19
526227	391595	18
660955	875329	18
172220	883092	18
469383	564420	18
-2	1226336	18
1155071	564420	18
1869111	875329	18
40061	564420	18
33989	564420	18
-2	927703	17
1738045	525362	17
1810952	391626	17
1940762	1203258	17
1519	525318	17
37927	391595	17
1923117	875329	17
1380361	525330	16
37131	391595	16
1869111	391626	16
1933904	564420	16
1608044	564420	16
35302	399739	16
1805953	875329	16
1746065	564420	16
1738045	272942	16
1712654	391626	16
1545835	208963	16
526227	391626	16
398839	391595	16
1385722	1269760	15
698487	383629	15
1478	1269760	15
138948	883092	15
429564	564420	15
694448	525362	15
316	875329	15
2038728	875329	15
234826	391626	15
1738045	290400	15
1869111	394221	15
1922435	1226336	15
1089120	391595	15
1923117	564420	14
1922435	1033837	14
1575	1226336	14
10564	391595	14
1089117	391595	14
10564	391626	14
1744	564420	14
40270	564420	14
10372	1210443	14
559878	564420	14
-1	883092	14
138948	1033837	14
362837	564420	13
-1	525330	13
1810952	391595	13
1738045	883092	13
430066	1193499	13
1484158	525330	13
1525	883092	13
2005462	564420	13
204270	525318	13
1087109	875329	13
138948	525362	13
722438	1269760	13
37927	391626	13
1738045	208963	13
465515	564420	12
298333	208963	12
1675603	1327988	12
1282356	1033837	12
204507	911045	12
10334	883092	12
1922816	525330	12
235266	564420	11
1712654	391595	11
1353241	391595	11
1575	564420	11
1050219	564420	11
672	272943	11
1316596	564420	11
1738045	1033837	11
1941233	564420	11
-1	391595	11
330214	564420	11
1869111	290400	11
1286141	564420	11
1903686	564420	11
654	564420	11
760154	391595	10
40059	564420	10
399183	391626	10
1710356	391595	10
1969400	391595	10
1380361	883092	10
857087	272942	10
1485012	564420	10
1179773	564420	10
1147158	875329	10
1673873	391626	10
1738045	1210443	10
1873452	883092	9
100226	564420	9
1605972	564420	9
138948	927703	9
35302	564420	9
1583100	391626	9
565034	391626	9
1738045	220664	9
1282967	564420	9
1714370	322710	9
75746	391595	9
10372	1193499	9
1414748	564420	9
722438	525362	9
103724	391595	8
676	391595	8
1418110	391595	8
593117	525318	8
135461	883092	8
