taxid	truth_taxid	count
391595	391595	25000
1579	1421011	25000
391626	391626	24999
290400	290400	24999
394221	394221	24996
398580	398580	24993
354	322710	24980
399739	399739	24971
272942	272942	24969
383629	383629	24951
1033837	1033837	24894
1063	272943	24829
0	911045	23734
1590	1327988	23343
287	208963	22040
1069534	525362	21443
220664	220664	21176
1095103	1094177	20799
47715	1203258	18165
1587	1226336	18087
1613	1408443	17503
264730	875329	16339
303	1193499	15722
316	1210443	15396
0	525318	14259
1340495	927703	13375
0	883092	12562
767455	1269760	11582
1585	1269760	10507
633699	525330	10415
33959	525330	9202
511437	511437	8201
0	564420	7341
1598	927703	7129
231023	1193499	6596
205922	564420	6333
1578	1226336	5208
0	875329	5120
1578	883092	4543
1578	1408443	4286
380021	220664	3809
568703	1203258	3497
0	525362	3380
0	1210443	3052
1316933	1203258	2818
491077	927703	2706
286	564420	2589
0	1094177	2309
96563	1210443	2211
379731	1210443	2148
1581	511437	1984
1579	883092	1896
996285	1210443	1827
0	1269760	1786
1033837	883092	1765
909954	525330	1755
351746	1193499	1654
1327988	1327988	1654
326425	1226336	1404
257314	525330	1329
208964	208964	1279
1587	883092	1272
294	564420	1263
0	927703	1099
1408186	525330	1049
1147786	564420	946
1381124	1408443	937
1221522	564420	920
334390	1408443	874
208963	208963	855
1283291	564420	846
287	208964	824
223283	1094177	774
1207075	564420	762
767453	1408443	733
930166	564420	728
0	525330	722
1334632	875329	654
136849	875329	647
160488	1193499	625
587753	564420	617
1358027	927703	581
52242	883092	567
136849	1094177	469
891391	883092	450
136843	564420	448
1114970	564420	415
353496	1269760	414
712938	1408443	414
1095103	875329	386
695562	883092	331
264730	1094177	325
321956	1269760	303
223283	875329	278
0	1203258	264
880633	883092	227
1332075	875329	226
390333	1269760	225
1088720	1203258	223
1600	883092	196
287	875329	189
1632	1408443	186
317	875329	184
767462	1226336	174
1215087	1193499	164
33959	883092	163
1028989	875329	162
199201	875329	156
205918	875329	152
633699	883092	151
1403312	883092	150
272943	272943	149
324831	525330	135
1196835	1210443	127
1674922	911045	118
86192	564420	117
121719	911045	115
286	1210443	111
321	875329	111
216595	564420	107
1578	927703	105
380021	564420	105
1578	525330	104
1403312	525330	104
1578	1033837	104
324831	883092	101
931281	1193499	95
405566	883092	94
511437	525318	87
1611770	564420	85
237609	564420	84
1037911	564420	84
1578	1269760	79
47878	564420	74
1282356	564420	73
1071400	525318	72
200450	564420	70
1324932	875329	69
0	1408443	67
1581	525318	66
1415630	564420	63
28211	911045	61
338	1094177	61
47878	875329	60
317	1094177	53
695562	525330	53
1500686	564420	53
1545702	883092	52
326425	883092	52
909954	883092	51
1500687	564420	51
303	564420	50
405566	1226336	49
60890	383629	49
1408186	883092	48
994484	564420	48
1334632	564420	46
644801	1210443	46
287	564420	45
1579	525330	45
991905	911045	45
1585	883092	44
891391	525330	43
1596	525330	42
1324931	875329	42
70775	875329	39
286	1193499	37
1331671	1193499	37
1441629	875329	37
767456	883092	36
1590	525318	36
515619	525362	35
0	1226336	35
287	1094177	34
1291742	525318	31
1324932	1094177	31
1596	883092	31
216142	564420	31
0	272942	31
257314	883092	29
1224	911045	28
767462	883092	28
1357279	1094177	28
1388763	564420	27
356	911045	27
317	564420	27
300	399739	27
1500687	1094177	25
1624	883092	25
1578	525318	25
160488	875329	25
286	875329	24
767456	1226336	23
31989	911045	23
611301	1094177	23
1598	525362	22
1420599	564420	22
69328	564420	21
384676	564420	20
1357279	875329	20
1130798	525362	20
1384061	1193499	19
0	272943	19
529	911045	18
43263	564420	18
227290	911045	18
999552	911045	17
223283	564420	17
287	1210443	17
1441629	564420	17
292414	911045	17
1037911	1193499	17
316	564420	16
643561	875329	16
136845	564420	16
234	911045	15
0	322710	15
891391	1269760	15
208596	525318	15
399739	564420	15
1649877	564420	15
330	564420	15
1160721	525362	14
186826	1269760	14
157783	564420	14
1215087	1094177	14
1332075	1094177	13
1620421	911045	13
1598	883092	13
1215088	564420	13
136846	1210443	13
1259844	1193499	13
1123366	911045	13
76869	564420	13
286	220664	12
264730	564420	12
186826	525318	12
199201	564420	12
1221522	875329	12
1597	525318	12
1324932	564420	12
316055	911045	12
321956	883092	12
348824	911045	11
1415630	875329	11
765698	911045	11
1357279	564420	11
220664	564420	11
491077	883092	11
1324931	564420	11
390235	564420	11
246200	911045	11
216591	875329	10
391595	911045	10
1301098	564420	10
53408	564420	10
1486262	911045	10
1224	564420	10
383629	911045	10
1123016	1210443	10
296	564420	10
380358	875329	10
767455	883092	10
1028989	564420	10
1194971	883092	10
988812	911045	10
1211579	564420	10
351746	564420	10
637971	525318	9
1224	875329	9
1318634	1203258	9
294	1094177	9
300	564420	9
686597	911045	9
148814	525318	9
1788301	564420	9
1124983	564420	9
1236	911045	8
394	911045	8
754035	911045	8
655183	1203258	8
1104325	525318	8
382	911045	8
358	911045	8
47885	1210443	8
176299	911045	8
655183	525318	8
192	911045	8
1423144	911045	8
395491	911045	8
1458307	911045	8
1130798	1269760	8
205918	564420	7
1632	525362	7
491916	911045	7
1331671	564420	7
135621	564420	7
321	564420	7
1643450	911045	7
1358027	883092	7
311402	911045	7
157783	1193499	7
880633	525318	7
52242	1226336	7
1309807	525362	7
1332075	564420	7
424182	911045	7
498216	1203258	7
0	398580	7
1294143	564420	7
391619	911045	7
1632	883092	7
357	911045	7
219334	525318	7
1125847	911045	7
1359	525318	6
698761	911045	6
266779	911045	6
1384061	564420	6
186826	883092	6
157782	564420	6
136849	564420	6
1291742	1269760	6
1624	525362	6
434928	1094177	6
1028800	911045	6
543	911045	6
880633	1226336	6
1245	525318	6
91061	1269760	6
666509	911045	6
1074467	883092	6
880633	1269760	6
568704	1203258	6
1074467	525318	6
47715	525318	5
286	1094177	5
1245471	564420	5
438753	911045	5
536019	911045	5
199201	1094177	5
82115	911045	5
585394	525362	5
33967	525318	5
354	564420	5
1418105	911045	5
316057	911045	5
2	911045	5
1236	564420	5
610130	1269760	5
1580	525318	5
1328314	1210443	5
41294	911045	5
200450	1094177	5
1340495	525362	5
76759	564420	5
381754	564420	5
1446494	525318	5
87882	564420	5
1783272	1269760	5
1007676	525318	5
743720	564420	5
1028801	911045	5
322710	322710	5
340	1094177	4
398580	911045	4
891391	1226336	4
33958	1269760	4
1397108	911045	4
1349767	564420	4
1208324	911045	4
28216	911045	4
1045004	525318	4
639283	911045	4
395960	911045	4
76869	1193499	4
1579316	911045	4
272630	911045	4
1351	525318	4
1736675	911045	4
1348774	911045	4
311403	911045	4
1420916	1210443	4
1095103	564420	4
184250	1269760	4
119060	564420	4
1001585	564420	4
0	394221	4
1624	1269760	4
1624	525318	4
714313	525318	4
1123519	1210443	4
1082931	911045	4
1609966	911045	4
366394	911045	4
290400	911045	4
1201292	525318	4
157924	525362	3
640511	1210443	3
1587	525318	3
460265	911045	3
662	911045	3
402881	911045	3
712961	525362	3
28095	564420	3
1033991	911045	3
550	911045	3
2743	911045	3
582899	911045	3
0	220664	3
673	911045	3
287	911045	3
1028800	1210443	3
1623299	525362	3
861208	911045	3
1598	525318	3
0	1193499	3
1349819	911045	3
1255	883092	3
983594	564420	3
286	911045	3
528244	1210443	3
1702325	911045	3
136845	1193499	3
1639	525318	3
405566	1269760	3
945021	525318	3
1567453	525362	3
1069534	525318	3
637971	525362	3
68287	911045	3
1613	1269760	3
316273	1094177	3
652103	911045	3
266835	911045	3
1255	525318	3
536227	525318	3
395965	911045	3
33966	525318	3
909954	1269760	3
375	911045	3
1234679	525318	3
1590	883092	3
324831	525318	3
767468	525318	3
33958	525318	3
1328314	564420	3
1110502	911045	3
981386	911045	3
374	911045	3
1029756	911045	3
762376	911045	3
648757	911045	3
203123	525318	3
998088	911045	3
333849	525362	3
1360	883092	3
862719	911045	3
1316933	525318	3
33959	1269760	2
0	1327988	2
610130	911045	2
693986	911045	2
1502	525362	2
114615	911045	2
186802	525362	2
0	208963	2
399739	875329	2
1130798	883092	2
1215088	911045	2
264730	911045	2
40041	525318	2
1359	883092	2
375451	911045	2
1543721	911045	2
391626	911045	2
1033837	1226336	2
288000	911045	2
395963	911045	2
35806	911045	2
931626	1269760	2
2742	911045	2
702113	911045	2
1600	525318	2
29449	911045	2
32008	564420	2
1386	525318	2
334390	1269760	2
219334	1269760	2
216596	911045	2
1223566	911045	2
1163748	911045	2
349519	525318	2
1716	911045	2
1079	911045	2
52242	525318	2
701521	525318	2
1229758	883092	2
528244	911045	2
86661	525318	2
717785	911045	2
439375	911045	2
87883	564420	2
270351	911045	2
1432049	911045	2
351348	525362	2
661410	911045	2
318586	911045	2
92945	911045	2
1340495	883092	2
323097	911045	2
321	1094177	2
1248727	911045	2
1384459	911045	2
515622	525362	2
349102	911045	2
1147786	875329	2
60520	525318	2
407	911045	2
1042876	564420	2
314315	525318	2
1311	883092	2
1045854	525318	2
0	399739	2
914127	1210443	2
701521	883092	2
1001583	525318	2
1007676	883092	2
160488	564420	2
1282356	875329	2
316058	911045	2
41297	911045	2
379	911045	2
1411700	564420	2
1283291	1210443	2
1608628	911045	2
1432050	911045	2
159087	1210443	2
1042156	525362	2
1223802	911045	2
28173	911045	2
137591	883092	2
419610	911045	2
440085	911045	2
1266925	911045	2
568703	525318	2
633699	525362	2
1294273	911045	2
1367847	911045	2
1328314	875329	2
1288970	911045	2
316056	911045	2
302485	911045	2
1301	525362	2
158822	911045	2
1291742	883092	2
1294143	911045	2
0	1033837	2
594679	927703	2
666	911045	2
565655	525318	2
231023	564420	2
582402	911045	2
395492	911045	2
47715	525362	2
1215088	1193499	2
1239	883092	2
97050	911045	2
47885	564420	2
296591	911045	2
550540	911045	2
1639	883092	1
656178	911045	1
32033	911045	1
643561	911045	1
522306	911045	1
1069533	525318	1
523791	911045	1
759620	525318	1
743720	1094177	1
407020	911045	1
1492	525318	1
856793	911045	1
1076	911045	1
366602	1210443	1
515620	525362	1
0	391626	1
323848	911045	1
398577	911045	1
714313	1269760	1
259536	911045	1
1532555	911045	1
444178	911045	1
357804	911045	1
710421	911045	1
573737	564420	1
1244	525318	1
45401	911045	1
441620	911045	1
186826	525362	1
1236179	911045	1
768066	911045	1
47878	911045	1
1301	1269760	1
1069533	525362	1
323098	911045	1
342113	911045	1
190650	911045	1
136843	1094177	1
53246	911045	1
399	911045	1
1494608	911045	1
1235461	911045	1
1340847	525362	1
