taxid	truth_taxid	count
1579	1421011	25000
391626	391626	24999
290400	290400	24999
391595	391595	24999
394221	394221	24996
398580	398580	24993
272942	272942	24969
380021	220664	24959
1063	272943	24959
354	322710	24950
1033837	1033837	24863
1613	1408443	24714
0	911045	23560
287	208963	22239
1598	927703	21667
1069534	525362	21419
33959	525330	20388
1587	1226336	19681
316	1210443	19220
47715	1203258	19162
103796	1094177	18629
399739	399739	18596
1584	1269760	17953
303	1193499	16039
0	525318	13954
1578	1327988	13046
221822	383629	12927
0	883092	12432
383629	383629	11853
1590	1327988	11045
136849	875329	8274
511437	511437	8192
264730	875329	6755
198620	564420	6474
300	399739	6376
1104678	1094177	6258
1380361	1203258	5673
0	564420	5633
1578	1226336	4993
1193499	1193499	4746
286	564420	4157
286	1193499	3827
29397	1269760	3790
0	525362	3341
927703	927703	3332
0	1210443	3029
0	875329	2855
1578	883092	2730
633699	525330	2132
287	208964	2075
1581	511437	1981
1604	883092	1848
205922	564420	1828
1534110	564420	1697
1579	883092	1668
251698	875329	1617
1587	883092	1560
1033837	883092	1552
379731	1210443	1326
53707	875329	1150
996285	1210443	1116
1327988	1327988	904
1423723	883092	789
767455	1269760	772
888027	1269760	752
286	875329	750
1408186	525330	605
257314	525330	575
104087	564420	554
930166	564420	532
693985	875329	495
0	525330	493
1104678	875329	468
0	1269760	451
1334632	875329	422
294	564420	416
52242	883092	415
208963	208963	350
1583341	875329	348
2067572	564420	348
1659194	564420	327
264451	875329	321
1221522	564420	321
103796	875329	312
83683	883092	309
1224	208963	306
1283291	564420	293
33959	883092	284
909954	525330	279
1114970	564420	279
587753	564420	276
29438	875329	276
1585	1269760	273
1147786	564420	253
83684	1269760	234
1596	525330	223
1050107	1269760	222
104087	875329	221
302485	383629	219
326425	1226336	218
1207075	564420	202
152331	525318	197
287	875329	188
695562	883092	186
1853130	564420	183
353496	1269760	178
880633	883092	178
1600	883092	152
351746	1193499	149
1596	883092	144
1578	1033837	135
249265	1269760	126
1088720	1203258	119
317	875329	118
1578	525330	111
1380360	883092	104
1196835	1210443	104
334390	1408443	103
286	1210443	102
86192	564420	100
1217420	1269760	97
199201	875329	94
712938	1408443	94
136849	1094177	89
2021862	911045	84
136843	564420	83
28211	911045	81
1081940	1193499	81
767462	1226336	80
767453	1408443	78
121719	911045	74
1578	525318	73
321	875329	71
2083054	564420	71
47878	564420	67
1624	883092	64
1338689	1193499	62
1590	525318	60
109790	883092	60
303	564420	59
1071400	525318	56
47879	564420	54
324831	883092	53
695562	525330	53
380021	564420	51
1604	525330	47
1545702	883092	47
511437	525318	46
237609	564420	45
1581	525318	43
478070	911045	42
231023	1193499	41
324831	525330	41
1224	911045	40
216595	564420	40
76758	564420	39
1408186	883092	39
1584	883092	38
1380360	525330	38
356	911045	37
129138	875329	36
321956	1269760	36
47878	875329	36
187304	911045	36
70775	875329	35
515619	525362	34
1611770	564420	34
991905	911045	34
