taxid	truth_taxid	count
575200	1224163	25000
89154	1200352	24999
161879	645127	24999
1719	1074485	24998
1727	858619	24998
1717	698965	24995
43771	504474	24991
1309	1074120	24991
1313	170187	24991
1280	273036	24989
258224	662755	24989
1148157	436717	24933
1282	525376	24905
1747	765099	23496
1718	1310161	21287
470	710094	21194
1318	1318	13111
1311	1154870	10920
38289	38289	3452
1759399	1318	799
1156431	1318	668
1156433	1318	349
43770	169292	224
108486	38289	217
169292	169292	182
43771	38289	136
146827	169292	132
161899	169292	116
28028	169292	113
161896	169292	103
38289	169292	99
38305	38289	78
152794	169292	72
161895	169292	70
156978	169292	66
712633	1318	65
258224	169292	65
1230998	38289	59
1308	1318	54
1304	1318	52
203263	38289	51
38305	169292	49
702967	169292	44
1727	38289	41
161899	38289	39
1717	169292	38
1121358	38289	36
1223514	38289	36
43770	38289	35
1303	1318	33
136857	169292	32
1231000	38289	30
28037	1318	30
136857	38289	29
161896	38289	28
156978	38289	28
203263	169292	28
108486	169292	27
187491	169292	26
1652495	169292	26
89154	38289	25
1718	169292	24
401472	38289	24
1302	1318	24
28264	169292	23
575200	38289	23
225326	38289	23
42817	38289	23
1072256	169292	22
575200	169292	22
160386	169292	22
197	38289	21
349751	38289	21
43771	169292	21
191493	38289	21
89154	169292	21
258224	38289	20
146827	38289	20
1072256	38289	19
1697	169292	19
1408191	169292	18
37927	38289	18
2017484	169292	17
1727	169292	17
1764	169292	17
1721	169292	17
100716	169292	16
1705	169292	16
1404244	38289	16
191493	169292	16
315405	1318	15
79604	169292	15
28028	38289	14
875328	169292	14
37326	38289	14
1859	38289	14
152794	38289	14
1326	1318	14
1487956	38289	14
2059875	38289	13
1630135	169292	13
68173	38289	13
337191	38289	13
499555	38289	12
656366	169292	12
1839799	1318	12
187491	38289	12
1561022	38289	12
283811	38289	11
1705	38289	11
1653478	38289	11
1545728	38289	11
1349	1318	10
1725411	38289	10
35757	169292	10
102684	1318	10
679318	38289	10
1661694	38289	10
1610493	38289	10
33050	38289	10
1652495	38289	9
33011	765099	9
1690815	38289	9
1203471	169292	9
2018025	38289	9
649831	38289	9
191610	169292	9
225326	169292	9
1231000	169292	8
1721	38289	8
1703	38289	8
2081702	38289	8
36814	38289	8
401472	169292	8
162426	38289	7
187304	169292	7
339268	38289	7
1744	38289	7
1771	38289	7
1641402	38289	7
134962	169292	7
1082851	169292	7
702967	38289	7
84595	38289	7
1328	1318	7
638619	38289	7
2136172	38289	7
43357	169292	7
1121358	169292	7
1848755	38289	7
37330	38289	7
1223514	169292	7
212767	38289	6
483547	38289	6
34073	38289	6
712270	38289	6
84292	38289	6
1836	38289	6
33910	38289	6
35757	38289	6
160386	38289	6
1823759	38289	6
1355015	38289	6
229731	38289	6
1664069	169292	6
1331682	38289	6
465541	38289	6
1708	38289	6
1305	1318	5
1814	38289	5
1960083	38289	5
1314	1318	5
446860	38289	5
53437	38289	5
857417	38289	5
1575	38289	5
37326	169292	5
37329	169292	5
1602	1318	5
1906742	38289	5
1555112	38289	5
339268	169292	4
111015	38289	4
139208	38289	4
502682	38289	4
35760	38289	4
2041	38289	4
351052	169292	4
257758	1318	4
1230998	169292	4
29311	38289	4
1716143	38289	4
161895	38289	4
1697	38289	4
1653480	38289	4
1299	38289	4
1358	1318	4
1332264	38289	4
31958	38289	4
1772	38289	4
442	169292	4
1136941	38289	4
73919	38289	4
69373	38289	4
337191	169292	4
1315974	38289	3
1797	38289	3
414771	38289	3
1618207	169292	3
1274	38289	3
212767	169292	3
29486	38289	3
2051	38289	3
196914	169292	3
67267	38289	3
146919	169292	3
1828	169292	3
310783	38289	3
1579979	38289	3
1682113	38289	3
103731	38289	3
1905730	169292	3
169292	38289	3
234612	38289	3
1717	38289	2
308354	525376	2
1033846	169292	2
1771	169292	2
1967665	169292	2
2059875	169292	2
33888	38289	2
1849032	38289	2
1315974	169292	2
1926	38289	2
531813	169292	2
1004901	169292	2
1207504	38289	2
2054	38289	2
408015	169292	2
1470176	38289	2
35755	169292	2
1971	38289	2
482462	38289	2
36809	169292	2
43357	38289	1
712122	38289	1
571915	169292	1
585423	38289	1
1335	1318	1
280236	38289	1
1825069	1154870	1
52773	169292	1
65058	169292	1
135487	38289	1
554	38289	1
1307	1154870	1
1661	169292	1
110539	38289	1
135487	645127	1
1829	169292	1
399497	169292	1
1609977	38289	1
1748	169292	1
1811193	1318	1
131568	38289	1
28049	169292	1
69218	169292	1
240495	38289	1
44930	169292	1
713030	38289	1
33910	169292	1
1682113	169292	1
181663	169292	1
1004901	38289	1
65058	38289	1
1711	38289	1
