taxid	truth_taxid	count
161879	645127	25000
575200	1224163	25000
89154	1200352	24999
1719	1074485	24999
1727	858619	24996
1717	698965	24995
43771	504474	24991
1309	1074120	24991
258224	662755	24990
1280	273036	24989
1313	170187	24988
1148157	436717	24936
1282	525376	24921
1747	765099	23496
1718	1310161	21300
470	710094	21207
1318	1318	13163
1311	1154870	10952
38289	38289	3461
1759399	1318	791
1156431	1318	623
1156433	1318	388
43770	169292	225
108486	38289	222
169292	169292	154
161899	169292	129
146827	169292	128
43771	38289	117
161896	169292	108
28028	169292	105
38289	169292	97
152794	169292	79
1727	38289	71
38305	38289	65
258224	169292	65
712633	1318	60
1230998	38289	60
161895	169292	52
1308	1318	48
1304	1318	47
203263	38289	46
156978	169292	45
1223514	38289	45
161896	38289	42
1231000	38289	41
1717	169292	39
136857	169292	38
89154	38289	35
43770	38289	35
197	38289	34
38305	169292	34
1303	1318	33
161899	38289	32
1072256	38289	27
203263	169292	26
28037	1318	26
1121358	38289	26
1082851	169292	24
1718	169292	24
28264	169292	23
1302	1318	23
575200	38289	23
43771	169292	22
575200	169292	22
1652495	169292	21
1072256	169292	21
1404244	38289	21
191493	38289	21
136857	38289	21
89154	169292	21
1705	169292	20
1408191	169292	20
1772	38289	20
160386	169292	20
1697	169292	19
349751	38289	19
43675	38289	19
258224	38289	19
702967	169292	18
2017484	169292	17
401472	38289	17
1487956	38289	17
100716	169292	16
225326	38289	16
1545728	38289	16
2059875	38289	15
156978	38289	15
2018025	38289	15
531813	169292	15
337191	38289	15
29311	38289	14
37326	38289	14
79604	169292	13
1839799	1318	13
875328	169292	12
656366	169292	12
37927	38289	12
1653480	38289	12
1811193	1318	12
1326	1318	12
225326	169292	12
1121358	169292	11
1705	38289	11
35757	169292	11
1653478	38289	11
43357	38289	10
1136941	38289	10
1349	1318	10
499555	38289	10
1661694	38289	10
1564114	38289	10
1744	38289	10
1610493	38289	10
1270	38289	10
33050	38289	10
42817	38289	10
401472	169292	10
649831	38289	10
191610	169292	10
187491	169292	9
1274	38289	9
68173	38289	9
108486	169292	9
33011	765099	9
1203471	169292	9
102684	1318	9
1682113	38289	9
1859	38289	9
36814	38289	9
442	169292	9
28028	38289	8
84595	38289	8
187491	38289	8
1721	38289	8
190721	38289	8
152794	38289	8
68249	38289	8
35757	38289	7
1641402	38289	7
134962	169292	7
1230998	169292	7
339268	38289	7
1231000	169292	7
638619	38289	7
2136172	38289	7
191493	169292	7
37330	38289	7
1223514	169292	7
139208	38289	6
483547	38289	6
34073	38289	6
1658671	38289	6
1705394	169292	6
702967	38289	6
712270	38289	6
1328	1318	6
33910	38289	6
161895	38289	6
2081702	38289	6
1355015	38289	6
1721	169292	6
84292	38289	6
1664069	169292	6
1602	1318	6
349751	169292	6
1717	38289	5
1050174	169292	5
1828	38289	5
212767	169292	5
1561022	38289	5
1703	38289	5
1684	38289	5
1697	38289	5
446860	38289	5
1609977	38289	5
1299	38289	5
146827	38289	5
857417	38289	5
31958	38289	5
229731	38289	5
37326	169292	5
465541	38289	5
412690	38289	5
1906742	38289	5
111015	38289	4
2041	38289	4
351052	169292	4
372663	169292	4
67267	38289	4
1725411	38289	4
1716143	38289	4
160386	38289	4
1358	1318	4
37928	38289	4
1331682	38289	4
1276	38289	4
337191	169292	4
339268	169292	3
2051	38289	3
502682	38289	3
1718	38289	3
414771	38289	3
1618207	169292	3
1727	169292	3
29486	38289	3
196914	169292	3
1828	169292	3
1849032	38289	3
1926	38289	3
310783	38289	3
1764	169292	3
262324	38289	3
103731	38289	3
1575	38289	3
1905730	169292	3
1711	38289	3
1967665	169292	2
191610	38289	2
585423	38289	2
1033846	169292	2
1207504	38289	2
1797	38289	2
1771	169292	2
1630135	169292	2
2059875	169292	2
1661	169292	2
1408191	38289	2
146919	169292	2
1315974	169292	2
1004901	169292	2
315405	1318	2
1470176	38289	2
408015	169292	2
482462	38289	2
1861	169292	2
181663	169292	2
217204	38289	2
65058	38289	2
1646	169292	1
1335	1318	1
35760	38289	1
280236	38289	1
1825069	1154870	1
554	38289	1
283811	38289	1
1420916	169292	1
1719	169292	1
1748	169292	1
1791	38289	1
1829	169292	1
399497	169292	1
53437	38289	1
1575	169292	1
131568	38289	1
28049	169292	1
2054	38289	1
69218	169292	1
35755	169292	1
47716	38289	1
713030	38289	1
1682113	169292	1
1004901	38289	1
