taxid	truth_taxid	count
469	710094	25000
1716	1074485	25000
1301	1074120	25000
1716	1310161	25000
1301	170187	24999
469	436717	24999
1716	645127	24999
1716	1200352	24999
1716	698965	24998
1279	273036	24998
1716	858619	24995
1716	1224163	24993
1716	504474	24992
1716	662755	24992
1301	1154870	24989
1279	525376	24984
1912216	765099	23525
1301	1318	20376
1716	38289	13136
1716	169292	8788
1883	38289	140
194	38289	52
1883	169292	46
1763	38289	28
1827	38289	20
286	38289	11
1763	169292	10
142577	169292	9
165301	38289	9
36739	169292	9
437504	169292	7
32008	38289	6
43668	169292	6
209	169292	6
674734	38289	5
1849	38289	4
662	169292	4
1654	169292	3
20	38289	3
1865	169292	3
28263	662755	2
43668	38289	2
105	169292	2
1847	38289	2
469	169292	2
1817	38289	2
472568	38289	2
28263	169292	2
1847725	169292	1
1707	38289	1
286	169292	1
1107	38289	1
48736	169292	1
1912215	662755	1
1663	38289	1
37914	38289	1
2053	38289	1
1663	169292	1
1865	38289	1
1301	169292	1
