taxid	truth_taxid	count
469	436717	19088
1301	1318	16155
1716	1074485	15273
1716	504474	14659
1717	698965	14246
1716	169292	14241
161879	645127	13055
1716	38289	12946
575200	1224163	11422
1716	662755	11018
1313	170187	10902
1309	1074120	10733
1301	1154870	10727
1301	1074120	10580
1716	1310161	10457
31957	765099	10433
469	710094	10325
1300	1154870	10075
89154	1200352	9895
1727	858619	9538
1716	858619	9354
90964	273036	9187
1716	1200352	8859
1301	170187	8849
1279	273036	8360
1279	525376	8223
1653	1310161	7134
1716	1224163	7039
1653	38289	6510
258224	662755	6456
1716	698965	5790
90964	525376	5736
85009	765099	5693
1716	645127	5164
1719	1074485	4701
1300	1318	4622
909768	710094	4122
468	710094	4058
1760	765099	3576
470	710094	3145
1783272	525376	2876
85007	169292	2635
1653	169292	2547
1280	273036	2218
43771	504474	2127
1653	504474	1774
1718	1310161	1756
1385	525376	1660
468	436717	1615
1300	170187	1425
1747	765099	1049
1760	662755	956
1760	504474	891
1760	645127	889
1653	662755	876
1760	38289	833
38289	38289	824
1760	858619	808
169292	169292	801
1760	1200352	756
1311	1154870	734
1760	1224163	727
1148157	436717	687
91061	525376	686
85007	662755	678
1760	1310161	658
1282	525376	618
85007	38289	616
1239	525376	596
85007	645127	565
1318	1318	523
85007	1200352	522
85007	504474	519
85007	1224163	517
1760	169292	494
1760	1074485	459
1760	698965	458
85007	1074485	450
858619	858619	450
1783272	1318	444
662755	662755	433
85007	698965	425
2	765099	402
85007	858619	348
1224163	1224163	345
1653	1224163	344
1	710094	326
1653	698965	318
85007	1310161	297
2	525376	294
2	436717	264
196627	1310161	259
1653	645127	255
1300	1074120	248
131567	765099	239
645127	645127	234
2	710094	221
1783272	170187	215
2	1154870	211
1239	1074120	209
1653	1074485	194
1239	273036	188
2	662755	182
2	645127	176
2	504474	165
1200352	1200352	163
1224	436717	150
504474	504474	148
186826	1074120	147
2	858619	140
186826	1154870	131
1236	436717	130
2	1318	130
2	1224163	129
1302242	765099	129
2	1200352	127
1224	710094	124
436717	436717	123
2	169292	120
1074485	1074485	117
1783272	765099	114
1653	1200352	113
1302243	765099	112
65058	1074485	108
131567	710094	108
2	1074120	107
1239	170187	107
91061	273036	107
1239	1318	105
1653	858619	102
909768	436717	101
91061	1074120	101
2	38289	99
2	170187	96
201174	662755	90
72274	436717	88
131567	525376	82
46170	273036	80
2	1310161	80
342614	1154870	79
1	273036	77
470	436717	75
525376	525376	74
131567	436717	74
340322	1310161	71
1	698965	70
91061	1154870	69
2	273036	68
2	698965	68
1783272	645127	64
2	1074485	62
765071	765099	61
698965	698965	59
1236	710094	59
1912216	765099	58
186826	1318	57
186826	170187	57
1302241	765099	57
1385	273036	57
201174	645127	56
273036	273036	55
131567	1154870	54
1783272	273036	54
201174	504474	53
267747	765099	50
1316408	1318	48
1783272	662755	46
306537	38289	45
1783272	504474	45
201174	1200352	45
201174	858619	43
765063	765099	42
909952	765099	41
91061	170187	41
765069	765099	39
1581056	504474	38
1773	170187	37
1783272	1224163	34
1203574	765099	34
765099	765099	33
1185650	765099	33
1783272	38289	33
686659	765099	32
1783272	1200352	32
72274	710094	32
131567	273036	32
1783272	169292	31
131567	662755	30
511691	1074120	30
131567	1200352	30
1727	1200352	29
131567	38289	29
1783272	858619	29
1302244	765099	29
1783272	1310161	29
888048	1318	28
1267754	504474	27
170187	170187	27
553206	169292	26
1403829	1074120	26
1581065	504474	26
36087	1154870	26
1783272	1074485	25
1783272	698965	24
525264	169292	23
1232385	1310161	22
131567	504474	22
765081	765099	22
342615	1154870	21
131567	858619	21
1737425	858619	21
1310161	1310161	21
1805326	765099	20
131567	645127	20
201174	1224163	19
28037	170187	19
201174	38289	19
1239	1154870	19
936047	765099	19
765077	765099	19
201174	169292	19
765874	1074485	19
38303	169292	18
1962118	525376	18
935298	1074485	18
1	170187	18
765088	765099	17
765090	765099	17
1409927	710094	17
698962	698965	17
516950	170187	17
698963	698965	17
681645	1074485	17
1	1310161	17
1087452	1074485	17
698973	698965	17
857145	1074120	17
1341	1074120	16
225326	169292	16
765122	765099	16
765072	765099	16
0	1074485	16
89154	858619	15
1581066	662755	15
765075	765099	15
765109	765099	14
1154859	1154870	14
131567	1224163	14
765076	765099	13
1403938	765099	13
38304	169292	13
765100	765099	13
1032851	858619	13
525262	38289	13
201174	1074485	13
471	436717	13
1159088	170187	13
176279	525376	12
698966	698965	12
765097	765099	12
131567	169292	12
0	710094	12
1154945	1154870	12
1717	1074485	11
679195	765099	11
904345	525376	11
1203634	765099	11
1075088	1310161	11
1155079	273036	11
131567	698965	11
131567	1074120	11
592014	710094	11
201174	698965	11
1203563	169292	11
1403947	1318	11
765096	765099	11
641	710094	11
1087454	1074485	11
201174	1310161	11
948561	273036	10
698964	698965	10
1652495	1310161	10
525243	710094	10
765064	765099	10
979215	525376	10
1283	273036	10
1168865	1074485	10
1159101	170187	10
553199	765099	9
196164	1224163	9
1111760	1074120	9
44252	525376	9
765108	765099	9
903919	710094	9
1	436717	9
935697	1074485	9
131567	170187	9
1398951	710094	9
1032851	1200352	9
1519190	765099	9
196164	1310161	9
1117942	1074485	9
1166015	698965	8
406560	170187	8
858619	1200352	8
1403935	525376	8
1230998	169292	8
1276648	765099	8
342613	1154870	8
979210	525376	8
38289	169292	8
1267754	169292	8
765114	765099	8
1159081	170187	8
1159102	170187	8
1155084	273036	8
1313	1154870	8
1114965	1318	8
1310606	710094	7
1206107	698965	7
1154771	1154870	7
1303	170187	7
1715157	38289	7
1310580	710094	7
765104	765099	7
1	504474	7
857126	1074120	7
43770	504474	7
1314	1154870	7
914141	170187	7
679193	765099	7
857143	1074120	7
1408191	1310161	7
1136877	765099	7
48296	710094	7
765067	765099	7
698972	698965	7
171101	170187	7
313439	1318	7
1294272	525376	7
525374	525376	6
1310685	436717	6
406559	170187	6
765087	765099	6
1156433	1318	6
1737425	1200352	6
1280	525376	6
765093	765099	6
979216	525376	6
1087451	1074485	6
1	1224163	6
760570	1318	6
575565	436717	6
113107	1318	6
131567	1074485	6
406563	170187	6
1079988	1310161	6
1203571	765099	6
903897	436717	6
574093	170187	6
99807	504474	6
509173	710094	6
99807	662755	6
553580	273036	6
765101	765099	5
91061	169292	5
46170	525376	5
1159093	170187	5
979204	525376	5
904726	273036	5
1717	645127	5
996634	1074485	5
1229492	273036	5
1739326	169292	5
108486	504474	5
985002	273036	5
1226748	765099	5
1328	170187	5
1050843	765099	5
585203	170187	5
65058	698965	5
1159092	170187	5
1719	698965	5
1	169292	5
1310835	710094	5
760772	170187	5
0	698965	5
257758	170187	5
1097670	1154870	5
1450520	698965	5
765105	765099	5
1739408	1318	5
406561	170187	5
52283	698965	5
1318615	1154870	5
1344989	525376	5
91061	1318	5
1450521	698965	5
260936	38289	5
760782	170187	5
698967	698965	5
1403947	170187	5
131567	1318	5
869309	170187	4
1883	504474	4
698970	698965	4
1239789	170187	4
1166015	662755	4
0	170187	4
229549	1074120	4
1239787	170187	4
1777881	1318	4
525264	698965	4
765095	765099	4
914137	170187	4
765091	765099	4
131567	1310161	4
1310731	710094	4
760763	170187	4
1	525376	4
765123	765099	4
1437447	1074120	4
1334	1154870	4
1401639	710094	4
1203559	169292	4
1161911	1074485	4
504474	662755	4
1915004	1074120	4
38289	504474	4
48296	436717	4
1137131	273036	4
936048	765099	4
1391912	436717	4
760862	170187	4
765115	765099	4
1258583	1074485	4
1206106	698965	4
349751	1224163	4
1404244	858619	4
1311	170187	3
1200352	858619	3
225326	1224163	3
1418279	273036	3
497978	436717	3
1654388	273036	3
553590	273036	3
1110505	858619	3
1409511	273036	3
760864	170187	3
931089	1310161	3
904323	525376	3
196164	504474	3
979219	525376	3
52283	1200352	3
1094474	710094	3
1403947	525376	3
35525	698965	3
765057	765099	3
38289	858619	3
698970	504474	3
904738	273036	3
1734925	765099	3
43770	662755	3
108486	662755	3
1134842	273036	3
679896	1074485	3
979202	525376	3
52283	38289	3
1392063	273036	3
196164	698965	3
1763	38289	3
1	662755	3
857128	1074120	3
914136	170187	3
28037	1318	3
1432097	170187	3
479117	662755	3
887929	1200352	3
992402	710094	3
1159090	170187	3
260936	1224163	3
525375	525376	3
857102	1074120	3
1962118	273036	3
1160705	765099	3
488223	170187	3
1154858	1154870	3
1	645127	3
406556	170187	3
903904	710094	3
765111	765099	3
1282	273036	3
591158	504474	3
1203561	698965	3
1530123	436717	3
0	273036	3
698969	698965	3
904731	273036	3
1268883	273036	3
1	858619	2
1310673	436717	2
406562	170187	2
1310779	710094	2
585152	273036	2
979211	525376	2
1341693	710094	2
760856	170187	2
93061	273036	2
1379	170187	2
1435047	710094	2
1435481	273036	2
1608883	525376	2
1217653	436717	2
1159087	170187	2
1310681	436717	2
35755	1074485	2
1883	662755	2
525378	525376	2
575607	273036	2
541095	1224163	2
697283	170187	2
889201	1318	2
1096996	436717	2
862512	169292	2
1310703	436717	2
871237	170187	2
537937	1200352	2
450394	273036	2
857140	1074120	2
662755	38289	2
2702	1224163	2
64838	1224163	2
1310611	436717	2
1217688	436717	2
