taxid	truth_taxid	count
1309	1074120	20972
645127	645127	20332
1224163	1224163	20305
43771	504474	20202
662755	662755	19533
1200352	1200352	19323
858619	858619	19241
1717	698965	18723
1301	1154870	17692
306537	38289	15660
1719	1074485	15162
1716	1310161	12723
909768	710094	11807
1280	273036	11665
469	436717	11126
436717	436717	10625
1	170187	10556
1	525376	10489
1282	525376	10422
1747	765099	9388
0	169292	8562
1313	170187	8488
1718	1310161	8117
1318	1318	7919
1716	1074485	6247
470	710094	5478
469	710094	5405
0	1318	5092
0	765099	4780
0	38289	4768
1301	1318	4565
1311	1154870	4524
1716	169292	4483
1734925	765099	4427
273036	273036	4033
0	645127	3914
0	858619	3844
0	273036	3834
0	1200352	3832
0	1310161	3799
0	1224163	3788
0	504474	3650
0	662755	3622
1114966	765099	3565
0	525376	3506
1279	273036	3120
0	1074485	3041
0	170187	3014
0	698965	2834
760570	1318	2653
1301	170187	2265
0	1154870	2147
1	273036	2062
0	436717	2055
0	710094	2055
1114965	1318	1983
0	1074120	1978
31957	765099	1875
1716	698965	1738
161896	169292	1733
1716	38289	1655
1716	1200352	1518
161899	169292	1473
1301	1074120	1286
1716	662755	1275
1716	858619	1231
43770	169292	1208
698965	698965	1122
28028	169292	1096
548476	169292	924
146827	169292	894
909768	436717	761
1716	504474	724
1156431	1318	698
1451189	38289	685
1716	1224163	578
1156433	1318	565
1912216	765099	527
1279	525376	397
662755	38289	393
1759399	1318	386
1	1154870	384
1716	645127	383
161895	169292	343
1074485	1074485	282
1697	169292	257
43771	38289	246
1	1318	239
1705	169292	239
1285583	169292	234
1	1074120	197
1223515	169292	194
1200352	858619	193
1121362	169292	166
136857	169292	164
1760	662755	158
196627	1310161	146
1304	1318	139
511691	1074120	139
156978	169292	136
1155071	1074120	134
171101	170187	133
1224163	169292	129
401472	169292	126
1760	38289	125
671223	765099	112
1760	169292	111
1437875	169292	108
1198676	1074120	106
1072256	169292	105
1760	698965	97
85007	169292	95
1760	858619	93
85007	662755	92
662755	169292	91
470	436717	89
85007	38289	86
1404245	38289	82
1760	1074485	82
702967	169292	82
858619	1200352	82
1760	645127	82
1224162	169292	82
1760	504474	81
306537	169292	80
558173	169292	79
504474	504474	79
48296	436717	78
1224164	169292	76
1224	710094	74
