taxid	truth_taxid	count
645127	645127	25000
1200352	1200352	25000
1224163	1224163	24999
858619	858619	24998
662755	662755	24990
436717	436717	24941
1282	525376	24940
43771	504474	24909
1313	170187	24878
1309	1074120	24464
1719	1074485	24051
0	169292	22116
1717	698965	21507
1718	1310161	21378
470	710094	21030
0	38289	18601
1280	273036	14119
1301	1154870	13879
1311	1154870	10959
273036	273036	10851
1734925	765099	10246
1114966	765099	8853
0	1318	8790
760570	1318	5498
1318	1318	4331
1747	765099	4268
909768	710094	3888
306537	38289	3642
1114965	1318	3629
1716	1310161	3614
698965	698965	3476
0	765099	1439
1074485	1074485	946
1759399	1318	802
1156431	1318	683
1301	1318	540
1716	169292	413
1156433	1318	406
43770	169292	249
1451189	38289	216
1198676	1074120	206
1716	38289	203
548476	169292	191
1155071	1074120	176
1760	38289	157
511691	1074120	149
146827	169292	148
1309807	1154870	147
161899	169292	129
43771	38289	125
170187	170187	113
161896	169292	110
28028	169292	100
196164	169292	90
85007	38289	85
1114969	765099	84
1224164	38289	77
504474	504474	76
662755	169292	67
38289	169292	65
712633	1318	62
858619	38289	61
469	436717	59
161895	169292	58
1437875	38289	56
156978	169292	56
585529	169292	55
38302	169292	54
480119	710094	52
2	38289	50
31957	765099	47
1308	1318	46
1304	1318	46
161896	38289	43
1431546	38289	42
441500	38289	42
1114967	765099	42
1224164	169292	41
1827	38289	38
1224163	169292	38
1451189	169292	37
43770	38289	36
161899	38289	36
2079535	169292	36
1223515	38289	35
558173	38289	34
1760	169292	34
441500	169292	33
306537	169292	32
156976	169292	32
1717	169292	32
1200352	38289	31
156976	38289	31
702967	169292	30
0	525376	30
2079535	38289	30
1431546	169292	28
1697	169292	28
1652495	169292	27
48296	710094	27
136857	38289	26
136857	169292	26
1302	1318	25
1303	1318	24
197	38289	24
1072256	38289	24
1279	273036	24
85007	169292	23
156978	38289	23
146827	38289	23
1408189	38289	23
644284	169292	23
1705	169292	23
187491	169292	22
2052657	38289	22
1200352	169292	22
1348662	38289	22
1763	38289	22
43771	169292	21
28028	38289	21
1718	169292	21
1487956	38289	20
1224163	38289	20
931089	169292	20
662755	38289	20
546160	38289	20
1285583	169292	20
1883	38289	19
131112	169292	19
187491	38289	18
38302	38289	18
2053	38289	18
1437874	169292	18
365659	1318	18
1404245	38289	17
1744	38289	17
2017484	169292	17
1121353	169292	17
2070	38289	17
1437874	38289	16
401472	38289	16
517418	169292	16
191610	169292	16
1654	169292	15
2080740	169292	15
79604	169292	15
337191	38289	15
256701	38289	15
1784	38289	15
875328	169292	14
2080740	38289	14
1224162	38289	14
1764	169292	14
53354	1318	13
2	169292	13
37927	38289	13
1121362	38289	13
1072256	169292	13
28037	1318	12
656366	169292	12
0	1154870	12
1839799	1318	12
1847	38289	12
1202450	38289	12
35757	169292	12
2018025	38289	12
1849032	38289	12
139021	38289	12
38289	38289	12
43675	38289	11
1653478	38289	11
585529	38289	11
176280	525376	11
1630135	169292	11
1328	1318	11
1855377	169292	11
1772	38289	11
1349	1318	10
499555	38289	10
1267754	38289	10
1725411	38289	10
43668	38289	10
37326	38289	10
679318	38289	10
1069533	1318	10
196164	38289	10
33050	38289	10
649831	38289	10
1813	38289	10
1121362	169292	10
680646	38289	10
1564114	38289	10
1326	1318	10
1610493	38289	10
1545728	38289	10
1760	504474	9
1854	38289	9
33011	765099	9
261654	38289	9
882081	38289	9
710685	38289	9
414996	169292	9
68249	38289	9
858619	169292	8
1112204	38289	8
1783272	38289	8
1268	38289	8
1798224	38289	8
1682113	38289	8
401472	169292	8
1902136	1318	8
298653	38289	8
1121353	38289	8
1274	38289	8
68173	38289	8
1705	38289	8
1449752	525376	8
1082851	169292	7
162426	38289	7
558173	169292	7
1771	38289	7
1415166	38289	7
1279	525376	7
698962	169292	7
570277	38289	7
712270	38289	7
1641402	38289	7
1912216	765099	7
589382	38289	7
134962	169292	7
1561022	38289	7
1041522	38289	7
1449976	169292	7
1408189	169292	7
2059875	38289	7
882083	38289	7
120793	38289	6
702967	38289	6
84292	38289	6
1179773	38289	6
33910	38289	6
2004	38289	6
405948	38289	6
443156	38289	6
1664069	169292	6
35757	38289	6
31989	38289	6
1658671	38289	6
1705394	169292	6
1301	170187	6
358396	38289	6
110932	38289	6
1437605	38289	6
1690815	38289	6
1246301	38289	6
1355015	38289	6
743718	38289	6
161895	38289	6
1873	38289	5
1267754	504474	5
1681	38289	5
2063	38289	5
1719	169292	5
545619	38289	5
446470	38289	5
247156	169292	5
1906742	38289	5
1224162	169292	5
1760	662755	5
1050174	169292	5
1423720	1318	5
1310161	1310161	5
1051973	38289	5
1762	38289	5
1960083	38289	5
1609977	38289	5
857417	38289	5
37326	169292	5
57493	38289	5
1717	38289	4
187272	169292	4
176279	525376	4
1716	662755	4
0	1074120	4
1234380	765099	4
1653480	38289	4
110319	38289	4
188787	38289	4
69373	38289	4
698964	698965	4
35760	38289	4
1268	169292	4
37928	38289	4
1236179	169292	4
1041522	169292	4
1716143	38289	4
1068978	38289	4
28216	38289	4
1136941	38289	4
1437875	169292	4
337191	169292	4
1054460	1318	3
1718	38289	3
212767	169292	3
698828	38289	3
110932	169292	3
2079792	169292	3
1905730	169292	3
211114	38289	3
1246995	169292	3
225937	169292	3
291594	38289	3
35755	169292	3
46170	273036	3
65058	38289	3
1716	698965	3
642780	169292	3
1618207	169292	3
1926	38289	3
1051973	169292	3
546871	38289	3
698972	698965	3
452863	38289	3
1332264	38289	3
44454	169292	3
1663	38289	2
1051074	1318	2
201174	38289	2
1967665	169292	2
548479	38289	2
1561223	38289	2
28056	38289	2
927666	1318	2
642	38289	2
629680	38289	2
1470176	38289	2
1082931	169292	2
