taxid	truth_taxid	count
1224163	1224163	25000
1200352	1200352	25000
645127	645127	25000
858619	858619	24998
662755	662755	24990
436717	436717	24941
43771	504474	24910
1313	170187	24879
1282	525376	24863
1719	1074485	24051
1309	1074120	23580
0	169292	22313
1717	698965	21507
1718	1310161	21382
470	710094	21214
0	38289	18732
1280	273036	14105
1301	1154870	13880
1311	1154870	10958
273036	273036	10880
1734925	765099	10286
1114966	765099	8853
0	1318	8790
760570	1318	5496
1318	1318	4331
1747	765099	4228
909768	710094	3731
306537	38289	3699
1114965	1318	3629
1716	1310161	3611
698965	698965	3476
0	765099	1439
1074485	1074485	946
1759399	1318	802
1156431	1318	683
1301	1318	540
511691	1074120	491
1155071	1074120	477
1198676	1074120	443
1156433	1318	406
1716	169292	402
43770	169292	256
1451189	38289	222
548476	169292	191
1716	38289	166
146827	169292	148
1309807	1154870	147
1760	38289	144
43771	38289	137
161899	169292	132
170187	170187	113
28028	169292	111
161896	169292	110
85007	38289	94
196164	169292	94
1114969	765099	84
504474	504474	76
1224164	38289	76
161895	169292	72
1437875	38289	69
662755	169292	68
0	525376	65
38289	169292	65
712633	1318	62
156978	169292	61
858619	38289	61
469	436717	59
1827	38289	52
480119	710094	52
2	38289	51
1223515	38289	47
31957	765099	47
1308	1318	46
1304	1318	46
1408189	38289	44
1114967	765099	42
1224164	169292	41
1224163	169292	41
1431546	38289	40
161896	38289	38
1451189	169292	38
1760	169292	38
43770	38289	36
558173	38289	36
161899	38289	36
1200352	38289	36
136857	169292	35
306537	169292	33
1717	169292	32
702967	169292	30
1697	169292	30
1763	38289	30
176280	525376	28
1431546	169292	28
1652495	169292	27
1303	1318	26
1072256	38289	26
136857	38289	26
187491	169292	25
1302	1318	25
197	38289	24
1224163	38289	24
1348662	38289	24
146827	38289	23
644284	169292	23
1705	169292	23
43771	169292	22
1200352	169292	22
28028	38289	21
1437874	38289	21
1718	169292	21
401472	38289	20
1883	38289	20
1487956	38289	20
931089	169292	20
1072256	169292	20
1285583	169292	20
156978	38289	19
662755	38289	19
1121362	38289	19
1449752	525376	19
1437874	169292	18
187491	38289	18
196164	38289	18
365659	1318	18
1744	38289	17
176279	525376	17
2017484	169292	17
1121353	169292	17
191610	169292	17
1404245	38289	16
517418	169292	16
1654	169292	15
79604	169292	15
337191	38289	15
1933880	38289	15
326424	38289	15
1764	169292	15
875328	169292	14
2053	38289	14
53354	1318	13
2	169292	13
37927	38289	13
656366	169292	12
0	1154870	12
1839799	1318	12
1224162	38289	12
1847	38289	12
1202450	38289	12
1705	38289	12
2018025	38289	12
1849032	38289	12
28037	1318	12
43675	38289	11
1653478	38289	11
1630135	169292	11
1328	1318	11
35757	169292	11
85007	169292	11
1772	38289	11
38289	38289	11
1349	1318	10
499555	38289	10
1267754	38289	10
1725411	38289	10
679318	38289	10
1069533	1318	10
446470	38289	10
33050	38289	10
649831	38289	10
43668	38289	10
1121362	169292	10
1661694	38289	10
680646	38289	10
1564114	38289	10
1326	1318	10
1610493	38289	10
1545728	38289	10
710685	38289	10
1760	504474	9
33011	765099	9
37326	38289	9
1279	273036	9
414996	169292	9
68249	38289	9
1112204	38289	8
858619	169292	8
1449976	38289	8
1268	38289	8
1279	525376	8
0	1074120	8
1682113	38289	8
401472	169292	8
1902136	1318	8
298653	38289	8
1121353	38289	8
1274	38289	8
68173	38289	8
2059875	38289	8
1082851	169292	7
162426	38289	7
558173	169292	7
1771	38289	7
1415166	38289	7
1561223	38289	7
2136172	38289	7
698962	169292	7
712270	38289	7
1223515	169292	7
28211	169292	7
1641402	38289	7
1912216	765099	7
134962	169292	7
1561022	38289	7
1041522	38289	7
1449976	169292	7
1408189	169292	7
1437875	169292	7
120793	38289	6
1783272	38289	6
702967	38289	6
84292	38289	6
405948	38289	6
1179773	38289	6
33910	38289	6
2004	38289	6
1664069	169292	6
35757	38289	6
483547	38289	6
31989	38289	6
1658671	38289	6
1705394	169292	6
1301	170187	6
358396	38289	6
1813	38289	6
1437605	38289	6
1690815	38289	6
1246301	38289	6
1355015	38289	6
743718	38289	6
161895	38289	6
2063	38289	5
1267754	504474	5
1681	38289	5
446860	38289	5
1653480	38289	5
1719	169292	5
247156	169292	5
1331682	38289	5
1906742	38289	5
1760	662755	5
1050174	169292	5
1423720	1318	5
1310161	1310161	5
1051973	38289	5
1960083	38289	5
1697	38289	5
1609977	38289	5
857417	38289	5
37326	169292	5
1663	38289	4
1236179	169292	4
187272	169292	4
1716	662755	4
69373	38289	4
1234380	765099	4
188787	38289	4
1004901	38289	4
28216	38289	4
698964	698965	4
35760	38289	4
1268	169292	4
2041	38289	4
37928	38289	4
77643	38289	4
1041522	169292	4
1716143	38289	4
1068978	38289	4
1136941	38289	4
337191	169292	4
1717	38289	3
1054460	1318	3
1718	38289	3
212767	169292	3
29486	38289	3
1905730	169292	3
1246995	169292	3
262324	38289	3
225937	169292	3
35755	169292	3
46170	273036	3
1716	698965	3
1618207	169292	3
1926	38289	3
1051973	169292	3
28221	38289	3
698972	698965	3
1285583	38289	3
452863	38289	3
1332264	38289	3
44454	169292	3
1051074	1318	2
1967665	169292	2
548479	38289	2
1661	169292	2
28056	38289	2
642	38289	2
340322	1310161	2
1300344	169292	2
1470176	38289	2
408015	169292	2
1575	38289	2
1082931	169292	2
644966	38289	2
2059875	169292	2
191610	38289	2
1760	858619	2
1224	169292	2
1771	169292	2
1703	38289	2
927666	1318	2
1315974	169292	2
698962	698965	2
543	169292	2
698968	698965	2
31958	38289	2
2070	38289	2
546414	38289	2
482462	38289	2
676	38289	1
2	273036	1
502682	38289	1
1335	1318	1
1437447	1074120	1
698963	698965	1
212767	38289	1
712122	38289	1
414771	38289	1
85007	662755	1
1825069	1154870	1
2062	38289	1
201174	38289	1
488221	170187	1
1161911	1074485	1
585423	38289	1
1307	1154870	1
698970	698965	1
1096997	710094	1
570	38289	1
1427374	1154870	1
288705	169292	1
985006	273036	1
869269	170187	1
1684	38289	1
1748	169292	1
1678	169292	1
399497	169292	1
548476	38289	1
526226	38289	1
267747	765099	1
1573	38289	1
85021	169292	1
405416	710094	1
713030	38289	1
1848755	38289	1
1353243	1318	1
36809	169292	1
797304	169292	1
571915	169292	1
2081702	38289	1
316284	38289	1
1004901	169292	1
1716	1074485	1
2034	38289	1
1400867	710094	1
67267	38289	1
869816	273036	1
52773	169292	1
698973	698965	1
1763	169292	1
1087454	1074485	1
351607	169292	1
478801	38289	1
561230	38289	1
47716	38289	1
65058	38289	1
234612	38289	1
