taxid	truth_taxid	count
1224163	1224163	24994
645127	645127	24991
1200352	1200352	24928
858619	858619	24924
662755	662755	24896
1718	1310161	24842
436717	436717	24703
1719	1074485	24305
470	710094	23956
1717	698965	22800
1313	170187	20415
1280	273036	18951
43771	504474	17824
1747	765099	17249
1309	1074120	13897
1311	1154870	13381
1309806	1154870	10002
1282	525376	7335
504474	504474	7085
760570	1318	6631
273036	273036	5787
176279	525376	5188
176280	525376	4770
1198676	1074120	4322
1114965	1318	3984
210007	1074120	3674
170187	170187	3349
1114966	765099	3270
1734925	765099	2976
698965	698965	2152
306537	38289	2078
511691	1074120	1613
1155071	1074120	1471
1309807	1154870	1200
1301	170187	965
1318	1318	860
1074485	1074485	587
1156431	1318	508
1156433	1318	398
480119	710094	321
469	436717	297
548476	169292	177
1279	273036	169
1318615	1154870	163
1301	1318	130
662755	169292	119
1716	1310161	115
1716	1074485	108
1716	662755	85
1716	169292	85
1121362	38289	81
0	273036	80
909768	710094	69
1716	1200352	68
1716	858619	60
43771	38289	58
1716	504474	58
1114969	765099	51
504474	38289	48
858619	38289	48
1121362	169292	46
574093	170187	44
1224163	38289	43
697283	170187	43
189423	170187	42
488221	170187	40
1051074	1318	39
306537	169292	39
698962	169292	38
196164	169292	38
1310161	1310161	34
1200352	38289	34
1313	1318	28
43771	169292	28
1267754	504474	27
869269	170187	27
1224163	169292	26
504474	169292	26
1267754	169292	25
1267754	38289	23
509173	710094	23
1308	1318	22
452863	38289	21
322159	1318	21
644284	169292	21
662755	38289	21
1716	698965	20
1717	169292	19
680646	38289	19
101510	38289	16
869304	170187	16
1194526	525376	16
1718	169292	16
927666	1318	15
1303024	169292	15
1760	858619	14
1133849	38289	14
1760	662755	13
1156913	38289	12
1279	525376	12
1716	38289	12
85007	38289	12
861360	169292	12
1760	698965	11
1205910	38289	11
487214	170187	11
632772	38289	11
512566	170187	11
1276282	525376	11
1048332	1318	11
710421	38289	10
1112204	169292	10
1138382	38289	10
1760	38289	10
1304	1318	10
858619	169292	9
1717	38289	9
365659	1318	9
869216	170187	9
471856	169292	9
1348662	38289	9
875328	38289	9
1232381	38289	8
1121353	38289	8
263358	38289	8
471852	38289	8
164757	38289	8
862971	1318	7
196627	38289	7
1232724	38289	7
28056	38289	7
1118959	273036	7
1348662	169292	7
698962	698965	7
290340	169292	7
488222	170187	6
1254439	38289	6
1097677	38289	6
516950	170187	6
1760	765099	6
1883	38289	6
1246301	38289	6
698973	698965	6
405948	38289	6
196627	1310161	6
743718	38289	6
516950	1318	6
33892	38289	6
1716	645127	5
985006	525376	5
1873	38289	5
1179773	38289	5
46170	525376	5
1133849	169292	5
1074252	525376	5
33910	38289	5
1147128	38289	5
247156	169292	5
749414	38289	5
337191	169292	5
644966	38289	5
561276	170187	4
1003195	169292	4
1306414	38289	4
981540	1154870	4
1203670	1154870	4
759350	169292	4
710696	169292	4
548476	38289	4
1239	170187	4
1359	1318	3
1003195	38289	3
1246995	169292	3
225937	169292	3
698963	698965	3
1760	1310161	3
1718	38289	3
342451	525376	3
77643	38289	3
512565	38289	3
340322	169292	3
299768	1318	3
456327	38289	3
762948	169292	3
1764	169292	3
446466	38289	3
337191	38289	3
1130804	170187	3
471852	169292	3
713604	38289	3
46170	273036	3
990316	169292	2
391037	38289	2
1114967	765099	2
1198627	38289	2
985002	525376	2
1136179	38289	2
446465	38289	2
869309	170187	2
443906	38289	2
120793	38289	2
640132	38289	2
930171	38289	2
869303	170187	2
1246995	38289	2
1006543	273036	2
543	169292	2
526225	38289	2
446470	38289	2
680646	169292	2
205921	1154870	2
488223	170187	1
1435356	169292	1
1313172	38289	1
662755	504474	1
218494	1318	1
479432	38289	1
698970	698965	1
28035	525376	1
985002	273036	1
306537	504474	1
591365	1318	1
247156	38289	1
909952	765099	1
28025	169292	1
2	504474	1
1234380	765099	1
557599	38289	1
698967	38289	1
467705	1318	1
1719	169292	1
1310114	38289	1
279808	525376	1
267747	765099	1
670487	38289	1
188787	38289	1
196164	38289	1
488221	1318	1
362242	38289	1
649831	38289	1
298654	38289	1
890402	38289	1
