taxid	truth_taxid	count
1224163	1224163	24989
645127	645127	24987
1200352	1200352	24928
858619	858619	24910
662755	662755	24856
43771	504474	24854
1719	1074485	24246
436717	436717	23933
1717	698965	23074
1282	525376	23040
1309	1074120	19787
470	710094	18564
1311	1154870	17342
1747	765099	17257
1718	1310161	14385
0	170187	13831
1280	273036	11422
1313	170187	10795
1716	1310161	10607
0	273036	8761
1301	1154870	7222
760570	1318	6594
909768	710094	6433
273036	273036	4744
1114965	1318	3937
1114966	765099	3216
1198676	1074120	3105
1734925	765099	2892
306537	38289	2054
698965	698965	1836
0	525376	1770
511691	1074120	1232
469	436717	1067
1318	1318	839
1074485	1074485	628
1155071	1074120	512
1759399	1318	498
1156431	1318	456
1309807	1154870	413
210007	1074120	323
1156433	1318	308
43770	169292	193
1301	1318	159
1716	169292	150
31957	765099	132
1716	1074485	126
1301	170187	123
161896	169292	122
1716	662755	120
548476	169292	117
43771	38289	104
1451189	38289	94
662755	169292	89
28028	169292	75
1716	858619	69
1716	1200352	68
1279	273036	67
1716	698965	66
1308	1318	64
1716	38289	59
38289	169292	58
146827	169292	55
712633	1318	52
161899	169292	52
1121362	38289	51
1114969	765099	50
1716	504474	50
1223515	38289	48
156978	169292	45
697283	170187	43
702967	169292	41
43770	38289	40
890041	170187	40
504474	504474	39
1224164	38289	39
1285583	169292	39
698962	169292	38
488221	170187	38
189423	170187	38
43771	169292	37
1224164	169292	37
161896	38289	35
858619	38289	35
161895	169292	34
1760	504474	33
1313	1318	33
197	38289	28
504474	38289	28
196164	169292	28
1121362	169292	27
869269	170187	25
1072256	169292	25
306537	169292	25
1437447	1074120	22
1267754	504474	22
644284	169292	21
452863	38289	20
1200352	38289	20
1760	858619	19
1839799	1318	19
1437875	38289	19
680646	38289	19
136857	38289	18
1051074	1318	17
662755	38289	17
1224163	169292	16
869304	170187	16
1408189	38289	16
1304	1318	16
170187	170187	15
1718	38289	15
1437874	38289	15
37326	38289	15
927666	1318	15
1760	662755	14
1303	1318	14
156978	38289	14
1314	1318	14
1072256	38289	14
35757	38289	13
1827	38289	13
2017484	169292	12
1300342	38289	12
1223515	169292	12
931089	169292	12
1760	38289	12
1760	698965	11
1205910	38289	11
176280	525376	11
1437874	169292	11
101510	38289	11
1431546	169292	10
1630135	169292	10
401472	169292	10
1267754	38289	10
1404245	38289	10
1725411	38289	10
308465	525376	10
136857	169292	10
1744	38289	10
2017484	38289	10
1564114	38289	10
2081702	169292	10
1224162	38289	10
161899	38289	10
1224163	38289	10
1415166	38289	10
858619	169292	9
1408178	1318	9
1716	645127	9
1224162	169292	9
869216	170187	9
1133849	38289	9
54571	38289	9
33011	765099	9
1004901	38289	9
38289	38289	9
1879023	38289	8
553510	38289	8
543736	38289	8
698828	38289	8
1121353	38289	8
499555	38289	8
263358	38289	8
1096856	38289	8
85007	38289	8
1431546	38289	8
1348662	38289	8
1156913	38289	7
1328	1318	7
1909395	38289	7
1717	169292	7
164757	38289	7
1041522	38289	7
44454	38289	7
290340	169292	7
1847	38289	7
698962	698965	7
2020486	38289	6
488222	170187	6
516950	170187	6
1658671	38289	6
120793	38289	6
1705	38289	6
1246301	38289	6
698973	698965	6
512566	170187	6
1545728	38289	6
743718	38289	6
465541	38289	6
84292	38289	6
1719	169292	6
1791	169292	6
1310161	1310161	5
247156	169292	5
77643	38289	5
1179773	38289	5
1678	38289	5
1235441	169292	5
1653480	38289	5
1147128	38289	5
1068978	38289	5
68249	38289	5
340345	38289	5
1716	1224163	5
37326	169292	5
644966	38289	5
558173	38289	4
1232384	38289	4
710421	38289	4
1033922	169292	4
981540	1154870	4
401472	38289	4
1561223	38289	4
85007	662755	4
446860	38289	4
43767	38289	4
187491	38289	4
1130804	170187	4
1449752	525376	4
191610	169292	4
337191	169292	4
1570939	38289	4
36809	38289	4
36809	169292	4
187491	169292	3
1359	1318	3
1003195	38289	3
225937	169292	3
1760	1310161	3
1618207	169292	3
1771	169292	3
417290	38289	3
246196	38289	3
512565	38289	3
1451189	169292	3
1041522	169292	3
157783	38289	3
2094021	169292	3
1246995	169292	3
1661694	38289	3
480119	710094	3
1332264	38289	3
1302	1318	3
1972846	38289	3
713604	38289	3
35757	169292	2
1920667	38289	2
1902136	1318	2
1006543	273036	2
1705	169292	2
1770	38289	2
2055	38289	2
722731	38289	2
1703	38289	2
1851395	169292	2
1114967	765099	2
487214	170187	2
47763	38289	2
1697	169292	2
191292	38289	2
28056	38289	2
869303	170187	2
338	38289	2
1817	38289	2
1678	169292	2
1938605	38289	2
1274	38289	2
1573	38289	2
526225	38289	2
1771959	38289	2
2045452	38289	2
222805	38289	2
35755	169292	2
1381115	273036	2
642	169292	2
471852	169292	2
488223	170187	1
188787	38289	1
1770	169292	1
408015	169292	1
28025	169292	1
652	38289	1
2081702	38289	1
1652495	38289	1
1343064	273036	1
1967665	169292	1
1830	38289	1
218494	1318	1
1077464	1318	1
414771	38289	1
2062	38289	1
1806905	38289	1
1276648	765099	1
1760	169292	1
543	169292	1
29486	38289	1
2	504474	1
1719	38289	1
1718	169292	1
985002	273036	1
1663	169292	1
1661	169292	1
67267	38289	1
1279	525376	1
111015	169292	1
247156	38289	1
1449976	38289	1
28028	38289	1
1234380	765099	1
1905847	38289	1
1283	525376	1
2017485	38289	1
37332	38289	1
698967	38289	1
83262	38289	1
37919	169292	1
362257	38289	1
1883	169292	1
1772	38289	1
382	169292	1
488221	1318	1
712270	38289	1
1437875	169292	1
362242	38289	1
1028801	169292	1
1353243	1318	1
