taxid	truth_taxid	count
645127	645127	25000
858619	858619	24997
662755	662755	24997
1224163	1224163	24995
436717	436717	24993
1200352	1200352	24975
1718	1310161	24931
1311	1154870	24747
1719	1074485	23882
470	710094	23586
1309	1074120	22950
1282	525376	20758
1313	170187	20319
1717	698965	20043
0	169292	17628
43771	504474	15669
306537	38289	13578
1280	273036	13010
273036	273036	11974
1734925	765099	10308
504474	504474	9320
0	38289	9250
1114966	765099	8847
760570	1318	6892
1318	1318	6101
698965	698965	4944
170187	170187	4676
0	1318	4332
1747	765099	4225
1114965	1318	4087
0	525376	2138
0	765099	1461
146827	169292	1403
1074485	1074485	1115
548476	169292	1055
1301	1318	1016
1716	169292	980
161896	169292	968
1156431	1318	955
161899	169292	866
480119	710094	758
1759399	1318	744
511691	1074120	731
1155071	1074120	691
1156433	1318	683
176279	525376	641
0	710094	633
1198676	1074120	628
176280	525376	491
1716	38289	465
1449752	525376	408
1451189	38289	360
1285583	169292	261
1309807	1154870	173
1121362	169292	171
43771	38289	138
1279	525376	137
662755	169292	130
197	38289	124
1223515	169292	124
136857	169292	124
1224162	169292	122
1224164	169292	106
156978	169292	101
1280	525376	97
1114969	765099	88
1224164	38289	87
401472	169292	85
1121362	38289	82
1760	38289	74
858619	38289	72
28035	525376	70
1276282	525376	69
1310161	1310161	68
1224163	169292	66
306537	169292	64
43771	169292	56
196164	169292	56
558173	169292	52
1223515	38289	50
2	38289	50
712633	1318	49
1308	1318	49
931089	169292	49
1072256	169292	48
1231389	1154870	47
1200352	38289	45
85007	38289	44
191610	38289	43
1760	169292	43
196164	38289	43
1114967	765099	42
85007	169292	36
1404245	38289	33
504474	169292	33
504474	38289	32
1267754	38289	31
1267754	169292	31
1224162	38289	30
46170	525376	29
662755	38289	28
1234380	765099	27
72758	525376	25
0	1200352	25
1718	169292	25
869816	525376	25
1194526	525376	24
1408189	169292	23
1487956	38289	22
1072256	38289	21
0	1154870	21
509173	710094	21
191610	169292	20
1288	525376	19
28037	1318	19
161896	38289	18
146827	38289	18
401472	38289	18
1487956	169292	18
558173	38289	17
985002	525376	17
347253	1318	15
1121353	169292	15
1050174	169292	14
1224163	38289	14
279808	525376	14
858619	169292	13
1304	1318	13
1451189	169292	12
1415166	38289	11
698962	169292	11
1435356	169292	11
365659	1318	10
0	504474	10
156978	38289	10
1763	169292	10
1717	169292	9
446462	169292	9
1301	1154870	9
861360	169292	8
1200352	169292	8
467705	1318	8
161899	38289	8
0	273036	8
544580	169292	7
1771	38289	7
1381115	525376	7
0	436717	7
675635	38289	7
136857	38289	7
571915	169292	6
340322	169292	6
1279	273036	6
1348662	169292	6
1408189	38289	6
101510	38289	5
0	1224163	5
446471	169292	5
1302863	1318	5
65058	169292	5
299768	1318	5
1415166	169292	5
1179773	38289	5
37329	38289	5
1068978	38289	5
316	169292	4
1343064	525376	4
29385	525376	4
1883	38289	4
1313	1318	4
479433	38289	4
1561022	38289	4
1003195	38289	4
526226	169292	4
0	698965	4
71999	38289	4
931089	38289	4
743718	38289	4
337191	169292	4
446462	38289	4
86661	525376	4
1404245	169292	4
1136941	38289	3
1127134	38289	3
33910	169292	3
283734	525376	3
1718	38289	3
446468	38289	3
201174	38289	3
1006579	169292	3
1133849	169292	3
1295	525376	3
191292	38289	3
0	858619	3
446860	169292	3
278137	169292	3
85027	169292	3
0	662755	3
1284	525376	3
388919	1318	3
1136941	169292	3
632772	169292	3
930171	38289	3
256701	169292	3
2070	38289	3
985762	525376	3
164757	169292	3
0	170187	3
656024	38289	2
1883	169292	2
446470	169292	2
698964	698965	2
571915	38289	2
2	169292	2
1449976	38289	2
446471	38289	2
269800	169292	2
446465	38289	2
247156	169292	2
1301	170187	2
101510	169292	2
77643	38289	2
1435356	38289	2
85025	38289	2
981540	1154870	2
685727	38289	2
396513	525376	2
