taxid	truth_taxid	count
1309	1074120	24962
0	273036	23162
0	565659	23009
0	318167	22870
316	1210443	22629
0	335284	22426
1396	526973	21815
37734	565652	19781
0	208964	18437
1392	260799	16465
0	319224	15983
0	1104326	15005
367190	187410	14740
0	220664	14655
0	1400139	14544
0	640513	13297
0	875329	13018
2005046	1235458	12539
394751	1938595	11972
47877	875329	11337
0	1938595	10601
0	1235458	9991
0	187410	9152
0	585396	8310
1392	198094	8256
1500686	220664	5412
2060307	565652	4569
2029986	319224	3906
62322	319224	3633
1813821	511145	3631
244366	1400139	3290
0	511145	3053
1892404	526973	2771
0	526973	2466
2077137	1104326	2421
0	1210443	2216
10678	585396	2213
1815968	585396	2166
2077137	640513	2141
2057791	565652	2118
1812934	640513	1989
1812934	1104326	1984
69218	640513	1800
1813821	585396	1786
0	565652	1648
294	220664	1623
2026240	1400139	1547
61646	640513	1510
2059264	319224	1483
247523	1938595	1375
1134687	1400139	1366
69218	1104326	1256
1699624	335284	1182
575	1400139	1037
61646	1104326	876
1294143	208964	867
1392	526973	839
216778	1235458	835
83655	640513	817
1499973	511145	797
32630	585396	772
1720344	335284	759
1396	260799	735
300	208964	683
1611770	220664	677
70863	319224	675
244366	585396	656
53346	565659	624
128780	1235458	622
316	208964	583
294	208964	559
244366	1104326	535
244366	640513	519
1583341	875329	488
60480	319224	488
62322	318167	474
1134687	640513	467
83655	1104326	450
1396	198094	447
1499973	585396	443
176102	1938595	441
53412	208964	430
1761891	1938595	421
83617	1235458	415
104087	220664	400
1660365	585396	396
196242	585396	393
563769	585396	393
28152	187410	389
936054	585396	374
545	640513	373
61647	1400139	349
61646	1400139	341
1134687	1104326	324
1812934	585396	304
1914861	640513	304
263819	187410	292
1158459	640513	291
1611770	208964	288
32630	511145	288
545	1104326	274
1149133	208964	273
198620	220664	270
166935	1938595	265
1981164	585396	258
545	1400139	257
1812934	1400139	255
575	640513	254
1920128	640513	253
61647	1104326	252
2077137	1400139	242
1914861	1400139	239
70863	318167	237
1702170	640513	236
1158459	1400139	233
69218	1400139	233
2026240	640513	230
2059264	318167	228
1914861	1104326	223
61648	640513	221
1649877	208964	219
575	1104326	218
2029986	318167	217
83655	1400139	217
2067572	220664	214
312306	208964	213
1158459	1104326	209
60480	318167	209
312306	220664	208
2026240	1104326	207
1812934	511145	200
29384	273036	193
157782	208964	188
1500686	208964	187
1813821	640513	186
61648	1104326	179
61648	1400139	178
1920128	1104326	178
1702170	1400139	177
413497	1400139	176
54736	1400139	168
1920128	1400139	167
330	208964	166
1351	565659	166
61647	640513	165
70255	273036	162
413502	1400139	162
1813821	1400139	158
413501	1400139	158
1283291	220664	156
404011	318167	156
300	220664	155
1853130	220664	155
47880	208964	155
564886	585396	154
76758	220664	152
413497	640513	152
61652	1400139	151
1649877	220664	149
320831	273036	148
198620	208964	147
54736	640513	147
2083055	220664	146
244566	220664	146
545	585396	143
413501	640513	142
1930532	208964	139
413502	1104326	138
1499973	640513	137
316	220664	134
1327989	1400139	133
413497	1104326	132
2033438	1400139	132
200450	220664	131
413502	640513	131
1283291	208964	130
413501	1104326	129
200451	220664	128
283734	273036	126
9606	273036	123
219572	220664	122
104087	208964	120
1813821	1104326	119
2060307	565659	119
1702170	1104326	119
37734	565659	117
53412	220664	116
10871	208964	116
614	1400139	114
1499973	1400139	113
47879	220664	113
32630	273036	113
1163710	640513	112
237609	208964	110
1284	273036	109
157782	220664	106
1163710	1400139	106
234831	1938595	104
69328	208964	103
614	640513	98
349106	335284	98
