taxid	truth_taxid	count
287	208964	47643
316	1210443	29273
548	1400139	28270
380021	220664	28149
1309	1074120	26119
1104326	1104326	25000
640513	640513	25000
335284	335284	25000
330922	335284	25000
318167	318167	25000
319224	319224	24998
220664	220664	24979
632	187410	24047
1344042	565659	20924
40324	1235458	20858
565655	565652	19639
1396	526973	18643
208964	208964	18480
562	585396	17957
1392	260799	16580
273036	273036	15046
1280	273036	12712
264730	875329	11563
1117313	1938595	10471
1198676	1074120	10316
210007	1074120	10188
1437447	1074120	10173
0	875329	9643
379731	1210443	8927
0	1938595	8885
996285	1210443	8787
562	511145	8472
1392	198094	8428
399804	319224	6211
585396	585396	4677
317	875329	4640
2060307	565652	4424
361100	526973	4422
1352	565659	4176
511691	1074120	4023
0	1235458	3933
1163399	1235458	3817
693985	875329	3736
405534	526973	3693
334406	526973	3636
1155071	1074120	3588
264451	875329	3554
2005046	1235458	3495
53707	875329	3283
1124983	220664	3062
129138	875329	2910
868597	1235458	2848
1353	565652	2577
522373	1235458	2555
1428	526973	2516
1720343	1938595	2481
283699	1938595	2296
0	526973	2075
0	1210443	2057
1892404	526973	2054
2057791	565652	1980
1420599	220664	1750
1396	260799	1523
222523	526973	1384
103796	875329	1245
1217984	526973	1169
288681	526973	1138
391008	1235458	1074
2053832	526973	1073
930170	526973	1053
247523	1938595	977
47877	875329	956
187410	187410	918
0	565652	834
405535	526973	811
985006	273036	811
685039	273036	798
1396	198094	781
869816	273036	771
948563	273036	694
935296	1400139	691
1392	526973	687
1827305	1235458	586
1345702	187410	568
526977	526973	548
1196835	1210443	537
0	565659	533
637380	526973	507
1381115	273036	467
1392476	273036	464
28109	1938595	391
269801	526973	349
1761891	1938595	293
1312369	1938595	275
1314869	1938595	266
321	875329	247
288	1938595	243
1095103	875329	228
1123016	1210443	228
1104679	875329	228
205918	875329	225
46170	273036	221
267375	1938595	219
1583341	875329	201
412694	526973	198
281309	526973	191
1411700	208964	187
1123015	208964	180
0	273036	179
644801	1210443	170
1405	526973	159
1448140	208964	159
1427342	208964	157
216778	1235458	154
1315283	1938595	152
323	875329	147
550	1104326	145
572264	526973	144
251701	875329	141
0	585396	132
46257	875329	129
2029986	319224	125
1904944	1235458	124
1332075	875329	122
1454382	526973	119
1009714	208964	118
1093787	208964	107
287	1210443	107
557722	208964	105
1324932	875329	105
1408272	208964	105
326442	1938595	105
152297	1938595	101
198094	198094	98
483687	585396	93
128780	1235458	91
1400868	208964	89
9606	1938595	89
1428	260799	88
1415629	208964	87
0	187410	85
1104678	875329	79
261594	198094	76
226900	526973	76
592021	198094	76
1813821	511145	76
714359	526973	73
1330043	526973	72
1323661	273036	72
223283	875329	69
1280938	208964	67
234831	1938595	66
347495	526973	65
1428	198094	62
1423143	526973	61
287	875329	60
1104325	565659	58
83617	1235458	58
451709	526973	57
56458	1235458	55
1793721	1235458	54
1193501	208964	54
1357279	875329	52
53246	1938595	50
663959	875329	50
1028307	1400139	50
1195464	526973	48
260799	260799	47
1117319	1938595	47
43659	1938595	47
1442	526973	46
315730	526973	46
941193	208964	45
1415784	526973	43
83334	585396	42
1343064	273036	42
1839798	526973	41
584	1938595	39
47885	1210443	38
1386	526973	38
43657	1938595	37
1813821	585396	36
1218175	526973	31
43263	1210443	31
670	1938595	29
70775	1210443	29
208962	511145	28
1261556	1235458	28
1123519	1210443	28
305	875329	27
29438	875329	27
1074252	273036	27
69	1235458	27
314722	1235458	26
487909	1235458	26
405531	526973	25
547048	187410	25
377628	187410	24
317013	1235458	24
2053832	260799	23
743721	1235458	23
161398	1938595	22
1945512	1210443	22
208962	585396	21
1003239	526973	21
743720	1210443	20
456327	1235458	20
1082851	1210443	20
691	1938595	20
199201	875329	19
190893	1938595	18
1117645	1938595	18
2053832	198094	18
2059264	319224	18
435897	1235458	18
1055545	585396	18
314275	1938595	17
747	1938595	17
84531	1235458	17
0	511145	16
1219067	1938595	16
1442	260799	16
1379159	1235458	16
349746	187410	16
