taxid	truth_taxid	count
287	208964	25000
56812	318167	25000
1309	1074120	24996
61645	640513	24989
550	1104326	24987
1280	273036	24987
380021	220664	24977
548	1400139	24973
330922	335284	24961
632	187410	24952
24	319224	24676
1352	565659	24190
316	1210443	22284
1396	526973	17333
37734	565652	16532
562	585396	16340
40324	1235458	16017
1392	260799	15838
394751	1938595	9151
562	511145	8354
1392	198094	7930
29438	875329	5675
2060307	565652	1656
317	875329	1582
1353	565652	1072
1720343	1938595	778
247523	1938595	695
2005046	1235458	627
2057791	565652	623
283699	1938595	551
1428	526973	481
2053832	526973	423
1827305	1235458	315
28109	1938595	265
1892404	526973	235
47877	875329	210
28107	1938595	207
176102	1938595	112
74829	1210443	108
1405	526973	97
1761891	1938595	80
288	1938595	75
166935	1938595	73
1904944	1235458	73
216778	1235458	65
251701	875329	41
128780	1235458	39
47885	1210443	38
339	1235458	37
1945512	1210443	29
69	1235458	25
314722	1235458	23
234831	1938595	23
343	1235458	22
298657	1938595	22
1338689	1210443	20
267375	1938595	19
56812	1938595	19
296	875329	18
1379159	1235458	18
93973	1938595	16
435897	1235458	16
1851544	1210443	16
1909395	875329	16
1967665	1938595	16
587753	875329	15
680	1938595	15
28077	1235458	15
316	1235458	14
691	1938595	14
1392	526973	13
194424	1938595	12
161398	1938595	11
1816218	1938595	11
43657	1938595	10
587753	1210443	10
1502	1938595	9
262324	1235458	9
1352	565652	9
1795874	1235458	9
1351	565659	8
2018067	875329	8
56458	1235458	8
417368	565652	8
48664	1235458	8
1492737	1938595	7
33069	875329	6
1982042	1235458	6
415229	1235458	6
2059672	1235458	5
347	1235458	5
580165	526973	5
696485	1938595	4
1458425	1235458	4
354	1235458	4
1658665	1235458	4
1390	526973	3
548	526973	3
1603	565652	3
1116375	1938595	3
241244	565659	3
492670	526973	3
155322	526973	3
317	1210443	3
1532555	1235458	2
1639	565659	2
450378	1235458	2
215689	1235458	2
1074467	526973	2
1583341	875329	2
1868599	526973	2
925818	1235458	2
1351	565652	2
2099788	565652	2
323415	1235458	2
1149133	1235458	1
316278	565659	1
2029986	319224	1
445710	1235458	1
110539	1235458	1
1571	565652	1
414771	565659	1
2072590	1235458	1
1410383	1938595	1
1354	565659	1
2094	565652	1
81475	1235458	1
43659	1938595	1
1318	565652	1
2126319	1235458	1
1471	526973	1
28199	1938595	1
1639	526973	1
135735	565652	1
1965231	565652	1
666685	1235458	1
658666	526973	1
