taxid	truth_taxid	count
56812	318167	25000
287	208964	24999
1309	1074120	24994
550	1104326	24991
61645	640513	24989
1280	273036	24987
380021	220664	24977
548	1400139	24972
330922	335284	24953
632	187410	24949
24	319224	24683
1352	565659	24218
316	1210443	22292
1396	526973	17280
37734	565652	16536
562	585396	16327
40324	1235458	15899
1392	260799	15823
394751	1938595	9211
562	511145	8347
1392	198094	7924
29438	875329	5728
2060307	565652	1626
317	875329	1584
1353	565652	1081
1720343	1938595	769
2005046	1235458	692
247523	1938595	686
2057791	565652	621
283699	1938595	595
1428	526973	475
2053832	526973	424
1827305	1235458	313
28109	1938595	253
1892404	526973	242
47877	875329	230
28107	1938595	179
74829	1210443	106
176102	1938595	99
1405	526973	92
288	1938595	74
1761891	1938595	71
216778	1235458	71
166935	1938595	64
1904944	1235458	58
128780	1235458	54
298657	1938595	40
47885	1210443	38
251701	875329	37
190893	1938595	29
1945512	1210443	29
69	1235458	26
343	1235458	25
43263	1210443	24
1082851	1210443	22
314722	1235458	20
1338689	1210443	20
1379159	1235458	20
56812	1938595	19
1432056	1938595	18
267375	1938595	17
28077	1235458	17
262324	1235458	16
234831	1938595	16
1909395	875329	16
1967665	1938595	16
1851544	1210443	15
587753	875329	15
691	1938595	14
587753	1210443	14
1502	1938595	13
287	875329	13
161398	1938595	12
417368	565652	12
670	1938595	12
56458	1235458	11
1985254	1235458	11
1795874	1235458	11
1392	526973	11
194424	1938595	11
296	875329	10
1351	565659	9
43657	1938595	9
2018067	875329	8
1352	565652	8
82541	1235458	8
48664	1235458	7
339	1235458	6
317	1210443	6
1155739	1938595	6
56460	1235458	6
316	1235458	5
580165	526973	5
415229	1235458	5
241244	565659	5
104087	875329	5
303	1235458	4
1458425	1235458	4
492670	526973	4
2005703	565652	4
354	1235458	4
1658665	1235458	3
1532555	1235458	3
435897	1235458	3
53346	565659	3
1390	526973	3
84531	1235458	3
665099	526973	3
1603	565652	3
155322	526973	3
87883	1235458	3
1351	565652	3
1504981	1938595	2
548	526973	2
1311	565659	2
1074467	526973	2
47880	1210443	2
1868599	526973	2
519472	565652	2
53345	565659	2
2099788	565652	2
157783	1235458	2
228	1938595	2
323415	1235458	2
366602	1235458	2
1318	565652	1
1639	565659	1
571800	335284	1
28199	1938595	1
76731	1235458	1
110539	1235458	1
1571	565652	1
347	1235458	1
2072590	1235458	1
1410383	1938595	1
1354	565659	1
81475	1235458	1
43659	1938595	1
2126319	1235458	1
1811193	1074120	1
1471	526973	1
715	1938595	1
414771	565659	1
1639	526973	1
103855	1235458	1
925818	1235458	1
1965231	565652	1
658666	526973	1
