taxid	truth_taxid	count
286	220664	25000
286	208964	25000
497	335284	25000
22	318167	25000
629	187410	24999
22	319224	24998
547	1104326	24996
1301	1074120	24996
1279	273036	24995
547	640513	24994
570	1400139	24994
1350	565659	24238
1350	565652	23931
286	1210443	22660
1386	526973	22558
40323	1235458	19273
1386	260799	16627
561	585396	16357
286	875329	14595
53246	1938595	13997
561	511145	8381
1386	198094	8373
338	1235458	88
662	1938595	41
22	1938595	35
10	1210443	29
231454	1235458	24
283	1210443	22
1543705	1235458	20
286	1235458	19
68	1235458	18
28228	1938595	14
1921582	1210443	9
1155738	1938595	6
106589	1235458	6
32008	1235458	6
642	1235458	5
1623290	526973	5
83618	1235458	4
2745	1938595	4
352	1235458	4
237	1938595	4
570	526973	3
648802	565659	2
1637	565659	2
70411	1235458	1
1682492	1938595	1
407	1235458	1
75309	1210443	1
1301	565652	1
2737	565652	1
28196	1938595	1
323413	1235458	1
1763	1235458	1
93681	1235458	1
642	319224	1
517	1235458	1
