taxid	truth_taxid	count
629	187410	25000
286	208964	25000
497	335284	25000
286	220664	25000
22	318167	25000
22	319224	24999
1301	1074120	24997
1279	273036	24996
547	1104326	24996
570	1400139	24994
547	640513	24993
1350	565659	24219
1350	565652	23931
286	1210443	22659
1386	526973	22572
40323	1235458	19321
1386	260799	16627
561	585396	16358
286	875329	14633
53246	1938595	14102
561	511145	8382
1386	198094	8373
338	1235458	58
662	1938595	48
68	1235458	31
10	1210443	29
28228	1938595	22
22	1938595	19
1543705	1235458	18
32008	1235458	11
1921582	1210443	9
407	1210443	7
231454	1235458	7
1155738	1938595	6
642	1235458	6
106589	1235458	5
55080	565652	5
237	1938595	5
1623290	526973	5
286	1235458	4
570	526973	3
41275	1235458	3
83618	1235458	2
65047	1235458	2
1692042	1210443	2
1637	565659	2
1682492	1938595	1
2745	1938595	1
648802	565659	1
75309	1210443	1
1301	565652	1
2737	565652	1
28196	1938595	1
407	1235458	1
535	1235458	1
323413	1235458	1
1763	1235458	1
44249	565659	1
34072	1235458	1
93681	1235458	1
517	1235458	1
