taxid	truth_taxid	count
1309	1074120	24997
1280	273036	24977
56812	318167	24974
287	208964	24959
550	1104326	24885
380021	220664	24854
548	1400139	24701
61645	640513	24686
1352	565659	24532
330922	335284	23695
24	319224	23017
316	1210443	22434
40324	1235458	20314
632	187410	18371
1396	526973	17680
562	585396	16409
37734	565652	15584
1392	260799	10752
394751	1938595	10152
562	511145	8342
1392	198094	5320
317	875329	5035
29438	875329	5033
2060307	565652	1340
1353	565652	1193
2057791	565652	757
247523	1938595	546
47877	875329	506
1428	526973	477
283699	1938595	415
28109	1938595	409
1720343	1938595	398
2053832	526973	398
1396	260799	293
1396	198094	177
2005046	1235458	143
176102	1938595	137
1892404	526973	129
166935	1938595	115
28107	1938595	113
1405	526973	99
251701	875329	91
1428	260799	74
62322	319224	69
288	1938595	68
1761891	1938595	64
47885	1210443	59
298657	1938595	56
367190	187410	56
633	187410	55
314281	1938595	51
353	1210443	41
2018067	875329	38
287	875329	38
287	1210443	35
267375	1938595	33
152297	1938595	33
1428	198094	32
33069	875329	31
1827305	1235458	31
351745	319224	31
36746	875329	29
303	875329	27
234831	1938595	26
1352	565652	25
851	1938595	25
294	875329	25
1082851	1210443	24
562	187410	23
1945512	1210443	21
74829	1210443	21
237610	1210443	20
1405	260799	19
76758	875329	18
316	875329	16
2005703	565652	15
334543	335284	15
353	875329	14
1816218	1938595	14
62322	1938595	12
417368	565652	11
1392	526973	11
53345	565652	10
1405	198094	10
56812	1938595	10
562	1938595	9
61645	875329	9
228	1938595	9
1028989	875329	8
28038	565652	8
1583341	875329	8
2109914	1235458	8
2029986	319224	8
1354	565652	8
1351	565652	8
1545702	565652	7
666685	1210443	7
1727214	875329	7
573	1400139	7
1351	565659	6
1502	526973	6
1028416	335284	6
1274631	875329	5
1338689	1210443	5
54913	565652	5
986	1938595	5
1795874	1235458	5
587753	875329	5
53346	565652	5
484770	1938595	5
571800	335284	5
471223	526973	4
43263	1210443	4
589873	1938595	4
2048283	875329	4
1816219	1938595	4
930166	875329	3
1390	526973	3
2059264	319224	3
1297617	875329	3
104087	875329	3
492670	526973	3
2751	565652	3
219572	875329	3
216142	875329	3
630	187410	3
317	1210443	3
1851544	1210443	3
2358	875329	3
548	526973	3
70863	319224	3
33034	526973	3
1155739	1938595	3
43657	1938595	3
200451	875329	2
470	1938595	2
691	1938595	2
1255	565652	2
267363	565652	2
580165	526973	2
2188	526973	2
1624	526973	2
1967665	1938595	2
187452	565652	2
1491	526973	2
161398	1938595	2
1868599	526973	2
2017483	526973	2
47917	1938595	2
155322	526973	2
1302659	565652	2
216778	1235458	2
1814128	565652	2
1280	526973	2
106648	565652	2
670	1938595	2
550	1400139	1
1420917	875329	1
1911587	565652	1
2053832	260799	1
1811193	565652	1
28035	273036	1
1640	565652	1
1580	565652	1
2018305	319224	1
1697053	526973	1
61015	565652	1
294	220664	1
28901	1104326	1
576610	565652	1
1699622	335284	1
1834207	565652	1
859143	526973	1
708126	565652	1
29466	526973	1
1571	565652	1
747	565652	1
28901	319224	1
33970	565652	1
28901	1400139	1
1603	565652	1
546	585396	1
1318	565652	1
272131	875329	1
1471	526973	1
1892404	260799	1
61646	640513	1
