taxid	truth_taxid	count
1309	1074120	24997
1280	273036	24978
56812	318167	24971
287	208964	24960
550	1104326	24890
380021	220664	24855
548	1400139	24705
61645	640513	24692
1352	565659	24531
330922	335284	23697
24	319224	22985
316	1210443	22443
40324	1235458	20334
632	187410	18270
1396	526973	17736
562	585396	16412
37734	565652	15589
1392	260799	10757
394751	1938595	10156
562	511145	8343
1392	198094	5364
317	875329	5060
29438	875329	5040
2060307	565652	1338
1353	565652	1195
2057791	565652	758
247523	1938595	546
47877	875329	506
1428	526973	477
283699	1938595	415
28109	1938595	404
2053832	526973	399
1720343	1938595	398
1396	260799	293
1396	198094	176
2005046	1235458	143
176102	1938595	137
1892404	526973	130
166935	1938595	115
28107	1938595	113
1405	526973	98
251701	875329	83
1428	260799	76
62322	319224	69
288	1938595	68
298657	1938595	61
1761891	1938595	61
47885	1210443	59
367190	187410	58
314281	1938595	51
633	187410	50
287	1210443	38
287	875329	38
2018067	875329	37
353	1210443	36
267375	1938595	33
152297	1938595	33
1827305	1235458	31
351745	319224	31
1428	198094	30
36746	875329	29
33069	875329	29
303	875329	27
562	187410	26
234831	1938595	26
1352	565652	26
1082851	1210443	24
294	875329	23
1945512	1210443	21
74829	1210443	21
1405	260799	20
237610	1210443	20
76758	875329	18
2005703	565652	15
334543	335284	15
353	875329	14
1816218	1938595	14
417368	565652	14
316	875329	13
62322	1938595	12
562	1938595	12
1354	565652	12
1405	198094	11
1392	526973	11
666685	1210443	10
53345	565652	10
2029986	319224	10
1351	565652	10
56812	1938595	10
61645	875329	9
228	1938595	9
1028989	875329	8
1583341	875329	8
2109914	1235458	8
1351	565659	7
1545702	565652	7
1727214	875329	7
587753	875329	7
53346	565652	7
1502	526973	6
1028416	335284	6
1274631	875329	5
1338689	1210443	5
470	1938595	5
54913	565652	5
986	1938595	5
1795874	1235458	5
484770	1938595	5
571800	335284	5
851	1938595	5
471223	526973	4
43263	1210443	4
630	187410	4
589873	1938595	4
2048283	875329	4
1816219	1938595	4
573	1400139	4
216778	1235458	4
930166	875329	3
1390	526973	3
1297617	875329	3
1255	565652	3
104087	875329	3
492670	526973	3
2751	565652	3
219572	875329	3
216142	875329	3
317	1210443	3
1851544	1210443	3
2358	875329	3
548	526973	3
70863	319224	3
1155739	1938595	3
43657	1938595	3
200451	875329	2
1904944	1235458	2
691	1938595	2
2059264	319224	2
267363	565652	2
580165	526973	2
2188	526973	2
1967665	1938595	2
187452	565652	2
1491	526973	2
161398	1938595	2
1868599	526973	2
2017483	526973	2
47917	1938595	2
155322	526973	2
1302659	565652	2
1814128	565652	2
1280	526973	2
106648	565652	2
670	1938595	2
550	1400139	1
1420917	875329	1
1911587	565652	1
2053832	260799	1
1811193	565652	1
28035	273036	1
1640	565652	1
1580	565652	1
1624	526973	1
2018305	319224	1
28038	565652	1
408	875329	1
1697053	526973	1
61015	565652	1
294	220664	1
28901	1104326	1
576610	565652	1
1699622	335284	1
1834207	565652	1
859143	526973	1
708126	565652	1
29466	526973	1
1571	565652	1
28901	319224	1
33970	565652	1
51669	565652	1
28901	1400139	1
1603	565652	1
546	585396	1
1318	565652	1
1408	565652	1
272131	875329	1
1471	526973	1
1892404	260799	1
1565	565652	1
61646	640513	1
