taxid	truth_taxid	count
497	335284	25000
286	220664	25000
1301	1074120	25000
1279	273036	24997
22	318167	24995
286	208964	24991
22	319224	24982
547	1104326	24936
570	1400139	24900
547	640513	24890
629	187410	24762
1350	565659	24551
1350	565652	24322
1386	526973	23303
286	1210443	22907
40323	1235458	22108
53246	1938595	17679
1386	260799	16627
561	585396	16400
286	875329	16120
1386	198094	8373
561	511145	8190
662	1938595	59
352	1210443	31
283	1210443	24
547	511145	20
561	187410	16
1883	1235458	16
1827	875329	14
22	1938595	13
469	1938595	11
1301	526973	10
1485	526973	9
561	1938595	7
237	1938595	7
413496	1938595	6
338	1235458	6
1883	1210443	5
374	875329	5
365348	1938595	5
32008	1235458	5
1623290	526973	5
1279	526973	4
226	1938595	4
1155738	1938595	3
1392389	875329	3
338	875329	3
570	526973	3
165779	526973	3
544	585396	3
219181	1235458	3
84406	526973	2
2184	526973	2
1578	526973	2
848	1938595	2
1485	565652	2
613	1938595	2
547	1400139	2
1485	1938595	1
28105	875329	1
590	319224	1
129337	526973	1
1578	565652	1
194	526973	1
286	1938595	1
642	319224	1
1849530	526973	1
