taxid	truth_taxid	count
497	335284	25000
286	220664	25000
1301	1074120	25000
1279	273036	24996
22	318167	24994
286	208964	24994
22	319224	24982
547	1104326	24939
570	1400139	24904
547	640513	24885
629	187410	24766
1350	565659	24552
1350	565652	24322
1386	526973	23306
286	1210443	22912
40323	1235458	22108
53246	1938595	17707
1386	260799	16627
561	585396	16396
286	875329	16129
1386	198094	8373
561	511145	8198
662	1938595	58
283	1210443	24
547	511145	23
352	1210443	22
561	187410	17
1883	1235458	15
1827	875329	14
469	1938595	14
22	1938595	13
1485	526973	9
1301	526973	8
1279	526973	7
413496	1938595	7
561	1938595	7
570	585396	7
237	1938595	7
365348	1938595	5
32008	1235458	5
613	1938595	5
1623290	526973	5
338	1235458	4
226	1938595	4
44249	1938595	4
1155738	1938595	3
1392389	875329	3
1883	1210443	3
338	875329	3
75309	1210443	3
570	526973	3
544	585396	3
84406	526973	2
2184	526973	2
219181	1235458	2
547	1400139	2
1485	1938595	1
1578	565652	1
1386	565652	1
28105	875329	1
590	319224	1
1578	526973	1
129337	526973	1
848	1938595	1
194	526973	1
1372	526973	1
642	319224	1
1849530	526973	1
