taxid	truth_taxid	count
497	335284	15725
22	319224	12724
1309	1074120	11324
56812	318167	10649
2	1104326	10376
1350	565652	10094
1350	565659	9412
1301	1074120	9345
90964	273036	9274
91347	1400139	9270
135621	208964	8884
81852	565659	8693
1279	273036	8424
286	220664	8220
135621	220664	7849
2	1210443	7811
53246	1938595	7764
81852	565652	7106
1224	1235458	7060
543	1400139	6984
286	875329	6975
186817	526973	6796
1386	526973	6492
1903411	187410	6012
136849	875329	5999
22	318167	5635
286	208964	5623
543	640513	4902
135622	1938595	4545
186817	260799	4443
562	585396	4243
1236	1235458	4195
1649845	187410	4071
547	640513	3993
629	187410	3977
286	1210443	3764
91347	585396	3745
2	640513	3702
91061	526973	3689
91347	640513	3677
72274	1210443	3629
1938595	1938595	3602
1386	260799	3406
1236	1938595	3287
131567	640513	3263
543	1104326	3162
135621	875329	3054
1	208964	2995
543	585396	2992
1236	1400139	2755
632	187410	2567
543	511145	2432
32033	1235458	2411
380021	220664	2396
2	1235458	2360
24	319224	2341
186817	198094	2271
267890	319224	2257
91347	187410	2250
1280	273036	2203
86661	260799	2182
1236	319224	2162
1239	565659	2157
91347	1104326	2076
330922	335284	2009
1236	318167	1809
316	1210443	1808
40324	1235458	1792
86661	526973	1782
131567	1104326	1777
2	565652	1760
267888	1938595	1694
1386	198094	1653
91061	260799	1579
287	208964	1527
550	1104326	1487
1236	640513	1486
561	585396	1387
40323	1235458	1383
1396	526973	1296
29438	875329	1264
135621	1210443	1237
562	511145	1215
468	335284	1204
91347	511145	1147
547	1104326	1117
86661	198094	1091
1392	260799	1024
251698	875329	1020
135622	318167	947
1236	1104326	919
1	585396	888
131567	1235458	875
91061	198094	861
1224	208964	838
561	511145	785
2	1400139	773
1239	565652	760
2	511145	737
2	565659	731
186826	565652	711
1224	220664	663
1224	335284	628
37734	565652	562
1236	335284	559
267890	318167	543
548	1400139	535
1392	198094	528
2	585396	525
1224	1104326	515
135622	319224	510
1224	319224	471
354276	1104326	463
1224	640513	436
131567	565659	424
318	875329	403
91061	565652	396
1236	187410	385
1352	565659	384
131567	1400139	374
136843	220664	351
2	260799	346
1224	1400139	345
136841	208964	343
1236	1210443	331
1224	1210443	331
379731	1210443	311
2	335284	302
1300	1074120	299
1224	318167	290
995085	1235458	289
186826	565659	269
1236	220664	261
1236	511145	254
1385	526973	247
1236	208964	245
131567	565652	235
875329	875329	231
186826	1074120	222
187410	187410	204
91061	565659	194
1	260799	194
570	1400139	192
1	511145	191
2	1938595	186
1239	273036	181
1224	511145	180
1236	585396	178
2	198094	175
220664	220664	173
2	318167	171
1224	585396	168
2	526973	153
578833	1210443	150
2	319224	147
526973	526973	138
1581118	208964	134
1224	1938595	134
2	1074120	133
135614	1235458	128
1236	875329	120
1224	875329	116
1235458	1235458	115
633	187410	115
2	187410	114
1124983	220664	114
935296	1400139	111
875330	875329	111
1	198094	111
1385	260799	109
2	208964	108
1396	260799	108
1402564	208964	98
1259825	565652	95
91061	273036	91
1239	526973	88
1224	187410	87
1	273036	86
2	220664	86
131567	511145	82
1104326	1104326	81
46170	273036	81
640513	640513	78
1	526973	78
318167	318167	76
354276	640513	75
136846	1210443	75
349746	187410	70
1404260	1074120	67
1385	273036	67
131567	1210443	65
2	273036	63
131567	335284	63
1190567	1235458	62
563797	875329	61
319224	319224	60
1783272	565652	60
585396	585396	60
377628	187410	59
1239	260799	59
571800	335284	59
131567	187410	57
1783272	273036	57
573	1400139	56
47877	875329	54
624	511145	53
1045856	640513	52
72274	335284	51
550	640513	50
273036	273036	50
525279	565659	49
1385	198094	47
1407059	208964	46
1045856	1104326	46
1313	526973	44
1441931	208964	43
131567	526973	43
565652	565652	43
1	640513	43
1396	198094	42
83333	511145	42
335284	335284	41
1239	1074120	40
2	875329	39
1239	198094	39
1118157	1235458	37
53707	875329	37
72274	220664	37
294	220664	36
131567	273036	34
1	1400139	34
624	585396	33
72274	208964	32
1	1104326	32
1111760	1074120	31
996285	1210443	31
1313	1210443	31
91061	1074120	30
857107	1074120	30
131567	319224	29
351745	319224	29
1392	526973	29
522373	1235458	29
1783272	526973	28
208964	208964	28
1437447	1074120	28
1315978	208964	28
1783272	565659	27
317	875329	27
1403829	1074120	27
131567	220664	26
222523	526973	25
391601	1235458	25
61645	640513	25
235272	875329	25
1783272	1074120	25
1350465	208964	25
131567	1938595	24
487698	1235458	24
260799	260799	24
992128	187410	24
131567	260799	23
1005474	585396	23
857153	1074120	23
72274	875329	23
1134802	565659	22
1	1210443	22
1163399	1235458	22
1313	260799	22
1131758	208964	22
334543	335284	22
251724	875329	22
86176	875329	21
1165949	585396	21
1566227	220664	21
1118156	1235458	21
228	1938595	21
1629711	1210443	20
1	335284	20
1306165	208964	20
319	875329	20
373665	187410	20
327275	319224	20
749547	511145	20
1354262	640513	20
1144303	511145	19
131567	585396	19
131567	1074120	19
992166	187410	19
857145	1074120	19
1260358	565652	19
131567	318167	19
1097676	1938595	19
543	187410	19
404215	187410	18
1116041	585396	18
103796	875329	18
1353	565652	18
192087	875329	18
629263	875329	18
1259824	565652	17
1	220664	17
1009714	208964	17
1336203	208964	17
1138921	565659	17
269801	526973	17
264451	875329	17
550	1400139	17
31973	208964	17
857133	1074120	16
222523	260799	16
1134834	565659	16
316385	511145	16
381754	208964	16
1420599	220664	16
992127	187410	16
550	208964	16
322	875329	15
1428	526973	15
404218	187410	15
571	1104326	15
868172	585396	15
367190	187410	15
1352355	208964	15
386429	1938595	15
1446725	585396	14
888066	565652	14
62322	319224	14
404216	187410	14
1068608	511145	14
1155071	1074120	14
67575	319224	14
251701	875329	14
1844091	875329	14
334406	526973	14
1330535	187410	14
868183	585396	14
545431	187410	14
1446519	585396	14
456327	1235458	13
502821	1210443	13
1344042	565659	13
500639	640513	13
1432555	585396	13
229193	187410	13
798130	208964	13
81035	875329	13
1400143	1400139	12
623	511145	12
565662	565659	12
470	1210443	12
547047	187410	12
287	1210443	12
687916	187410	12
1155079	273036	12
1418237	208964	12
857150	1074120	12
1284404	875329	12
749522	565659	12
1162296	1400139	11
1915389	1235458	11
77133	1400139	11
1134810	565659	11
716918	875329	11
1620413	1210443	11
1356855	208964	11
948561	273036	10
394751	1938595	10
565661	565659	10
565654	565652	10
1328315	208964	10
565659	565659	10
360920	875329	10
339854	526973	10
251720	875329	10
992140	187410	10
888063	640513	10
247523	1938595	10
526975	526973	10
1165943	585396	10
868173	585396	10
1230461	220664	10
670897	585396	10
629261	875329	10
1286151	208964	10
1428	260799	10
1191475	208964	10
131567	875329	10
354	208964	10
1415629	208964	10
349747	187410	10
992156	187410	10
1446696	585396	10
656444	585396	9
486624	260799	9
992168	187410	9
321	875329	9
752788	511145	9
214092	187410	9
755896	187410	9
670	208964	9
317659	875329	9
1834191	565652	9
470	208964	9
992134	187410	9
228925	1235458	9
287	1235458	9
620	511145	9
