taxid	truth_taxid	count
1350	565652	15901
286	208964	15481
497	335284	15020
1309	1074120	14650
22	319224	14242
1386	526973	13831
1279	273036	13721
1350	565659	12221
53246	1938595	11765
40323	1235458	11352
286	220664	11015
56812	318167	10657
2	640513	9394
0	875329	9174
316	1210443	9140
629	187410	9117
2	1104326	7725
1386	260799	7419
543	1400139	7383
286	875329	6979
380021	220664	6690
0	1938595	6603
22	318167	6384
0	1235458	6328
0	1210443	6061
91061	565659	5996
0	187410	5703
91347	1400139	5460
0	208964	5115
32033	1235458	5016
0	220664	4997
0	526973	4982
2	1400139	4754
0	273036	4745
0	318167	4698
286	1210443	4409
0	335284	4162
0	319224	4109
1301	1074120	3976
1385	273036	3867
1386	198094	3843
547	640513	3809
543	585396	3797
0	1400139	3794
550	1104326	3695
0	565652	3668
1	585396	3613
0	1074120	3596
1224	1104326	3530
24	319224	3338
91347	1104326	3276
0	640513	3214
0	260799	3204
0	565659	3158
136849	875329	3058
0	1104326	3002
91347	187410	2888
91347	640513	2884
1224	640513	2879
562	585396	2860
330922	335284	2798
0	585396	2766
1224	1400139	2409
317	875329	2335
543	640513	2253
1392	260799	2229
135622	1938595	2160
632	187410	2099
543	511145	1972
1224	511145	1962
543	1104326	1917
136846	1210443	1867
2	526973	1843
91061	565652	1808
1649845	187410	1650
0	511145	1635
1236	319224	1584
0	198094	1584
1224	585396	1548
1352	565659	1508
1236	318167	1465
2	187410	1450
287	208964	1391
1224	208964	1364
1236	1938595	1350
86661	260799	1320
1396	526973	1167
562	511145	1133
1392	198094	1078
1280	273036	1074
468	335284	1073
135621	1210443	1070
86661	526973	1055
1224	220664	965
1385	526973	942
394751	1938595	900
2	565652	870
1236	1210443	853
1224	1210443	830
2	511145	808
547	1104326	808
40324	1235458	790
2	565659	758
1224	875329	745
1224	335284	744
2	260799	724
135622	318167	717
2	1938595	711
94122	1938595	702
1224	187410	700
1903411	187410	672
251701	875329	668
1	260799	663
37734	565652	662
86661	198094	616
1224	319224	609
561	585396	573
1236	208964	570
354276	1104326	563
135621	208964	561
2	318167	544
135622	319224	539
1236	335284	534
1300	1074120	532
1224	1235458	531
1353	565652	529
1236	187410	528
1236	1400139	528
2	1210443	523
186826	1074120	517
210007	1074120	509
186826	565652	495
91061	273036	488
1385	260799	487
91061	1074120	467
2	1074120	444
2	335284	443
2	319224	442
1236	585396	433
2	585396	425
1224	318167	416
1	511145	408
81852	565652	392
1236	875329	386
135621	220664	381
186826	565659	371
548	1400139	360
1224	1938595	355
2	198094	352
1236	220664	348
91347	585396	348
2	273036	341
1	198094	336
91347	511145	332
2	208964	328
135621	875329	313
81852	565659	305
136843	220664	302
186817	526973	301
251698	875329	295
2	1235458	288
1236	640513	288
1	273036	287
1236	1104326	277
1236	1235458	267
1783272	565659	265
1239	565659	254
90964	273036	254
1239	565652	253
91061	526973	248
1385	198094	242
2	875329	225
135614	1235458	203
2	220664	198
91061	260799	174
186817	260799	164
1239	526973	162
1783272	1074120	145
570	1400139	125
160488	875329	124
1236	511145	114
1783272	565652	113
2057791	565652	111
28109	1938595	104
1649877	875329	103
91061	198094	95
29438	875329	95
1	1104326	94
1	1400139	93
1239	273036	91
1	208964	91
61645	640513	86
1239	260799	85
1827305	1235458	83
186817	198094	82
76758	875329	81
1783272	273036	81
1239	1074120	79
131567	565652	73
1	526973	73
1	640513	73
333849	565659	72
1783272	526973	69
287	1210443	66
131567	526973	66
47877	875329	66
633	187410	65
571800	335284	61
205918	875329	59
578833	1210443	58
36746	875329	54
1967665	1938595	53
2060307	565652	52
1428	526973	52
1720343	1938595	50
72274	335284	47
2005046	1235458	44
561	511145	43
28107	1938595	43
1428	260799	39
1239	198094	39
672	1938595	38
312309	318167	38
260799	260799	36
1	875329	36
334543	335284	36
716541	1104326	34
131567	273036	34
208964	208964	33
260799	198094	33
33069	875329	32
214092	187410	31
300267	585396	30
198620	875329	30
131567	208964	30
353	1210443	30
223283	875329	30
2053832	526973	28
62322	319224	26
131567	1074120	26
1	187410	26
131567	335284	25
456327	1235458	24
1892404	526973	24
1	220664	24
1396	260799	24
131567	565659	24
351745	319224	24
216142	875329	22
582	1104326	21
131567	187410	20
131567	1210443	20
131567	318167	20
1428	198094	19
1133852	585396	19
131567	1938595	19
1396	198094	18
1338689	1210443	18
247523	1938595	18
22	1938595	18
72274	1210443	17
367190	187410	17
1336	1074120	17
208962	585396	16
1815968	585396	16
131567	1104326	15
131567	319224	15
70864	1938595	15
432198	585396	15
286	1235458	15
131567	1400139	15
338	1235458	15
166935	1938595	14
1	565652	14
354276	640513	14
1125630	1400139	14
46257	875329	14
1811193	1074120	14
1500686	220664	14
131567	640513	13
131567	260799	13
716541	640513	13
131567	1235458	13
211586	319224	13
680	875329	13
1	565659	13
283699	1938595	13
136843	1210443	13
28901	511145	13
261164	335284	13
1326	565659	12
83654	640513	12
131567	511145	12
2014742	319224	11
67825	1104326	11
338	875329	11
33970	565659	11
198214	511145	10
40754	526973	10
281309	260799	10
119864	1938595	10
72274	208964	9
573	585396	9
326544	318167	9
1699622	335284	9
580165	260799	9
1385	565652	9
386585	585396	9
1478	526973	9
1294143	208964	8
1259844	220664	8
54291	1400139	8
1392	526973	8
1028416	335284	8
237609	875329	8
620	511145	8
1	318167	8
550	640513	8
53346	565659	8
198094	260799	7
1405	526973	7
347	1235458	7
198094	198094	7
2055892	1938595	7
1413	526973	7
546	585396	7
281309	526973	7
226900	526973	7
198094	526973	7
216778	1235458	7
615	187410	6
131567	198094	6
136841	208964	6
192073	318167	6
1637	526973	6
261292	1210443	6
1	319224	6
1783272	260799	6
72274	220664	6
186801	526973	6
28901	585396	6
573	1400139	6
642	875329	6
303	875329	6
60480	319224	5
131567	220664	5
339	1210443	5
1783272	198094	5
1471	526973	5
1224	526973	5
1	335284	5
561	1400139	5
2188	526973	5
587753	220664	5
1805933	187410	5
571	1400139	5
1788301	220664	5
580165	198094	5
61646	640513	5
45610	335284	5
1561	526973	5
1675531	585396	5
94122	319224	5
41297	1938595	5
93973	318167	5
1313	1074120	5
294	220664	5
296	875329	5
2029986	319224	5
29483	187410	5
44249	565652	4
316	875329	4
53246	319224	4
65741	208964	4
93061	273036	4
1699624	335284	4
265293	1210443	4
260799	526973	4
1230341	526973	4
294	1235458	4
287	875329	4
211586	318167	4
129337	526973	4
55601	318167	4
28446	565659	4
1326	1074120	4
1028989	875329	4
129337	565652	4
985002	273036	4
1330545	640513	4
562	1400139	4
69218	640513	4
2053832	198094	4
91347	1938595	4
28901	1104326	4
53346	565652	4
662	318167	4
1311	1074120	4
10678	585396	4
685038	511145	4
56812	1938595	4
2053832	260799	3
713	585396	3
630	187410	3
69220	640513	3
103807	585396	3
91347	875329	3
1472767	526973	3
585057	585396	3
655183	565652	3
585057	511145	3
716541	1400139	3
1570	526973	3
33069	220664	3
2005703	565652	3
51669	565652	3
234831	1938595	3
186765	511145	3
580165	526973	3
1465	526973	3
272624	260799	3
61647	1104326	3
69220	1104326	3
326544	1938595	3
1349	1074120	3
585057	640513	3
10744	585396	3
2331	526973	3
1981174	220664	3
75984	1938595	3
53345	565659	3
198467	526973	3
673	319224	3
286	1938595	3
1354	565659	3
1028307	1400139	3
300	208964	3
1720344	335284	3
399742	640513	3
76758	1210443	3
547	1400139	3
1812934	640513	3
70864	319224	3
544	1400139	2
680	1938595	2
159346	1938595	2
1500687	220664	2
208962	511145	2
1308	1074120	2
356	875329	2
287	220664	2
33958	565659	2
2059264	318167	2
620	640513	2
288	1938595	2
203491	1938595	2
662	1938595	2
119060	208964	2
271097	318167	2
1578	565659	2
272624	198094	2
300267	511145	2
2742	1938595	2
1386	565652	2
671232	1074120	2
168471	1235458	2
97478	565652	2
198214	1400139	2
10239	511145	2
620	585396	2
1160721	526973	2
1904944	1235458	2
1354	565652	2
590	640513	2
386891	335284	2
629	1400139	2
315405	1074120	2
312306	220664	2
10239	273036	2
186801	565652	2
1307	1074120	2
562	640513	2
414970	511145	2
622	585396	2
550	187410	2
570	585396	2
1945658	1938595	2
2060307	565659	2
506	1235458	2
308354	273036	2
271098	319224	2
36745	565652	2
1405	198094	2
218207	526973	2
1318	1074120	2
45658	319224	2
237610	1210443	2
543	565652	2
581	1938595	2
393305	187410	2
644	875329	2
666	1938595	2
286	1104326	2
1405	260799	2
69328	220664	2
79883	526973	2
28228	318167	2
1398	526973	2
60217	319224	2
1224	565652	2
29484	187410	2
727	640513	2
198214	640513	2
1336794	565652	2
288004	208964	2
69328	875329	2
353	220664	2
613	187410	2
61647	1235458	2
676	1938595	2
562	260799	2
613	640513	2
349106	335284	2
1698421	273036	1
983544	526973	1
1236	526973	1
1914861	1400139	1
393305	1400139	1
693444	511145	1
1217416	318167	1
399742	585396	1
1611770	220664	1
226900	198094	1
590	1400139	1
1149133	220664	1
948107	875329	1
1117	198094	1
693444	585396	1
1816219	318167	1
28107	318167	1
475	335284	1
544	1104326	1
62322	318167	1
279058	187410	1
47879	220664	1
1643326	526973	1
552525	260799	1
69218	1104326	1
186814	565652	1
351679	318167	1
927	1235458	1
22	335284	1
29488	640513	1
891974	640513	1
34062	335284	1
2005703	565659	1
192812	1938595	1
47878	220664	1
573	1104326	1
294	875329	1
338	1104326	1
541000	526973	1
87882	875329	1
1519999	273036	1
571	640513	1
119858	526973	1
1571	526973	1
198467	565659	1
817	526973	1
314722	1210443	1
2077137	640513	1
163877	565652	1
57975	208964	1
61647	1400139	1
1868599	198094	1
43948	1400139	1
74109	1938595	1
223283	220664	1
82996	1104326	1
1903412	187410	1
582	319224	1
413496	640513	1
182337	1400139	1
47885	220664	1
29388	273036	1
1449	526973	1
1357	526973	1
1505	526973	1
303	220664	1
343	1235458	1
82115	220664	1
28901	640513	1
2209	526973	1
1301	565652	1
54736	511145	1
60481	318167	1
158836	640513	1
488446	1235458	1
1326	565652	1
191610	526973	1
54291	640513	1
168471	187410	1
32008	220664	1
131567	585396	1
1903409	1400139	1
554	319224	1
300	1210443	1
28068	319224	1
263819	187410	1
347534	1074120	1
259354	526973	1
1636610	875329	1
28035	273036	1
911092	565652	1
